Name longitude latitude strat_old strat_young Elevation file_name
"1-4-96-3"   16.283 -23.632 -600.00 -450.00 1790 "NAMIBIA_MTX/1-4-96-3.mtx"
"1-5-96-1"   14.312 -20.418 -600.00 -450.00  590 "NAMIBIA_MTX/1-5-96-1.mtx"
"1-5-96-2"   14.144 -19.833  140.00  120.00 1400 "NAMIBIA_MTX/1-5-96-2.mtx"
"1-5-96-3"   14.284 -19.759 -600.00 -450.00 1240 "NAMIBIA_MTX/1-5-96-3.mtx"
"1-5-96-4"   14.652 -19.595 -600.00 -450.00 1300 "NAMIBIA_MTX/1-5-96-4.mtx"
"3-4-96-2"   15.760 -23.482 -600.00 -450.00  740 "NAMIBIA_MTX/3-4-96-2.mtx"
"3-4-96-5"   15.781 -23.302 -600.00 -450.00  880 "NAMIBIA_MTX/3-4-96-5.mtx"
"3-10-97-1"  15.855 -22.701 -600.00 -450.00 1270 "NAMIBIA_MTX/3-10-97-1.mtx"
"3-10-97-2"  15.854 -22.418 -600.00 -450.00  930 "NAMIBIA_MTX/3-10-97-2.mtx"
"4-10-97-1"  15.523 -22.088 -600.00 -450.00  920 "NAMIBIA_MTX/4-10-97-1.mtx"
"4-10-97-2"  15.551 -22.181 -600.00 -450.00 1080 "NAMIBIA_MTX/4-10-97-2.mtx"
"4-10-97-3"  15.599 -22.354 -600.00 -450.00  970 "NAMIBIA_MTX/4-10-97-3.mtx"
"4-10-97-4"  15.607 -22.375 -600.00 -450.00  930 "NAMIBIA_MTX/4-10-97-4.mtx"
"4-10-97-5"  15.630 -22.440 -600.00 -450.00  780 "NAMIBIA_MTX/4-10-97-5.mtx"
"5-4-96-8"   15.593 -22.514 -600.00 -450.00  630 "NAMIBIA_MTX/5-4-96-8.mtx"
"5-10-97-5"  15.607 -21.760 -600.00 -450.00 1120 "NAMIBIA_MTX/5-10-97-5.mtx"
"6-10-97-2"  15.604 -21.831 -600.00 -450.00 1070 "NAMIBIA_MTX/6-10-97-2.mtx"
"6-10-97-4"  15.424 -21.983 -600.00 -450.00 1250 "NAMIBIA_MTX/6-10-97-4.mtx"
"6-10-97-5"  15.343 -21.886 -600.00 -450.00 1210 "NAMIBIA_MTX/6-10-97-5.mtx"
"6-10-97-6"  15.361 -21.855 -600.00 -450.00 1210 "NAMIBIA_MTX/6-10-97-6.mtx"
"6-10-97-7"  15.432 -21.775 -600.00 -450.00 1190 "NAMIBIA_MTX/6-10-97-7.mtx"
"6-10-97-9"  15.471 -21.694 -600.00 -450.00 1260 "NAMIBIA_MTX/6-10-97-9.mtx"
"6-10-97-10" 15.473 -21.535 -140.00 -100.00 1140 "NAMIBIA_MTX/6-10-97-10.mtx"
"6-10-97-12" 15.662 -21.496 -600.00 -450.00 1210 "NAMIBIA_MTX/6-10-97-12.mtx"
"7-10-97-1"  15.892 -21.451 -140.00 -100.00 1160 "NAMIBIA_MTX/7-10-97-1.mtx"
"7-10-97-2"  15.802 -21.469 -140.00 -100.00 1150 "NAMIBIA_MTX/7-10-97-2.mtx"
"7-10-97-3"  15.765 -21.463 -600.00 -450.00 1120 "NAMIBIA_MTX/7-10-97-3.mtx"
"7-10-97-4"  15.819 -21.323 -600.00 -450.00 1230 "NAMIBIA_MTX/7-10-97-4.mtx"
"7-10-97-5"  15.742 -21.249 -600.00 -450.00 1210 "NAMIBIA_MTX/7-10-97-5.mtx"
"7-10-97-6"  15.680 -21.172 -600.00 -450.00 1230 "NAMIBIA_MTX/7-10-97-6.mtx"
"7-10-97-7"  15.604 -21.107 -600.00 -450.00 1240 "NAMIBIA_MTX/7-10-97-7.mtx"
"7-10-97-8"  15.407 -21.223 -600.00 -450.00 1080 "NAMIBIA_MTX/7-10-97-8.mtx"
"7-10-97-9"  15.226 -21.277 -600.00 -450.00 1230 "NAMIBIA_MTX/7-10-97-9.mtx"
