Name Lon Lat Strat_old Strat_young Elevation Filename
"Sample1"   170.83077100934631   -43.67342886328124 9999.0000  0.0000 1114.0000 "WHATAROA_SYN/Sample1.mtx"
"Sample2"   170.36895093070393   -43.34454217235600 9999.0000  0.0000 1327.0000 "WHATAROA_SYN/Sample2.mtx"
"Sample3"   170.98786344911210   -43.65698792610180 9999.0000  0.0000 928.0000 "WHATAROA_SYN/Sample3.mtx"
"Sample4"   170.01055843091837   -43.15071363103689 9999.0000  0.0000  0.0000 "WHATAROA_SYN/Sample4.mtx"
"Sample5"   170.41899553536035   -43.61773696779359 9999.0000  0.0000 1801.0000 "WHATAROA_SYN/Sample5.mtx"
"Sample6"   170.55419074349888   -43.20339470136281 9999.0000  0.0000 494.0000 "WHATAROA_SYN/Sample6.mtx"
"Sample7"   170.45174629551354   -43.09824014161659 9999.0000  0.0000 24.0000 "WHATAROA_SYN/Sample7.mtx"
"Sample8"   170.08494043032505   -43.33607924320547 9999.0000  0.0000 38.0000 "WHATAROA_SYN/Sample8.mtx"
"Sample9"   170.58276913402236   -43.29673904612230 9999.0000  0.0000 1217.0000 "WHATAROA_SYN/Sample9.mtx"
"Sample10"   170.04708649309691   -43.54084383747288 9999.0000  0.0000 1498.0000 "WHATAROA_SYN/Sample10.mtx"
"Sample11"   170.17005176360308   -43.15795808149488 9999.0000  0.0000  0.0000 "WHATAROA_SYN/Sample11.mtx"
"Sample12"   170.17875444081474   -43.31556764626713 9999.0000  0.0000 113.0000 "WHATAROA_SYN/Sample12.mtx"
"Sample13"   170.52696720667970   -43.64640852858163 9999.0000  0.0000 1915.0000 "WHATAROA_SYN/Sample13.mtx"
"Sample14"   170.20404168558920   -43.39822169365167 9999.0000  0.0000 378.0000 "WHATAROA_SYN/Sample14.mtx"
"Sample15"   170.60015912707829   -43.59604310175484 9999.0000  0.0000 1094.0000 "WHATAROA_SYN/Sample15.mtx"
"Sample16"   170.97419840810426   -43.63023826246889 9999.0000  0.0000 1182.0000 "WHATAROA_SYN/Sample16.mtx"
"Sample17"   170.20948722293988   -43.52581251553707 9999.0000  0.0000 2313.0000 "WHATAROA_SYN/Sample17.mtx"
"Sample18"   170.19016742624791   -43.61857539373410 9999.0000  0.0000 1243.0000 "WHATAROA_SYN/Sample18.mtx"
"Sample19"   170.09368770450149   -43.62044845034674 9999.0000  0.0000 2451.0000 "WHATAROA_SYN/Sample19.mtx"
"Sample20"   170.61326192369276   -43.51689659340336 9999.0000  0.0000 1724.0000 "WHATAROA_SYN/Sample20.mtx"
"Sample21"   170.17104482435283   -43.46194432535850 9999.0000  0.0000 693.0000 "WHATAROA_SYN/Sample21.mtx"
"Sample22"   170.05146823511748   -43.16182112648838 9999.0000  0.0000  0.0000 "WHATAROA_SYN/Sample22.mtx"
"Sample23"   170.04118834006084   -43.31899292973684 9999.0000  0.0000  8.0000 "WHATAROA_SYN/Sample23.mtx"
"Sample24"   170.40087761708781   -43.68240537778374 9999.0000  0.0000 1709.0000 "WHATAROA_SYN/Sample24.mtx"
"Sample25"   170.41600047577734   -43.17730495971257 9999.0000  0.0000 50.0000 "WHATAROA_SYN/Sample25.mtx"
"Sample26"   170.19042301575163   -43.11179639567257 9999.0000  0.0000  0.0000 "WHATAROA_SYN/Sample26.mtx"
"Sample27"   170.40459626444954   -43.47970381513878 9999.0000  0.0000 1645.0000 "WHATAROA_SYN/Sample27.mtx"
"Sample28"   170.75090935440437   -43.31809604273867 9999.0000  0.0000 1942.0000 "WHATAROA_SYN/Sample28.mtx"
"Sample29"   170.02408662970288   -43.61868611522643 9999.0000  0.0000 1912.0000 "WHATAROA_SYN/Sample29.mtx"
"Sample30"   170.65915975130252   -43.64149511227271 9999.0000  0.0000 1207.0000 "WHATAROA_SYN/Sample30.mtx"
"Sample31"   170.77065588585046   -43.15453775526534 9999.0000  0.0000 706.0000 "WHATAROA_SYN/Sample31.mtx"
"Sample32"   170.68987423845664   -43.10487326411720 9999.0000  0.0000 656.0000 "WHATAROA_SYN/Sample32.mtx"
"Sample33"   170.55643958755925   -43.15127898822345 9999.0000  0.0000 44.0000 "WHATAROA_SYN/Sample33.mtx"
"Sample34"   170.28987596288641   -43.69372629903507 9999.0000  0.0000 1920.0000 "WHATAROA_SYN/Sample34.mtx"
"Sample35"   170.22617804933626   -43.28288885363887 9999.0000  0.0000 200.0000 "WHATAROA_SYN/Sample35.mtx"
"Sample36"   170.91967608434260   -43.40909850624574 9999.0000  0.0000 1258.0000 "WHATAROA_SYN/Sample36.mtx"
"Sample37"   170.88988096351645   -43.13308651884962 9999.0000  0.0000 1599.0000 "WHATAROA_SYN/Sample37.mtx"
"Sample38"   170.03724916227245   -43.65808625900252 9999.0000  0.0000 1439.0000 "WHATAROA_SYN/Sample38.mtx"
"Sample39"   170.44269311324081   -43.23564262423281 9999.0000  0.0000 71.0000 "WHATAROA_SYN/Sample39.mtx"
"Sample40"   170.37580249493146   -43.59267152529361 9999.0000  0.0000 1575.0000 "WHATAROA_SYN/Sample40.mtx"
"Sample41"   170.06557181721556   -43.35669364117673 9999.0000  0.0000 197.0000 "WHATAROA_SYN/Sample41.mtx"
