 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample16      37.37880000  -119.03560000    319772.7   4138839.3      2372      2372      2302      78.3      14.8
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4682535938E+05     366.9     394.0     442.6     500.0      21.0     149.3      10.5      15.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     478.0      16.9     418.2      57.2     131.5      82.9      13.1
    0.9999999778E+22      75.1     474.7     200.4     118.0     143.0      36.0      18.5
    0.9999999778E+22     488.2     194.2     302.3      33.1      58.0      89.3      13.8
    0.9999999778E+22     227.6     153.6     335.8      96.0      64.2     100.4       5.7
    0.9999999778E+22     369.3     203.2     174.1      25.1     137.8     106.4      12.4
    0.9999999778E+22     393.4     330.2     303.4      12.9     141.4      53.6       5.7
    0.9999999778E+22     462.4       4.7     427.7     147.5      54.1      43.6       0.8
    0.9999999778E+22     269.3     227.8     300.3      17.9       7.6      50.0      15.8
    0.5936073828E+05      57.4      63.4     381.7      13.5     133.8       7.5       1.3
            Infinity       3.3      21.7     251.8       4.3      34.6      10.6      19.9
    0.9999999778E+22      13.9     157.0      91.0     127.2      20.9      13.2       6.7
    0.4902392578E+05     128.3     169.2     425.6      47.0      81.3      78.3      13.0
    0.9999999778E+22     257.2     149.1      51.7     136.8      99.9      17.1      15.2
    0.9999999778E+22     214.8     268.0      46.4     137.2       6.5      15.1       1.5
    0.9999999778E+22     435.0     383.9     323.5      15.6     142.8      28.2       4.5
    0.9999999778E+22     456.7      39.5     235.3      80.4       5.2     102.8       4.1
    0.9999999778E+22     230.4     324.6     165.8      69.4      77.1     145.7       1.8
    0.9999999778E+22     499.9     201.4     475.8      54.1      45.5      51.9      18.5
    0.9999999778E+22     180.8     497.1     311.2      33.9       1.3     129.8      14.4
    0.9999999778E+22     151.7      82.9      55.3      12.2     130.9      47.6       1.0
    0.9999999778E+22     392.0      66.1     410.2      99.9     106.7     121.0       1.4
    0.5607273438E+05     116.5     373.3     495.5     102.3      16.0      68.1      12.9
    0.9999999778E+22     379.5     390.8     191.7      97.3       3.3      17.3      16.6
    0.9999999778E+22     103.2      76.8     242.2      37.6      83.0      57.3      15.9
    0.9999999778E+22     469.0     262.4     196.9      42.2      33.7      15.1       6.4
    0.5030210938E+05     148.0     248.7     358.4      81.6      84.7      81.1      14.3
    0.9999999778E+22     486.1     253.7     197.0     120.4     106.8      35.4       1.0
    0.9999999778E+22     306.3     364.2     143.4     140.2     118.8      98.7      10.1
    0.9999999778E+22     453.7     359.8     174.1      62.3      46.4      52.8      13.8
    0.4778591016E+05      90.9     225.3     484.5      20.2     142.0      37.5      19.1
    0.5609295703E+05      34.9      73.7     298.2      61.4      58.0      81.8       5.4
    0.9999999778E+22     180.7     413.2     373.9      96.9      99.4      66.9      10.5
    0.9999999778E+22     107.7      21.0     296.0       6.4      97.6      52.3       3.2
    0.9999999778E+22     275.3     233.4     293.8      74.2      59.0      17.5      11.3
    0.9999999778E+22      60.3     424.4     265.4      52.6      61.5      45.7      19.3
    0.9999999778E+22      32.9     420.3     206.0      86.5      92.4     136.7      17.3
    0.9999999778E+22      34.6     499.6     126.9     113.8     132.8      15.2      13.7
    0.9999999778E+22      28.7     426.3     285.8     123.9      60.2      63.8      14.4
    0.9999999778E+22     368.8     145.9     221.2      48.1     105.7     128.9      15.7
    0.9999999778E+22     105.1     418.4     390.6      89.0      67.1      40.3       9.1
    0.9999999778E+22      78.4     245.4     177.9      88.9      74.4      88.5      14.5
    0.5805010156E+05      32.8      81.0     387.8      98.3     123.7      18.1      16.0
    0.9999999778E+22      72.1     335.6     282.9      29.9      70.2      27.9       9.4
    0.9999999778E+22     196.8      71.6      60.1      68.9      63.0      76.3       9.5
    0.9999999778E+22     251.5     331.9      17.2     122.9     140.9     136.7       8.0
    0.9999999778E+22      14.0     225.6      13.2      38.5     113.2      23.0      10.8
    0.9999999778E+22     411.9     128.4     424.3      46.6     107.5      99.7      15.0
    0.9999999778E+22     208.3     136.2      58.5     141.6      90.8      63.3       6.7
    0.9999999778E+22     275.8     222.2      95.5      70.2      20.8     104.7      16.2
    0.9999999778E+22     203.8     311.1      58.7       0.1     129.6     142.7      16.7
    0.9999999778E+22     477.3     450.7     224.2       7.7     137.0      53.3       9.0
    0.9999999778E+22     269.1     349.0      60.9     130.3       9.7      42.8       0.7
    0.9999999778E+22     262.6     168.3       5.4      79.8      43.4      42.7       0.5
    0.9999999778E+22     293.8      37.7     211.8     120.0      37.8      13.5      15.5
    0.4775217969E+05     171.7     246.7     430.7      26.8     145.0      94.4      11.0
            Infinity     103.9     415.9     454.7      12.0      12.8      49.0       0.4
    0.9999999778E+22      77.5     453.3     220.5      82.7      93.4      57.7      12.2
    0.9999999778E+22     185.0      13.9     114.1      78.1      68.7     145.8      15.5
    0.9999999778E+22     467.5     409.5     251.6     105.8      78.5      81.0       9.2
    0.4725083984E+05     306.3     397.6     424.4     136.4      56.8      89.0      19.5
    0.9999999778E+22     357.1     313.0     462.1     137.9      38.5     119.9       1.3
    0.9999999778E+22     308.8     225.9      11.8      47.5      40.6      40.4      12.8
    0.9999999778E+22     484.9     160.6     360.0      53.1     125.1     104.9       6.0
    0.9999999778E+22     226.6     157.9      52.9      55.7     105.1      14.4       4.7
    0.9999999778E+22     324.9     321.0     241.9       0.7     140.0      87.6       1.1
    0.9999999778E+22     378.5     479.4     441.3      73.2      97.6       8.4      11.6
    0.9999999778E+22     492.5     402.0     203.5      10.5      33.7      52.9       4.8
    0.9999999778E+22      47.4     376.5     336.7     109.3     142.7      73.5      14.2
    0.9999999778E+22     346.4     170.1     433.0      75.0     126.0      27.7       2.6
    0.9999999778E+22     400.6     483.8     367.8      42.9      69.8      34.6      18.0
    0.9999999778E+22      48.5     183.7      56.3     110.9     141.9      93.8      14.5
    0.5112841406E+05     182.1     307.7     330.9       1.2     113.3      55.5       3.0
    0.9999999778E+22     400.9     149.7     437.5      19.8      92.5      47.6       9.4
    0.9999999778E+22     246.7     325.9     294.1      83.1     103.3      70.3       4.9
    0.9999999778E+22     428.8     391.0     173.0     129.0     110.6      86.9       1.7
    0.9999999778E+22     498.7     151.8     289.4      22.5      28.6     125.2      11.2
    0.9999999778E+22     361.9     274.2      14.2      52.0      79.9      81.2       4.9
    0.9999999778E+22     139.4     133.5      20.1      91.2      67.3      83.0       4.7
    0.9999999778E+22     315.2     266.6     326.2     142.3      48.2      21.8       4.3
    0.9999999778E+22     212.3     413.7     223.6       4.8     123.2      18.2       9.1
    0.9999999778E+22     383.3     166.7     442.4      50.6       7.6      64.7      17.7
    0.9999999778E+22     101.5      17.3     158.5       8.7     140.3      89.0      18.2
    0.9999999778E+22     230.3     100.2     322.9      46.9     112.8      96.0      19.3
    0.9999999778E+22     241.2     228.6     347.5      63.6      75.2     101.4       7.7
    0.9999999778E+22     248.9     298.7     230.7      49.4      76.0     139.6       4.4
    0.5036080469E+05     165.7     223.6     349.5     148.2      53.0      88.6       6.4
    0.9999999778E+22     390.6       6.4     491.6     125.9     103.3      77.9       0.0
    0.9999999778E+22     163.1     385.6     322.7      48.5      78.6     149.0       8.7
    0.9999999778E+22     413.2     477.2      58.5     107.9     147.6      28.0       4.3
    0.4717030469E+05     340.7     363.0     370.2      23.2      87.0     138.9      12.4
    0.9999999778E+22     255.9      63.2     156.1      63.9     130.3      48.0       3.2
    0.9999999778E+22     466.5     350.8     493.7     101.2     108.2      40.4      15.6
    0.9999999778E+22     306.8     137.3      57.4     123.8      30.7      72.0       3.5
    0.9999999778E+22     433.4     386.6     183.3     126.2      69.7       0.8       7.1
    0.5052879297E+05      72.1     331.4     340.0     113.3     122.7       1.9      13.0
    0.5743032031E+05      24.8     188.0     272.4     136.6     107.8      48.3       0.0
    0.9999999778E+22     375.0     318.4     271.1      17.5      62.0     127.2      16.8
    0.4850583984E+05     130.7     367.4     399.5      65.4      39.4     141.2      15.1
    0.9999999778E+22     154.3     149.6     387.1     122.8     141.6      92.1       0.4
    0.9999999778E+22     491.4     332.6     336.9     145.7      94.9      35.4       9.9
    0.9999999778E+22     215.6     168.3     371.9       9.4      95.2     133.5      12.6
    0.4711269531E+05     114.3     348.9     361.0     149.5      54.8     109.4      18.3
    0.6781196094E+05     279.8     404.5     487.1      30.9     119.6      98.2       9.1
    0.9999999778E+22     119.3     378.7     323.4      39.4     128.6      32.0      17.2
    0.9999999778E+22     158.1     384.3     307.8      40.2      29.5     145.7      12.9
    0.5361067969E+05      73.4     191.8     439.2      22.4      70.5     149.7      12.2
    0.4893504297E+05     190.3     227.4     428.0      73.3     109.2     111.9      14.5
    0.9999999778E+22     306.8     147.5     463.2     133.8       6.1      85.4      12.8
    0.9999999778E+22     272.1     245.6     273.0     129.9     132.5      36.2      15.1
    0.9999999778E+22     284.5     129.3     341.8       0.3     145.1      54.9       3.0
    0.6169989062E+05      10.3     155.0     339.9     107.7      12.0      70.3      13.3
    0.9999999778E+22     127.8     115.1     429.5      27.5      10.1      34.0       6.6
    0.9999999778E+22      21.5     298.8     188.8      84.0     134.3      78.2       0.8
    0.9999999778E+22     220.6       3.6     406.8      99.1     132.9      28.2      10.4
    0.9999999778E+22     268.5      10.7     464.0       4.0      96.0       9.8       1.8
    0.9999999778E+22     286.1     377.9     223.9       1.6     121.6      58.4       6.0
    0.9999999778E+22     331.0     119.3     397.5     149.7     123.1      31.1       1.1
    0.9999999778E+22     224.2     149.5     490.7     116.0      26.7     137.8       3.9
    0.5411876172E+05      23.0     159.4     273.5     102.7     124.7      74.0      13.5
    0.9999999778E+22     221.5     269.5     254.1     134.8     134.0      88.0       6.0
    0.5186459766E+05     222.3     351.0     490.6      99.6      65.9      21.6      11.0
    0.9999999778E+22     183.0     465.2     127.9     119.7     103.4     139.2       5.8
    0.9999999778E+22      33.1     140.6     123.3     109.8      35.4     147.2      14.4
    0.9999999778E+22     468.6     321.4     363.1       7.9       7.1      45.9      19.1
    0.9999999778E+22     322.0      10.3     269.8      68.0      60.4      98.7      18.4
    0.4903210938E+05     197.0     227.5     229.3      52.9     143.6     134.6      15.4
    0.9999999778E+22       5.6     357.9     239.4       0.2     128.3      39.7      17.1
    0.9999999778E+22     150.9      17.6     468.5     109.4       9.9     107.3      17.0
    0.9999999778E+22     239.6     371.3     141.2      81.7      53.5      65.2      14.4
    0.9999999778E+22     491.6     192.8     372.0      66.1     106.4      16.2      13.9
    0.9999999778E+22     340.2     448.1     300.3     107.7      80.6      27.4       0.4
    0.9999999778E+22     208.7      65.4      22.7      60.9     124.0     102.2       1.7
    0.9999999778E+22     126.6     250.6     185.6      84.9      16.5       7.8       0.1
    0.9999999778E+22     293.3     237.7     270.5      29.1      52.5     119.2      16.9
    0.9999999778E+22     363.8     359.2     211.3      62.9     132.7      30.5       4.4
    0.9999999778E+22     267.6     122.2     129.4       3.3     106.7      86.0      19.5
    0.9999999778E+22     421.9     447.4     265.4      67.0      25.0       9.3      15.8
    0.9999999778E+22     159.6     447.3     313.3     128.5     122.5      43.9      14.5
    0.9999999778E+22     242.5     361.3     282.0     122.2      78.8       9.8      11.4
    0.9999999778E+22     499.5     373.5     123.2      37.6      93.3      63.7       9.3
    0.9999999778E+22     159.9      94.7     203.5     134.9      23.0      34.7       6.6
    0.9999999778E+22      65.7     303.5     222.8      60.5     106.5     108.3       1.3
    0.9999999778E+22     314.0     228.0     370.8      25.3      89.0      37.7       6.9
    0.9999999778E+22     266.1     482.3      34.1     101.1      96.4       5.7      11.1
