 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample22      37.28310000  -119.12110000    311963.3   4128387.2      2803      2803      2692      80.6      14.9
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample16      37.37880000  -119.03560000    319772.7   4138839.3      2372      2372      2302      78.3      14.8
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6520994531E+05     184.3     401.0     448.4     500.0     120.0     139.4       4.7       2.7
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     200.4     137.2     165.5      47.7     146.1     120.0       7.0
    0.9999999778E+22     176.1     499.0     219.7      46.6     139.5      28.4      11.0
    0.6544728516E+05     217.9     257.5     386.8      29.6      32.4     122.2       1.3
    0.9999999778E+22     338.6      43.4     363.4      58.4     137.4      29.7      12.3
    0.6678236719E+05     256.0     306.4     417.0     114.4      84.6     115.2       6.2
    0.9999999778E+22     340.9     390.9     305.5     115.0     108.6      82.8       5.2
    0.9999999778E+22     198.0      27.1     317.2     106.1       1.7      75.3       5.8
    0.9999999778E+22     287.3     463.4      23.7     149.6      18.7      99.1      12.8
    0.9999999778E+22     355.0     281.6       4.0      43.8       2.8     110.9      11.7
    0.9999999778E+22     137.1     443.5      26.4      80.1      20.3     137.5      14.6
    0.9999999778E+22     252.0     135.7     453.4      96.3     133.1       2.8      13.6
    0.9999999778E+22     481.1      33.2     375.4      30.8      95.2      91.2       4.4
    0.9999999778E+22     297.2      47.2      88.4      43.5     132.1      38.6       3.0
    0.9999999778E+22     323.4     347.1      19.2      33.0      42.1      52.7      15.1
    0.9999999778E+22      83.3     308.0      13.8       7.3      65.4      81.0       7.4
    0.7231995312E+05     145.9     219.6     388.6      79.5      84.9      69.3       8.4
    0.9999999778E+22     341.3     375.4      72.2      55.7       6.8      82.1       1.1
    0.6544183203E+05     303.1     350.8     389.9     145.3      45.1     105.1       9.1
    0.9999999778E+22     417.7     183.4     136.3      89.4      86.9     135.4       8.6
    0.9999999778E+22     250.2     144.6     392.8     142.9     128.6      11.3       4.5
    0.9999999778E+22      24.5     314.9     117.9      41.2      83.3      55.2      13.6
    0.9999999778E+22     196.7     168.9     382.4      66.8     147.7      72.3      11.4
    0.7447625781E+05      18.3      62.4     308.5     140.3      37.6      87.5       6.8
    0.9999999778E+22     290.8     350.9     153.7      77.5     124.8      27.6       8.2
    0.9999999778E+22      97.6     388.3     346.6      97.8      31.4      43.4       3.2
    0.9999999778E+22     358.6     149.1     198.9      39.6      86.4     125.7      18.0
    0.9999999778E+22      58.0     344.6     128.2     149.7      30.1      18.7      19.7
    0.9999999778E+22     228.7     300.7     272.2      99.4      44.8      79.4       7.9
