 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4602189844E+05     122.9     406.9     429.4     500.0      14.9     126.3       2.2       2.9
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     389.0     146.7     294.8       7.7      49.7      30.2      19.9
    0.9999999778E+22     369.0      35.2     163.9      41.5      79.5      73.6       6.5
    0.9999999778E+22     227.8     204.2     213.3     133.2     109.3     149.8      14.8
    0.9999999778E+22     181.8     487.5     113.1      25.4      32.0     123.5       1.5
    0.9999999778E+22     395.8     121.5     156.3      76.6      13.7      39.1       5.3
    0.9999999778E+22     111.4     427.1     274.4      38.0      71.7     144.9      12.3
    0.9999999778E+22     368.1     434.4     344.7     145.9      53.6     139.7       6.2
    0.9999999778E+22     243.9     178.0     357.0      86.7      13.5      65.5       5.3
    0.5428793359E+05     100.9     164.5     394.0      16.3      52.1      67.3       9.7
    0.9999999778E+22     296.0     181.0     331.6     119.0      93.3      95.4       9.7
    0.5392726172E+05      25.7     247.8     289.4      36.1      96.4       4.1      15.7
    0.9999999778E+22     442.6     394.7     451.1       1.7      74.2      43.2      13.7
    0.9999999778E+22     447.9     432.1      13.2      74.9     134.8      90.1       8.6
    0.9999999778E+22     116.3     456.4     385.4      64.0      70.6       5.2       9.9
    0.9999999778E+22     113.1     331.1      93.6      70.8      21.3      61.0       9.5
    0.9999999778E+22     430.7     213.2     447.5      29.1      85.9      36.1      14.0
    0.9999999778E+22     215.2      93.8     339.5      17.2      80.3     107.1       3.3
    0.9999999778E+22     445.8     314.4     148.9      59.3     146.1      44.3      11.6
    0.9999999778E+22     176.9      85.9     382.3     117.2      90.1     133.6      13.8
    0.9999999778E+22     108.3     330.8     154.7       9.6      15.0       0.6      15.6
    0.9999999778E+22     164.3     156.3     167.2       1.1     145.7      19.7      16.7
    0.9999999778E+22     469.5     237.6     423.7      17.5     129.4     109.6       8.9
    0.5334825000E+05      30.7     148.3     390.4     138.8     111.8      25.0      15.9
    0.9999999778E+22     163.1     445.4     206.3      36.6     139.2      55.2       8.5
    0.9999999778E+22     107.9     273.8     138.7      89.5      35.8      47.7      15.5
    0.9999999778E+22     383.1     283.5     475.3     136.9     149.9     119.8       8.6
    0.4722760938E+05     213.2     298.9     492.1      41.2     150.0      41.8      19.5
    0.9999999778E+22     366.8     470.8     320.4     132.6      68.5      75.6      14.6
    0.9999999778E+22      37.0       8.3     116.0      30.8      84.7     133.0       0.5
    0.9999999778E+22     238.1      24.4     344.0      65.4      20.0      69.1      15.7
            Infinity     148.3     251.1     476.3       1.8      33.8      23.5       8.8
    0.9999999778E+22     217.2     454.3     256.1     128.1      52.7      28.7       0.2
    0.9999999778E+22     491.5     195.4     285.0     114.4      40.4      13.0       6.6
    0.9999999778E+22     216.9     244.9      62.8     105.3      44.5      71.4       8.3
    0.5002310938E+05     186.4     413.9     416.3      84.8      55.5      69.1      17.6
    0.9999999778E+22     295.2     224.7     437.0      71.0      17.0      24.3       6.2
    0.9999999778E+22     373.8      72.6     437.8      19.6      59.5     135.2      15.5
    0.9999999778E+22     376.1     106.1      10.7     114.1      95.0     143.1      14.6
    0.9999999778E+22      66.2     246.1      66.0      95.2     106.0      85.2      19.2
    0.9999999778E+22     397.6     175.1     271.1      90.6       6.9      20.2      17.0
    0.9999999778E+22     497.0     334.4     494.3      77.5     131.2      46.3      13.5
    0.9999999778E+22     428.4      85.6     485.6      24.6     147.6      42.4      14.8
    0.6068506641E+05      60.4     132.3     302.4      86.2      16.5      50.6      19.7
    0.9999999778E+22     201.7     369.6     310.8      17.9      74.0      48.5       4.6
    0.9999999778E+22     135.3     283.5     228.7      81.0     109.5     120.4      11.8
    0.9999999778E+22     114.2     369.4      11.2      76.8     103.4      18.9      11.2
    0.9999999778E+22     191.0     397.3     324.1      45.5     124.3      50.9      13.5
    0.9999999778E+22     428.5     109.5     186.5     116.3      85.2      59.2       9.1
    0.9999999778E+22     469.5      92.9     464.3      97.0      85.5      97.7       6.9
    0.9999999778E+22     240.8     422.4     303.1      90.3      73.2      13.5      16.3
    0.9999999778E+22     217.9     132.9     449.3      38.0      17.8      92.0      12.6
    0.6047719141E+05      85.7     113.5     332.7      83.1      20.6      45.3      12.5
    0.9999999778E+22     498.6     403.2      97.7      37.2     143.7     147.3      12.5
    0.9999999778E+22     125.3     466.2     347.5      38.1     129.1      98.9       2.6
    0.9999999778E+22     338.1      17.3     337.9      98.6      16.8       1.6       6.1
    0.9999999778E+22      40.9      35.4      75.7      85.6      88.2      38.8      13.8
