 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6430541406E+05     209.9     407.3     424.5     500.0      69.2     121.7       4.6       1.6
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22      52.0     232.2      45.5      30.2      29.5     141.6      14.6
    0.9999999778E+22     150.5     131.7     244.5     111.4     144.1      51.8      11.6
    0.9999999778E+22     302.2     351.9     156.5      49.5      73.4     125.8       0.7
    0.9999999778E+22     498.5     318.4     308.9      82.5      74.3      90.7       6.3
    0.9999999778E+22     265.6     258.1     152.6      55.5      17.4      11.2      13.0
    0.9999999778E+22      49.6     354.5     124.6     106.6     134.7     102.8      13.7
    0.9999999778E+22     296.1     478.0     354.3      49.5      12.7     100.4       1.2
    0.9999999778E+22     154.8      68.7     453.8      45.6     119.4     131.4      14.7
    0.9999999778E+22     174.1       8.2     275.3      14.7      35.3      72.4      11.8
    0.9999999778E+22     182.7     401.8      28.3      55.2      58.4     130.7       5.5
    0.9999999778E+22     309.5     321.8     136.0      27.0     105.2      19.4      13.9
    0.9999999778E+22     420.4     370.8     408.3      22.0      88.3     114.7       8.7
    0.9999999778E+22     140.4     411.1     389.9     112.6      40.6      89.1      14.6
            Infinity     160.0     188.9     218.1      41.8       6.2      62.1       8.2
    0.7082539062E+05     127.3     289.6     318.5      36.6     139.2      36.2       3.3
