 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6065413281E+05       8.3     400.1     425.1     500.0     140.7     149.1       1.1       1.7
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     376.3     222.4     165.1      10.7     146.5       7.3       8.4
            Infinity      34.3     166.9     406.1       5.4       9.5      65.0       1.9
    0.9999999778E+22      41.6      80.8      67.7      25.0       8.3     119.7       2.3
    0.6603811719E+05     320.7     350.9     431.1     104.5      52.0     129.7       1.7
    0.9999999778E+22     336.2      26.3     392.8     105.6      52.9     106.6      15.2
    0.9999999778E+22      61.8      53.8     249.5     144.5     102.1      68.5      13.9
    0.9999999778E+22     211.1     122.0      50.4      57.9     132.9     109.3       5.8
    0.9999999778E+22      73.9      39.2     165.1     101.6       8.8      14.6       1.0
    0.9999999778E+22      46.0     309.6     155.1     128.0     141.2     138.1       2.1
    0.9999999778E+22     326.4     177.9     170.3      96.2      28.4     149.0      13.9
    0.6807672656E+05     137.8     203.2     438.7     136.2     108.0     117.8      19.3
    0.9999999778E+22     321.6     382.5     324.2      38.2      36.8     116.1      16.4
    0.9999999778E+22      55.8     432.4     299.5     105.0      53.3      63.1       9.7
    0.9999999778E+22     459.1     252.8     133.0      60.8       7.5     122.7      10.3
    0.9999999778E+22     262.1     157.6     211.1      36.4     144.6      96.1      17.9
    0.9999999778E+22     416.4     278.1     429.2     142.1      34.9      67.4       7.8
    0.9999999778E+22     132.1     444.8     185.4       3.4      62.3     125.9       5.0
    0.9999999778E+22     152.9     261.2      63.3      99.8     101.7      41.2       0.7
    0.9999999778E+22     221.1     118.3       7.2     133.1      34.4      15.8      13.9
    0.9999999778E+22     266.2      99.5     431.2     147.2     132.7      67.3       1.8
    0.9999999778E+22     224.9     379.8     226.2       7.4     134.7      53.4       5.1
    0.9999999778E+22     413.7     495.5     186.1      91.2      87.2      75.0      12.7
    0.8216985938E+05      42.8     158.5     273.3      64.7      66.3       4.6      17.0
    0.9999999778E+22     335.8     205.0     429.2     117.4     103.5     141.0       4.3
    0.9999999778E+22     495.6       7.4     385.0      88.1     127.2     131.3      14.0
    0.9999999778E+22     470.4     313.3      14.1      88.9     143.7      73.0       0.2
    0.9999999778E+22     397.3     491.8      17.9      83.7     104.3     125.7      15.0
