 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4218895312E+05     187.2     404.0     431.6     500.0      79.0     132.2      15.6       0.4
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     155.7     447.8     399.6     122.2      80.6      30.6       0.8
    0.9999999778E+22     394.5     351.7     275.4      38.6      36.5      85.1      14.3
    0.9999999778E+22     137.5     111.6     224.5      68.9      83.8      43.8      13.6
    0.4575517969E+05      85.6      99.8     410.2      64.0     147.4     140.7      18.7
    0.4455311719E+05      61.9      96.7     172.1      60.9      94.7     136.9      15.0
    0.9999999778E+22     171.5     303.5     225.8      92.3      46.1      77.9       4.3
    0.9999999778E+22     451.0     264.6     307.7     106.6      43.9      48.6      10.9
    0.4999964062E+05     174.7     216.5     251.8      96.7     128.2      30.3      18.1
    0.9999999778E+22     132.1     443.2      33.5      29.2      89.5      88.4       3.5
    0.9999999778E+22     197.9      15.7      21.2      51.2       5.7      14.7      11.3
    0.9999999778E+22     465.2      62.5     457.5      31.4     128.8      26.1      10.5
    0.9999999778E+22     172.6     309.3     260.8     107.8       7.7     129.9      18.6
    0.9999999778E+22     298.2     377.4     116.3      35.3     132.2     105.8       0.0
    0.9999999778E+22     284.6     176.7      25.6      56.6      59.2      45.0      13.9
    0.9999999778E+22     335.3     220.7      92.0     142.2     105.8       3.4      12.6
    0.4268130078E+05     190.9     318.9     357.5      38.7      67.1     100.9       0.6
    0.9999999778E+22       2.5     180.9      96.5       4.2      35.4      18.4       0.4
    0.9999999778E+22     318.4     371.4     324.3      55.1      98.5      57.0      19.7
    0.9999999778E+22     209.8     446.1     289.1      71.6      80.4     121.8       1.7
    0.9999999778E+22      85.7     424.5     344.9       7.0      75.6     110.5      11.4
    0.9999999778E+22     259.5      55.1     108.5      36.7     144.4      52.9       4.0
    0.9999999778E+22     348.4     335.5     197.2     146.2      61.1      17.2       3.9
    0.9999999778E+22     452.6     186.2     430.3      80.1      26.1     141.2       6.7
    0.9999999778E+22      66.8     489.3     344.6     139.2      84.4     121.7      15.2
    0.9999999778E+22     199.6     420.1     412.9      80.9      67.7      93.6      13.2
    0.9999999778E+22     167.6     267.1      86.9     112.7       1.2      18.3      17.7
    0.9999999778E+22     359.2     318.5      70.8      60.4     125.0      59.7       4.9
    0.9999999778E+22     143.3     439.1     143.0      15.7     134.4     111.4      19.6
    0.9999999778E+22     329.4     296.5     291.4      94.1     122.8       4.2      18.9
    0.9999999778E+22     331.6     136.2      44.8     103.4      71.6       7.8      10.0
    0.9999999778E+22     269.7     231.4     145.3     133.1       9.4       7.4       0.6
    0.4620881250E+05      41.2     473.1     474.0     135.5      32.8      26.6      15.4
    0.9999999778E+22      10.7     398.9     297.0     118.2      52.8      85.8      12.9
    0.5091497266E+05      28.3      61.0     124.6      70.3      98.9      89.2      16.6
    0.9999999778E+22     287.1      46.1     187.0     112.6      67.7      44.3       7.7
    0.9999999778E+22     329.9      54.3     166.6     131.2     141.8      57.9      17.4
    0.9999999778E+22     120.7       5.3     490.6     114.3     135.9     104.4       3.9
    0.9999999778E+22     306.5     247.3     428.9     135.5     143.9      19.3      15.8
    0.9999999778E+22       5.6     497.5     252.1      60.5     141.1     104.3       4.1
    0.9999999778E+22       0.5     281.1      16.5     146.6      25.0     118.6       5.2
    0.9999999778E+22     445.8     449.1     296.9     110.8      11.7     118.3       3.1
    0.9999999778E+22      81.2      60.4     340.0      97.2      90.0      49.1       3.4
    0.9999999778E+22      75.7     339.3     271.6      67.6     110.0      52.5      13.7
    0.9999999778E+22     470.8     271.3     307.8       8.1      73.1      41.5      10.0
    0.9999999778E+22     466.4      96.4     304.5     111.6      86.2      77.2      19.3
    0.9999999778E+22     447.3     265.3     366.2     121.2      67.5      36.8      11.2
    0.9999999778E+22     130.9      77.1     360.2     149.9      22.9      88.8      18.9
    0.9999999778E+22      37.3     378.1     237.3      35.1      89.7      97.5       3.0
    0.9999999778E+22     161.7      39.5     387.1      27.5      38.7      63.1       7.1
    0.9999999778E+22     335.6     217.2      43.8      50.7      26.0      67.6       3.0
    0.9999999778E+22     262.9     475.6     251.6      98.8      89.1      31.2      14.1
    0.9999999778E+22     472.4     482.6     453.0      24.6      29.7     109.2      15.0
    0.9999999778E+22     467.6      94.1     194.8     135.6      12.0     131.6      11.1
    0.9999999778E+22     178.8     140.9     327.9     138.6      44.1       8.6      12.1
    0.9999999778E+22     280.2     256.2     146.0      31.2      94.0       6.2      18.2
    0.9999999778E+22     279.2     373.2     242.3      99.4      69.3     113.7       8.4
    0.9999999778E+22     499.5     448.6     313.2     135.0      20.9     104.7      14.9
    0.9999999778E+22      70.2      15.1     367.5      91.9     140.7     129.0       6.4
    0.5153709375E+05     162.3     230.9     374.2       5.3      69.2      33.4       5.6
    0.9999999778E+22     251.6      74.0     372.4      29.8     124.7      18.5       0.7
    0.9999999778E+22      24.6     345.7      78.3     141.0     127.0     123.3      14.9
    0.9999999778E+22     171.8     397.8     303.2     145.4      89.4     128.2      10.5
    0.4792119531E+05      25.4      34.7     462.9      18.5     134.0      24.8       7.2
    0.9999999778E+22     457.6     180.8     313.8      62.0      10.0      39.5       1.2
    0.9999999778E+22      25.1     402.4      77.6     119.3     135.4      21.1       3.4
    0.9999999778E+22     217.2     440.2      43.8     133.1     118.6      58.8       4.0
    0.4311835156E+05     284.2     291.5     337.8      82.0     129.2      98.2       1.8
    0.9999999778E+22      40.6     240.9      69.9     117.1      47.8     132.0       5.1
    0.9999999778E+22     394.3       7.8     384.5      61.9     141.2      98.6       9.1
    0.4295252734E+05       2.4     107.2     384.1       4.1      40.7     127.4      10.1
    0.9999999778E+22     104.1     135.5      16.7     121.8     102.6      33.0       2.7
    0.9999999778E+22      21.6     374.0      79.7      41.7      37.1      43.5      12.8
    0.9999999778E+22     431.7     249.0     169.5     134.7     139.0      60.4       8.1
    0.9999999778E+22     304.3     119.0     191.4      87.4      18.1      25.2      15.1
    0.9999999778E+22     449.6     227.8     206.0     122.7     136.0     139.6      16.1
    0.9999999778E+22     117.2     424.8      71.5      68.2      57.3     137.2      17.8
    0.9999999778E+22      44.6     183.2       2.6      49.9      62.9      11.0       8.4
    0.9999999778E+22      46.8     300.2     135.5      55.9      59.1      13.9       7.8
    0.9999999778E+22     182.1      51.3       4.6      67.4      55.6     148.7      11.8
    0.9999999778E+22     183.1     122.3     193.7      23.7     138.5      94.9      10.6
    0.5384087500E+05      39.3     132.8     237.9     124.9     120.3      20.4       4.7
    0.9999999778E+22     422.1     145.2      96.3     113.5       9.8     112.1       9.0
    0.9999999778E+22      42.6     210.4     114.9      81.1     102.9      62.4       1.5
    0.9999999778E+22     463.0     255.3     462.1      45.5      97.3      62.2       5.1
    0.9999999778E+22     282.2     434.6      48.2      86.3     117.4      34.4       6.7
    0.9999999778E+22     267.6     262.0     461.3      46.3     100.8      24.1      16.5
    0.9999999778E+22     208.3     296.7     186.6      66.6      72.1      99.6       1.3
    0.9999999778E+22     297.9     486.2     450.9      53.9     114.5      65.1      10.1
    0.9999999778E+22     241.4     123.2     248.0      40.0      91.8      47.0      10.7
    0.9999999778E+22     309.4      16.1     466.5      97.3      23.1      11.5      12.8
    0.9999999778E+22     470.0     283.0     238.9      13.5      66.5      26.2      11.3
    0.9999999778E+22     373.6     245.0     400.0      24.9      25.3     114.1       6.0
    0.9999999778E+22     128.5     391.4      19.9      24.6      29.6      60.6      17.7
    0.9999999778E+22     185.1     423.0     333.8     109.8      89.2      51.9       6.5
    0.5596543750E+05      75.1      99.4     438.8     110.0      26.1      39.4       8.6
    0.9999999778E+22     402.0      70.7      30.8      75.9      97.7      69.5       6.4
    0.4435904688E+05      24.4      46.0     190.1      36.3      70.1     130.2      17.7
