 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5139290234E+05     156.6     408.8     419.0     500.0     116.0     149.0       4.6       2.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     475.8     419.2      42.0     120.7     107.5     149.9       4.0
    0.6807272656E+05      12.3      32.4     463.1      76.7      66.4      37.7      17.1
    0.9999999778E+22     149.4      20.7     443.9      22.7      97.1       3.7      18.3
    0.9999999778E+22     336.7      68.7     482.1      75.2      10.1     141.2      13.3
    0.1118515938E+06      54.0     216.8     498.4      10.3     108.0      98.7      17.5
    0.9999999778E+22      42.0     469.0     383.3      87.4      29.5      22.0      17.6
    0.9999999778E+22     279.6     231.9     165.4      33.5       7.2      96.7      10.4
    0.9999999778E+22     455.7     277.2     255.3      19.8      76.5     104.4      17.7
    0.6390873828E+05      59.1     212.9     463.8      94.8       9.2      65.2       8.8
    0.9999999778E+22     433.9     389.9     316.7     132.5     118.1      78.4       1.5
    0.9999999778E+22     496.5     121.6     314.3     110.4      70.6      60.6      10.8
    0.9999999778E+22     313.7     134.3     309.2     142.4      77.3     110.8       9.5
    0.5691185938E+05     186.2     281.2     313.4     127.9     131.8      36.6       4.0
    0.6285375000E+05      75.3     121.9     253.5      30.6     135.5      37.4      16.5
    0.9999999778E+22     496.8     463.5     341.0      63.1      56.4     135.6      19.2
    0.9999999778E+22      19.5     385.9     328.3      20.6      20.0      38.4       5.3
    0.9999999778E+22     273.6     341.9     215.9     136.6      28.6     140.2      13.3
    0.9999999778E+22     438.3     192.0      30.2     119.1      89.4      59.1      11.4
    0.9999999778E+22     433.6     362.3     386.9      64.7      94.8     132.7       9.8
    0.6877239844E+05      67.6     181.0     341.8     145.2       8.2       6.6       9.2
    0.9999999778E+22     185.8     346.0      94.3       0.3     129.0      21.0       7.1
    0.9999999778E+22     324.1      56.7     315.8       5.4      78.7       7.4      11.2
    0.5469328125E+05     147.6     398.7     465.5      36.1      81.3      41.8       1.4
    0.9999999778E+22     358.4     306.3     338.0     114.3      84.6      11.6      10.9
    0.9999999778E+22     412.0     145.9     277.0      81.4     123.2       4.9      16.8
    0.9999999778E+22     429.7       5.5     115.8      45.1      89.4      96.2      12.5
    0.9999999778E+22      91.4     247.6     180.1     137.2      40.8     122.1       7.5
    0.9999999778E+22     398.9     303.2     211.3      34.6     112.8     136.1      16.6
    0.9999999778E+22     435.3      78.1      80.8       0.0      19.4      18.8       6.9
    0.9999999778E+22     258.5     495.2     204.9      51.3      83.1      30.3       7.6
    0.9999999778E+22     262.8      58.6     433.7     111.6     100.8      97.3       9.7
    0.9999999778E+22     430.3     384.2     466.3     104.0     138.1      57.6      16.5
    0.9999999778E+22      81.3     214.5      97.5      45.6       6.3      64.6      10.4
    0.9999999778E+22     228.4      14.8     460.2      10.6      78.6     113.8       8.8
    0.9999999778E+22     411.5     355.9     214.5      61.7       6.8      66.1       2.1
    0.9999999778E+22     342.7      19.5     203.5      88.4      71.8      95.1      11.3
    0.9999999778E+22      57.1     365.5     241.3     100.8      14.3      64.1       8.9
    0.6244502344E+05     233.1     325.5     451.6     109.7      73.5     142.7       2.3
    0.6189510547E+05      35.9     213.3     319.9     148.0      91.4      11.8       5.4
    0.9999999778E+22     145.0     149.3      63.6     121.0      97.9      51.2       9.8
    0.5318378516E+05     166.8     384.0     429.0      86.4     116.9      92.1      14.5
    0.9999999778E+22     269.6     484.6     478.3      67.8      49.8     119.8      16.7
    0.9999999778E+22      51.1     175.0      70.2     113.3      21.3     146.6      17.6
    0.9999999778E+22     193.0      32.9      49.6      21.7     129.9     106.3      10.8
    0.9999999778E+22     475.7     434.1     473.3      83.4      68.7      73.4       0.3
    0.9999999778E+22     159.5      52.3     447.5      58.2      90.2     146.1       6.3
    0.9999999778E+22     142.2     331.4      54.1      33.5       2.0      25.8       2.9
    0.9999999778E+22     216.4     209.4     134.2     105.2      71.0      81.6      15.5
    0.5279339062E+05     155.2     184.2     280.8      69.1      76.5     124.6       3.0
    0.9999999778E+22     184.1     491.4      67.9       7.1      20.4     109.2      17.6
    0.9999999778E+22     168.4     484.3     305.2     106.4      83.7      91.5      13.7
    0.9999999778E+22     296.4     277.7     183.7      83.3      51.0     146.5       9.8
    0.9999999778E+22     179.2      58.0     202.4      13.4      76.0     131.7       5.4
    0.9999999778E+22     484.3      83.6     254.6      39.7       0.8     105.9      11.5
    0.5287643750E+05      52.3     249.1     269.5      63.1      92.5     116.6      17.5
    0.9999999778E+22      39.5     145.8     105.4      17.2      64.2      55.9       4.4
    0.9999999778E+22     430.8     341.7      94.7      81.2      99.5      96.3       2.1
    0.9999999778E+22     488.9     214.9     236.3       4.7      34.5      51.0      18.3
    0.9999999778E+22     176.1     416.4     416.2      71.9      47.8      71.0       9.6
    0.9999999778E+22      63.8     497.4     167.4      71.7      44.0      45.2      16.3
    0.1055574219E+06     226.3     381.4     492.9      79.4      67.3     119.8      18.7
    0.9999999778E+22     468.7      84.7     174.0      98.0     131.0     111.4      12.5
    0.9999999778E+22      89.8      32.7     471.1      73.3     117.4      81.3      12.0
    0.9999999778E+22     499.1     454.8     148.7     146.3      91.5      35.2       6.7
    0.5264082812E+05     117.4     195.4     302.1     108.9      70.9     113.4       6.5
    0.9999999778E+22     278.3     365.0     203.0       7.5      41.2     146.1      17.3
    0.6323215234E+05      25.0     145.0     439.3      48.0      84.6      27.1       3.1
    0.9999999778E+22     192.4      50.0      72.8       8.8     136.6      32.0      14.5
    0.9999999778E+22     145.0     115.0     102.2     133.8      10.3      79.7      17.7
    0.9999999778E+22     447.5     187.0     394.9     123.5      67.9     112.0      17.2
