 Total number of samples:           5
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample16      37.37880000  -119.03560000    319772.7   4138839.3      2372      2372      2302      78.3      14.8
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample16      37.37880000  -119.03560000    319772.7   4138839.3      2372      2372      2302      78.3      14.8
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3851813281E+05     278.9     404.8     450.0     500.0      27.4     136.9       1.5       1.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     141.5       2.7     287.1      95.4     133.5      85.0       6.6
    0.9999999778E+22     250.2      25.3     387.4      68.1     132.3     123.0       4.2
    0.3950304688E+05     154.2     386.4     404.9      54.4      23.9     127.0      12.5
    0.9999999778E+22     345.9     434.2     244.5      94.9      23.4     142.4      18.3
    0.9999999778E+22     137.8     129.4     292.3      71.6      59.5      28.1       0.6
    0.9999999778E+22     395.3     199.6     387.2      94.0     131.4     147.9      14.8
    0.9999999778E+22     113.9     112.3     152.1      25.4      58.7       3.8       4.2
    0.6889938281E+05     150.6     255.9     491.1       2.2      73.3     112.9      16.1
    0.9999999778E+22     304.4     193.6     302.9      14.9      25.1      83.1      17.5
    0.9999999778E+22      87.3     394.6     356.7      98.1      89.3     135.5       2.8
    0.9999999778E+22     190.8     392.3      77.5     128.7      50.2      96.7      13.5
    0.4099549219E+05     189.8     368.1     413.6      82.1      84.3      46.3       3.5
    0.9999999778E+22      45.7      15.5     301.8      33.3      59.7      47.5       2.7
    0.9999999778E+22     401.8     435.5     243.6      74.1      30.2      87.8       7.4
    0.9999999778E+22     444.8     329.9     246.1       1.8      43.4      57.1      15.1
    0.9999999778E+22     474.9     336.8     419.3      59.6     108.3      30.3       7.7
    0.9999999778E+22     494.6     144.5     481.2      54.6     102.4      58.0      13.6
    0.9999999778E+22     294.0      64.0     142.1     105.9      36.6      97.1       7.4
    0.9999999778E+22     247.7     387.4      52.2      57.8     145.6     125.8      19.6
    0.9999999778E+22       7.1     312.5      80.3      85.9       3.0      32.1      14.5
    0.9999999778E+22     174.1     108.6     270.8     121.5      28.3     127.9       2.0
