 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4991285938E+05      30.6     404.9     415.9     500.0      99.0     110.9       0.7       6.4
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     289.6      29.9      81.2      24.9     137.7      74.3      19.5
    0.5284035938E+05      61.3     234.9     300.9     117.4     131.2      85.7       7.9
    0.9999999778E+22     426.5     275.5     383.1      19.6     126.7      75.9       8.4
    0.9999999778E+22     174.9     150.0     142.5      53.5     100.3     142.0      16.1
    0.9999999778E+22     374.7     119.9      22.5      43.0      76.8      76.6       4.5
    0.9999999778E+22     217.7     345.1     255.1      12.4      32.0      71.0       4.4
    0.9999999778E+22     346.9     498.4      53.4       9.8      12.9       3.0       8.6
    0.9999999778E+22     339.4     340.6      17.8      81.7     110.3       5.9       5.8
    0.5233489844E+05     274.0     325.9     469.3      72.4     120.7      69.4       0.8
    0.9999999778E+22     128.3      64.1     282.1      27.1      86.1      43.6      15.8
    0.9999999778E+22     232.5     373.0     350.3      24.9     123.7      57.4      16.1
    0.9999999778E+22     282.4     123.0      32.0      18.1      44.2     130.2       5.3
    0.9999999778E+22     217.4     291.1     123.4      38.3      57.4      99.5       5.1
    0.6098553906E+05      58.1     109.9     147.4     112.2     109.1      77.7      10.6
    0.9999999778E+22      86.1     362.1     130.1      78.2     116.1      54.9      11.2
    0.9999999778E+22     193.2      83.7     139.1      45.1      68.5       6.8       5.9
    0.9999999778E+22     134.6     137.7     114.2     103.3      36.5     111.8      10.2
    0.9999999778E+22     200.3      23.2     326.5      60.3      84.9      79.1      18.9
    0.9999999778E+22     486.0     167.2     303.9      65.7      32.3      79.0       5.3
    0.9999999778E+22     394.6       9.2     413.7       3.8      88.9       5.7      14.9
    0.5035521094E+05     169.5     250.9     373.3     147.3      92.5      90.2      14.3
    0.5328779297E+05     326.7     383.7     402.2     113.3      27.5     138.0      14.7
    0.9999999778E+22     254.6     366.6     128.4     147.7      52.2     109.6       7.2
    0.9999999778E+22     287.2     120.0     277.3      17.7      81.6      82.0       5.7
    0.9999999778E+22     329.4     313.4     487.3      88.5     146.6     105.6      12.9
    0.9999999778E+22     431.5     366.6     333.9       8.6     119.1     103.0      19.7
    0.9999999778E+22     493.3     438.5      38.6      96.1      43.0     106.5      13.4
    0.9999999778E+22     237.3     140.5     369.2     140.1      61.7     115.7      15.0
    0.9999999778E+22     262.1      21.2     168.6     113.1     130.2       6.9      11.9
    0.9999999778E+22     486.6      58.8     384.2      29.5       6.4      98.5      17.4
    0.9999999778E+22     223.2     273.5     156.8     131.0      67.5      93.4      12.8
    0.9999999778E+22     414.4     391.7     184.3       2.9      75.6     142.5      18.1
    0.1285863281E+06     379.3     464.2     496.7       0.7      88.0     131.5      13.3
    0.9999999778E+22     345.2       5.6      94.3      52.2      21.0     101.0       2.3
    0.9999999778E+22     213.5     227.4       0.1      68.7     139.0      45.4       9.1
    0.9999999778E+22     388.4     394.2      14.5      97.9     126.4     113.4      10.4
    0.9999999778E+22     227.9     230.3      43.8      26.7       5.3      61.2      12.5
