 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5223596094E+05     133.3     410.3     435.8     500.0      12.7     107.1       3.2       1.9
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     431.2     327.0     183.6     146.1     141.2      46.6      14.5
    0.9999999778E+22     450.8     121.1     435.4     125.8     118.6     113.4      10.1
    0.9999999778E+22     339.3      16.6      12.3      23.8      50.0       1.7       6.9
    0.9999999778E+22     359.1     156.3     477.4     104.4     112.5      32.3      18.4
    0.9999999778E+22     409.5     121.8     299.8      33.2     146.8     102.3      18.0
    0.9999999778E+22      89.3       4.5     186.5      94.5      95.2      18.2       9.5
    0.9999999778E+22     269.9      32.8     456.6     147.0      64.9      11.1       2.7
    0.9999999778E+22     449.3     224.6     193.5      76.3     124.6      35.0      12.8
    0.9999999778E+22     337.7     342.7      37.6     114.4      45.3      52.6       5.4
    0.9999999778E+22     303.8     374.8     181.2      37.7     103.5      88.5      14.0
    0.9999999778E+22     300.4     475.3      11.0      65.2      84.3     143.5       4.2
    0.9999999778E+22     240.9     360.6      27.4      11.2      79.5     126.4       1.1
    0.9999999778E+22     470.8     124.4     475.0      55.7     139.8      80.5      18.6
            Infinity     159.3     391.5     465.5       5.1      25.6      68.2       2.1
    0.9999999778E+22     251.7     478.4     384.9     142.6      52.9      12.2      16.5
    0.9999999778E+22     459.5     272.1     226.1     133.4     147.7     103.6       6.1
    0.9999999778E+22     376.6     269.4     417.6     147.5      85.2      51.1      11.5
    0.9999999778E+22     289.5     454.0      72.8      28.0      95.0     139.4      13.0
    0.9999999778E+22     299.0     470.2     305.2      96.5      61.8     113.6      11.8
    0.9999999778E+22     368.2     181.9     385.2     116.6      45.6      33.1      19.2
    0.9999999778E+22     340.4     304.6     398.8      53.0      94.3     117.3       2.6
    0.9999999778E+22      74.9       0.9     192.0      85.9      77.1      74.3      17.2
    0.9999999778E+22     272.2       6.2     179.1      92.5     107.7       8.1       2.8
    0.9999999778E+22     120.2     115.7     465.5      45.6      12.3      76.0       8.0
    0.9999999778E+22     455.2      26.6     425.8      62.7      50.8      28.4       0.1
    0.9999999778E+22     197.0     325.2     163.4      13.3     137.5      43.8      19.6
    0.9999999778E+22     111.3     278.3     250.8      25.8      78.9      99.2       8.6
    0.9999999778E+22     141.0     131.9     188.5      59.0      25.1      16.0       5.3
    0.9999999778E+22     135.1     304.0     173.3      35.2      19.7     120.7       1.2
    0.6245806250E+05      42.5      46.1     295.5      43.7     140.8      53.8       7.5
    0.9999999778E+22     243.1     348.4      92.0      65.4     118.5     114.7      16.9
    0.9999999778E+22      31.9     412.1      20.6     121.7     134.8       8.0      13.5
    0.9999999778E+22     460.8      23.3     178.5      38.1      14.6      62.3       2.1
    0.9999999778E+22     355.9     484.2     358.0      64.6      89.2     119.7      15.7
    0.9999999778E+22     383.3     368.4     162.5      69.4     125.6      58.7       9.4
    0.9999999778E+22     182.6     161.8     358.8      36.9       9.0     135.9       0.3
    0.9999999778E+22     255.4     465.5      65.8      63.0     125.5      51.8      13.1
