 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5241889844E+05     249.2     397.2     424.4     500.0     104.8     135.9       2.5      16.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     295.5     296.6     253.5      57.2      90.5      15.1      10.6
    0.6384867969E+05       9.5      10.2     496.2     118.0      44.3      86.1      11.1
    0.9999999778E+22     113.3     309.4     279.2      71.9     143.7      94.2      12.5
    0.8598555469E+05      17.1     404.0     497.0       3.5      31.6     104.7      10.3
    0.9999999778E+22     278.4     260.4     307.7      32.6     146.9     109.6       3.3
    0.9999999778E+22     213.9      22.0     170.1     135.0     110.5      28.8       0.9
    0.9999999778E+22     214.0      14.5     389.9     130.1     128.6      22.2      17.4
    0.9999999778E+22     103.5      11.0     220.8     135.5      23.8     139.4       7.5
    0.9999999778E+22     306.8     388.1     109.2      26.3       8.5      28.8       2.4
    0.9999999778E+22     141.9     400.2     370.9     130.1      81.8     116.5       7.2
    0.9999999778E+22     380.6     205.3     303.8     112.6      90.9      27.2       2.6
    0.9999999778E+22     324.7      32.5     324.6      89.5     138.3      44.4       7.6
    0.9999999778E+22     232.2     211.6      49.1     104.3     139.6      63.1      11.2
    0.9999999778E+22     249.3     281.8     270.4     146.3     117.2      65.6      13.5
            Infinity     211.5     299.0     368.4      31.2      12.4      33.4      12.2
    0.6990067969E+05      50.1      72.9     261.0     104.1      75.9      41.4      18.4
    0.9999999778E+22     422.8     398.8     307.4      83.7      94.3      86.7       6.2
    0.9999999778E+22       9.6     152.4      95.1      18.4      26.8      93.4      11.1
    0.9999999778E+22     163.9     192.6      70.5      75.8       5.4      91.3      19.1
    0.9999999778E+22     279.6     186.7     339.4      11.4      74.7     115.0      18.1
    0.9999999778E+22     397.5     260.0     193.5     136.7      17.4      55.5       7.5
    0.9999999778E+22     192.6     459.2     211.2      68.0       7.8      80.4      18.3
    0.9999999778E+22     281.1      64.0     126.5      78.5     127.4     139.7       0.5
    0.5265765625E+05     323.7     377.6     393.9     106.6     113.4      79.7      18.7
    0.9999999778E+22     340.8     122.3      90.8      36.5      99.0     132.9      11.3
    0.9999999778E+22     126.4     327.1     102.5      92.4      74.2      45.0      16.1
    0.9999999778E+22     268.1     104.9     240.7      58.3     128.0      25.1      17.0
    0.9999999778E+22     308.8      73.8      70.8     122.5      78.3     108.7      11.0
    0.9999999778E+22     430.1     250.4     172.9     129.5     107.4      25.7      15.4
    0.9999999778E+22     211.9      61.2     324.7      77.4      48.9      65.4       3.5
    0.9999999778E+22     137.3      42.7     337.7      34.7     117.5     132.4      16.6
    0.9999999778E+22     116.5      31.4      79.5     134.3       4.5      88.3      16.4
    0.9999999778E+22     264.2       5.1     237.0      35.4     114.6     137.4      14.7
    0.9999999778E+22     163.9     384.6     221.3      33.0      32.2      19.3       6.1
    0.9999999778E+22     213.1     299.4     278.8      93.1      15.7     103.4      14.4
    0.5507573828E+05      58.7     276.5     499.2     149.1     107.2      11.7      12.5
    0.9999999778E+22     368.5     214.8      63.0      58.2      60.3      49.0       4.1
    0.9999999778E+22     453.9     260.3     105.4     135.0     125.6      92.4      13.1
    0.9999999778E+22     490.4     493.0     254.7      99.9      49.4     124.9       4.8
    0.9999999778E+22     174.1      40.6     135.7      44.0      23.9     103.8       2.8
    0.9999999778E+22     304.1      73.9      16.1     128.4      59.3      78.9       8.6
    0.9999999778E+22     466.0     413.3     282.9      35.1      21.4     119.3      15.2
    0.9999999778E+22     134.6     362.6     190.6     113.5      91.2      67.6      16.5
    0.9999999778E+22     196.9     153.0     426.9      16.0     139.5      88.8      17.6
    0.6593319531E+05      17.0     299.9     480.3      70.5      75.0      95.7      13.5
    0.9999999778E+22     188.8     207.7      70.0      85.2     133.6      41.0       4.5
    0.9999999778E+22     188.9      29.4     421.0     140.4      79.0      57.8       4.8
    0.9999999778E+22      75.5     339.7     206.2      18.8      13.9      26.9       2.8
    0.9999999778E+22     323.9     197.0      91.1       2.7      16.6      43.2       7.3
    0.9999999778E+22     467.9     146.3       4.7     114.8     110.5     137.7       6.7
    0.9999999778E+22      99.4     497.8     257.5      68.6     115.7      61.8       5.4
    0.7171260938E+05     106.8     337.1     484.2      42.3      29.7     104.8       0.3
    0.9999999778E+22     244.4     336.5      52.9      84.6      51.8      99.7      12.3
    0.9999999778E+22     339.3     111.0     117.2     103.8      41.6     106.4      18.4
    0.6003928516E+05     143.8     215.2     333.6      46.9     106.7      41.0      17.4
    0.9999999778E+22     240.7     356.8      54.6      90.5      76.0       4.8       1.7
    0.9999999778E+22      24.2     258.8     202.7      64.8       9.9      19.5       4.9
    0.5402903125E+05       7.6     150.0     422.2      67.4      73.1      99.9      17.7
    0.9999999778E+22     142.2     120.9     294.1      43.5     104.7      23.9      12.2
    0.9999999778E+22      83.9     468.1      99.2      22.5      27.2      91.6       1.1
    0.9999999778E+22     303.6     488.0     160.2      49.6      54.7     115.2       4.6
    0.9999999778E+22     367.2     284.1     403.0     149.0      70.1      49.9      20.0
    0.9999999778E+22     366.2     253.9     351.4      81.5      50.6     100.6       6.6
    0.9999999778E+22     266.2     249.4     273.5     134.9       8.4     114.5      14.4
    0.9999999778E+22      76.5     318.7     101.4      49.7      84.2      65.7       0.4
    0.9999999778E+22     416.3     256.1     225.8     113.3      23.8      27.5      14.8
            Infinity     452.4     458.9     479.1      24.9      99.1       9.4       5.4
    0.9999999778E+22     439.9     217.5     215.9       4.2     146.0     128.1       5.5
