 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4119346875E+05      81.6     404.4     414.3     500.0      19.4     138.6      10.4       4.3
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.5295470312E+05      40.1      98.4     288.4      63.7     112.3      11.1       5.6
    0.9999999778E+22     111.2      20.8     166.1      64.6      46.4       9.5      11.7
    0.4583394531E+05     241.3     321.9     428.4       6.4     139.5     148.9       5.3
    0.9999999778E+22     433.9     236.0      27.2      35.3      12.1      42.4      15.2
    0.9999999778E+22     134.0     304.9     164.0     139.8      51.2      17.6       8.8
    0.4206433594E+05     113.4     240.4     414.8     107.1      32.5     101.7      18.6
    0.9999999778E+22      35.2     258.9     203.4       7.8     127.9      96.2       5.3
    0.4810016797E+05     172.4     268.9     373.3      52.5      86.2      32.6       3.0
    0.9999999778E+22     427.8     229.7     491.0      78.3      89.0      67.7      10.2
    0.9999999778E+22     412.5     327.2     251.2      35.8      81.8      26.8       8.6
    0.9999999778E+22     395.7     107.9     388.7      87.7      68.2      78.1      10.4
    0.9999999778E+22     448.6     418.7      43.9      33.7     123.5     116.6      14.9
    0.9999999778E+22       8.2     438.4     212.1      77.4      69.4     141.0      19.8
    0.9999999778E+22     467.6     325.5     141.9      63.8      69.3      22.6       9.7
    0.9999999778E+22      31.4     443.0     267.1     143.3     120.6      26.6       2.4
    0.9999999778E+22     357.3     484.5     301.8      83.8      51.0     108.5       6.8
    0.9999999778E+22     498.2      21.1     267.0      98.8     120.0      33.7       8.0
    0.4202620312E+05      96.2     175.8     376.7      72.4      43.9     134.4      16.7
    0.9999999778E+22     206.0     300.1     232.5     111.0      82.8     137.2       6.8
    0.9999999778E+22     248.5     182.1     442.7     124.0     110.3      31.8       7.2
    0.9999999778E+22      38.2      99.9      58.1      40.6      88.2      35.2       9.0
            Infinity     179.2     193.7     294.5       7.5      82.6       3.1       6.5
    0.9999999778E+22     167.1     309.9     308.3      46.0     122.0      35.2      17.8
