 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
Sample22      37.28310000  -119.12110000    311963.3   4128387.2      2803      2803      2692      80.6      14.9
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6911254688E+05     117.6     402.6     429.8     500.0      91.9     148.0       9.2       3.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     448.1     439.0     346.5      13.3      23.1      34.4      18.7
    0.9999999778E+22     183.2      19.5     363.2     105.3     117.9      99.9       1.6
    0.9999999778E+22     432.7     147.6     277.9     148.2      20.4     134.5      12.0
    0.9999999778E+22     443.4     423.9     157.8     141.0      77.5      88.2      17.3
    0.9999999778E+22     368.6      73.5     486.6     143.8     144.5      98.1      18.1
    0.9999999778E+22     445.6     115.7     151.5      64.2      38.1      64.9       7.5
    0.9999999778E+22     395.0     126.7     358.1     104.9      89.4      98.4      13.3
    0.9999999778E+22     203.8     300.5      47.7      30.5     137.3     100.1      18.7
    0.9999999778E+22     457.4      19.7      91.0      39.4     149.6      94.5      18.8
    0.9999999778E+22     392.4     146.8     163.0     149.4      61.9      54.2       3.3
    0.9999999778E+22     349.6     449.8     161.3     109.2      44.3      75.8      13.7
    0.9999999778E+22     466.2     324.2       1.2      90.3      82.3     102.2       9.5
    0.9999999778E+22      74.7     171.8      10.0      26.7      54.0      87.1      17.9
    0.9999999778E+22     409.5     470.7     131.0      83.2      80.0       8.0       1.2
    0.9999999778E+22     479.1     105.3       8.1      99.5       1.2      99.4      16.1
    0.6991196875E+05      26.1     207.2     364.5     114.9      48.6     137.6      14.7
    0.9999999778E+22     339.6     300.7     183.9      26.8     103.3     101.5       4.6
