 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5469905078E+05     365.2     406.5     420.1     500.0      58.3     133.8       0.2       1.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     285.7     200.9     109.6      31.3     118.5      24.4      16.4
    0.9999999778E+22     422.5     143.7      64.4     137.2      82.8      94.3       6.7
    0.9999999778E+22     350.3     281.3     253.4      35.5     120.9      92.1      14.0
    0.9999999778E+22     452.2     168.6     347.0      22.4     149.9     117.5      16.1
    0.9999999778E+22     471.4     278.5      35.2      70.4      23.3      77.7      10.1
    0.9999999778E+22     147.7      39.9     458.3      26.0      68.6      27.2      17.1
    0.9999999778E+22     332.6     143.1     338.6     117.7      25.9       1.6       5.4
    0.9999999778E+22     165.1      29.3     477.2     100.5     134.2     124.2       2.0
    0.5539510938E+05     123.4     350.7     352.1      74.2      12.5     135.7      13.4
    0.9999999778E+22     414.9     473.9      30.8     133.0      51.4      99.0      18.3
    0.8674082031E+05     194.9     248.2     484.6      71.4      83.3     111.7       4.7
    0.9999999778E+22     221.3     432.9      23.7     112.9      12.3      15.2       9.0
    0.9999999778E+22     237.0      83.0     398.7      48.8      85.5      66.4       8.2
    0.9999999778E+22     368.7     128.3     128.4      10.2     102.7     132.6       3.8
    0.9999999778E+22     365.5     466.4     275.0     109.5      21.7      33.0      11.5
    0.9999999778E+22     488.4     426.5     110.8      63.1      99.3      45.7      18.4
    0.9999999778E+22      65.7     130.6      42.9      51.9      97.2      62.3      15.2
    0.9999999778E+22     131.6      88.9     348.5      91.7     109.1      54.9      13.2
    0.5481083594E+05     175.8     374.4     449.3      86.8     133.7       2.0       0.4
    0.5491764844E+05     101.8     371.4     415.8     142.6     126.0      54.4       2.6
