 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
Sample22      37.28310000  -119.12110000    311963.3   4128387.2      2803      2803      2692      80.6      14.9
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5608196094E+05      98.8     401.3     436.8     500.0       7.7     146.5       6.7       0.4
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     328.9     334.9     189.6      37.8      21.1       1.4      14.5
    0.6068667578E+05      96.8     104.2     322.5      36.1     129.8      81.3       9.5
    0.9999999778E+22      80.2     176.2      98.7       7.3     137.8     146.9       3.3
    0.9999999778E+22      84.7     311.3     133.0      92.3      53.7      55.2      16.0
    0.9999999778E+22     179.5     457.2     415.9     118.4      74.5     126.7       3.4
    0.9999999778E+22     382.4      39.4     352.9      73.6      18.2       6.9       6.7
    0.6427644922E+05     113.3     296.1     454.0     130.5     137.1     113.4      11.0
    0.9999999778E+22     202.9     170.8     198.4      30.6      98.6      84.2      17.4
    0.9999999778E+22      86.7     267.3      41.7      56.4     139.5       3.1      14.1
    0.5850083594E+05      43.6     299.6     453.2      95.8     142.5      84.8       5.8
    0.5906594141E+05     219.3     220.7     249.8      76.9      95.6     115.2      19.3
    0.9999999778E+22     482.7     352.5     373.3      27.7     125.0     107.2      19.7
    0.9999999778E+22     492.1     405.7      43.3      61.4      36.8      39.3       2.5
    0.6416973047E+05      64.5      70.1     100.2     102.4      90.7     125.2      14.3
    0.9999999778E+22     477.3      70.1     452.4     142.3       7.6     120.3       4.4
    0.9999999778E+22     254.2     340.9     110.6     101.0     112.4     117.3      15.3
    0.9999999778E+22     144.5     410.7     124.7     120.2     132.0      75.3       8.1
    0.9999999778E+22     497.4      35.8     462.4     149.3      63.8      57.8       9.8
    0.9999999778E+22     195.2     348.7     145.8      19.4      12.9     111.6       5.8
    0.9999999778E+22     477.7     482.2     210.1      81.6     134.0     110.1       3.7
    0.9999999778E+22     465.5     292.2       2.2      37.6      28.6      30.2       2.7
    0.9999999778E+22     357.4     407.4      96.2      32.1      20.6      63.3      16.5
    0.5656802344E+05      27.0      80.4     328.1      14.3     125.7     120.2      19.3
    0.9999999778E+22     394.1     243.6     245.1     122.8      29.7     114.0       0.8
    0.9999999778E+22     315.5      23.8     333.7      24.8     103.1      31.9      15.6
    0.9999999778E+22     467.0     251.3      85.0      55.7      33.7     125.1       5.9
    0.9999999778E+22     429.8     245.3      82.4      44.7      38.5     120.3       2.7
    0.9999999778E+22     383.4     330.0     252.9      39.4     102.9      77.3      15.3
    0.9999999778E+22     448.5     396.0     234.8      38.5     104.9     144.6       6.9
    0.9999999778E+22     294.9     179.1     459.5      41.7     139.7      99.1      15.1
    0.9999999778E+22     452.0     427.0     479.4      10.7      21.1      68.8      10.5
    0.9999999778E+22     400.5     487.3      26.5      45.1     145.2      85.3       7.5
    0.5844890625E+05     174.3     351.8     410.9      14.6     128.1     129.3      13.1
    0.9999999778E+22     285.5     254.7     307.4      48.1     147.0      50.4      15.8
    0.5819283203E+05     174.8     353.1     386.0      68.4     124.1      12.6       9.3
    0.9999999778E+22     346.1     468.5     444.0      50.6     121.8     141.6      16.0
    0.9999999778E+22     469.0     303.8     300.2      19.2      68.2     109.3       5.4
    0.9999999778E+22     189.1     291.4     244.8      87.3     143.1     147.7       9.0
    0.9999999778E+22      13.3     437.5     302.5      67.3      78.2      95.7       9.3
    0.9999999778E+22      81.3      54.6     250.6       4.5     144.2     116.1       4.4
    0.9999999778E+22     124.6      46.6     414.3      71.4      41.9      25.0      19.8
    0.6100503125E+05     277.6     315.3     436.4     143.0      69.2      27.5      18.0
    0.9999999778E+22      92.4      67.1     496.2      99.7     146.2     144.7      13.2
    0.9999999778E+22     488.0      57.0      58.6      84.4     127.6     145.6       9.2
    0.9999999778E+22     164.3     217.0      69.6     134.9      14.7      59.4       8.5
    0.6177034766E+05      60.9     153.0     340.7     115.4     127.5      68.4       7.2
    0.9999999778E+22     450.3     320.1     393.4      81.8      78.6      51.9      12.0
    0.7195452344E+05     129.3     265.2     284.1      94.9      51.0      12.2       7.0
    0.9999999778E+22     497.5     216.2      25.7      23.6     129.1      46.1      15.7
    0.9999999778E+22     390.2     208.5     295.8      84.1      81.5      17.1      12.8
