 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample22      37.28310000  -119.12110000    311963.3   4128387.2      2803      2803      2692      80.6      14.9
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5046635547E+05     240.3     405.9     437.5     500.0       4.3     134.5       9.2       1.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     288.2     138.5     332.1     129.0     145.2      74.3      17.7
    0.9999999778E+22     270.7     180.5     414.0      43.5       2.1       0.5       3.8
    0.9999999778E+22     361.7     482.7     371.6      73.9      17.0     108.6      17.9
    0.9999999778E+22     220.4     130.1      36.6       0.5      24.8      44.8       2.7
    0.5529284766E+05     271.1     273.2     321.9       3.5      94.5      75.6      11.7
    0.9999999778E+22     265.8      44.9      53.8      40.7     138.2      12.3      17.2
    0.9999999778E+22     486.3     268.4     354.9      25.7     140.2     136.3       4.3
    0.9999999778E+22     354.0     121.3      33.4      14.9     101.4      42.6      11.1
    0.9999999778E+22     323.5      80.2     136.9      65.4      60.8     116.4       5.4
    0.9999999778E+22     219.7     373.1     214.7       6.2      70.0      72.2      11.0
    0.9999999778E+22      15.3     417.2     139.1      60.8      72.2     124.6       6.8
    0.9999999778E+22     292.2     394.5     225.1      77.7      20.7     129.3       2.1
    0.9999999778E+22      70.6     433.9     376.4      28.6     113.7      23.5       9.8
    0.5264838281E+05     311.7     313.1     359.6     133.6      37.1      87.3      11.3
    0.9999999778E+22      27.6     439.6     415.2      52.5      18.0     114.6       3.8
    0.1225329375E+06      52.1     102.6     496.8      80.2      62.5     120.1       9.1
    0.9999999778E+22     201.4      58.4     473.0     117.3      22.5      82.7      11.0
    0.9999999778E+22     249.3     423.6     237.0      61.7      90.3     108.2      13.6
    0.9999999778E+22     357.2     257.0     107.6      56.6      93.8      52.1       1.0
    0.9999999778E+22     186.2     324.9      30.9     110.3     111.7      24.0       7.2
    0.9999999778E+22     359.0     100.8     321.1      38.9      46.5       2.4       4.2
    0.9999999778E+22      12.0     498.9     105.3      80.0      10.2      52.8      13.6
    0.9999999778E+22     127.0     241.5     150.3     112.1      17.2      19.2       7.4
    0.9999999778E+22     230.2     416.9      87.6     104.8      89.8     122.1       2.9
