 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample41      37.04500000  -119.47950000    279494.9   4102739.8       548       548      1331      87.0      15.5
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4892573438E+05     160.7     404.8     420.3     500.0     137.7     122.8       9.5       2.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     221.2     210.2      28.8      37.2      70.5      94.1      11.2
    0.9999999778E+22     355.0     280.8     158.2      21.9     114.5     148.5       8.8
    0.9999999778E+22      22.3     439.7     213.0     120.8      17.5     101.9      15.7
    0.9999999778E+22     162.9     456.5     174.2     137.4      80.9      53.9       5.0
    0.9999999778E+22     378.7      89.4     264.7      72.8      91.3      32.3       0.2
    0.9999999778E+22     488.3     437.8     277.3      64.9      24.5      66.5      15.8
    0.5176555469E+05      16.2     311.3     490.9     114.8      93.1      65.0      17.8
    0.9999999778E+22     406.3     150.2     215.7       1.5     110.5      83.3      19.1
    0.9999999778E+22     405.8     421.2     119.5      74.0     112.8       0.7       5.5
    0.9999999778E+22     199.2     436.5     177.6     109.6      55.2      68.9       5.6
    0.9999999778E+22     129.3     496.5     458.0      45.6      56.8      53.4       6.3
    0.4974868750E+05      88.3     396.5     479.4     109.2      77.6       1.4       5.3
    0.9999999778E+22     213.4     262.3     104.1      31.5      51.3      98.1       4.9
    0.9999999778E+22     253.9      47.8      76.7     135.7      67.6     131.2      14.6
    0.9999999778E+22     121.9     313.0     224.5      66.6      96.0     139.6       1.7
    0.9999999778E+22     391.6     211.2     372.8      46.4       4.6     112.4      12.0
    0.9999999778E+22     250.1     292.6     123.7      36.6     136.4      18.6       9.9
    0.9999999778E+22     211.3     240.1       1.3      18.6     125.0     124.6      16.3
    0.9999999778E+22     176.4     492.8     109.8      89.3     140.0      85.6      17.3
    0.9999999778E+22     381.0     104.9      63.3       2.5      63.6       2.5       3.7
    0.9999999778E+22     307.7      42.2     358.2     137.9      26.0      36.5       7.7
    0.9999999778E+22     131.3     161.5      44.9      14.7     133.4      76.3      13.0
    0.9999999778E+22     346.4     439.3     288.5     131.7     108.1     143.7      15.3
    0.9999999778E+22     499.3     364.6      63.5      62.3      99.7     132.7      11.6
    0.9999999778E+22     205.9       2.1     430.1      97.0     120.1      60.6       6.5
    0.9999999778E+22     295.5     247.0     237.7      21.0     142.8      35.7       9.5
    0.9999999778E+22     132.5     130.8     414.5     140.2     126.2     111.0       6.9
    0.9999999778E+22     272.5     120.8     218.1       1.8       1.8      48.4      19.4
    0.4936401562E+05     141.8     156.1     297.3      87.4     112.4     136.3       2.4
    0.9999999778E+22     185.6     426.1     311.5      93.7      37.0     122.9      15.2
    0.9999999778E+22      18.6     418.5     265.7      26.3     107.4      49.5      19.7
    0.9999999778E+22     358.4     402.3     223.2      57.2      85.9     147.9      16.6
    0.9999999778E+22     127.5     475.8     262.1      64.4      82.8     105.3      19.3
