 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4507496094E+05     127.8     398.3     433.0     500.0     143.2     132.0       1.7       7.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     311.9     192.7     313.8      32.1      73.5     116.1      17.6
    0.9999999778E+22      79.0      38.4     185.2      61.5       4.2      19.0       7.9
    0.9999999778E+22     362.1     344.9     283.3     130.4     124.0      97.1       2.8
    0.4721087891E+05      38.5     200.4     371.6     141.6     120.4      65.2       0.9
    0.9999999778E+22     396.4     431.5      45.9      74.5      56.6     147.5      19.8
    0.5481110938E+05     169.9     182.1     461.6      99.8       2.4     102.8      15.0
    0.9999999778E+22      95.1      19.7     375.0     142.5      28.6      26.8       7.3
    0.9999999778E+22      89.1     212.3      19.9      29.8      53.6     120.0       2.5
    0.9999999778E+22       4.0     322.2     110.8      22.5      61.5     143.5       9.9
    0.9999999778E+22      30.4     342.7     329.8     125.7      13.1      96.4      15.5
    0.9999999778E+22     249.4     194.0     253.1      97.2      33.4      15.0      17.6
    0.9999999778E+22      21.8     471.4     408.7     119.2     118.5     123.4      12.9
    0.9999999778E+22     226.6      67.6       2.1      47.5      44.7      49.9      10.0
            Infinity     138.4     140.4     445.4      77.6      44.5      36.6      10.8
    0.9999999778E+22     408.5     325.1      35.6      22.1      35.3      81.8       7.7
    0.9999999778E+22     317.2     108.6     277.8     135.6      99.8      18.4      13.8
    0.9999999778E+22     173.3     444.4     324.1      20.0     101.4      90.3      10.9
    0.9999999778E+22     194.2     207.7     148.1      40.6     148.9     105.5       7.0
    0.9999999778E+22      76.2     480.2     132.5      88.2     132.4      48.4       2.8
    0.9999999778E+22     138.9     347.4      51.6      66.6     140.1     149.2       6.4
    0.9999999778E+22     229.6     201.1     386.4     136.4     137.6      30.8       0.1
    0.9999999778E+22     144.2      93.9      82.9      21.7      42.6      41.5       4.6
    0.9999999778E+22     383.9     374.1       4.0     143.7     127.6      42.0       3.8
    0.4539925000E+05     141.8     280.6     292.0      30.9     108.1     137.8       8.7
    0.9999999778E+22     485.7     221.4      63.3      58.1      62.1      56.7       4.9
    0.9999999778E+22      65.8       9.7      20.7      33.7     143.2      51.5       3.9
