 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6056909766E+05     223.1     402.9     435.9     500.0      75.7     139.2       0.3       1.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     323.5     163.1      49.2      94.4     105.3      20.9      12.0
    0.9999999778E+22     380.3     498.6     498.5      78.7       0.6      43.2       3.0
    0.9999999778E+22     416.3     256.7     368.4      17.9      77.7      45.8      17.4
    0.9999999778E+22     272.6     100.3      41.2      92.9      26.5      55.4       8.2
    0.9999999778E+22      37.2     443.6     311.0      41.7      16.6       1.3      15.1
    0.9999999778E+22      48.4     454.7     214.1      56.6      96.0      83.4       5.7
    0.9999999778E+22     169.2     418.2     169.5      62.3      93.3      14.0      13.0
            Infinity     178.4     282.5     340.6      46.7      75.0      72.7       7.4
    0.9999999778E+22     107.9      44.9     437.7      90.8      34.5      25.9       7.7
    0.9999999778E+22     178.6     220.5     119.3      99.9      67.7     121.7       8.3
    0.9999999778E+22     445.9     321.8     235.1      24.2     111.1      28.1       4.7
    0.9999999778E+22     350.2     298.7     125.2     144.1      41.9      80.4       9.4
    0.9999999778E+22     328.6     224.8     447.3     113.0      85.1      77.3       8.6
    0.9029653125E+05     229.0     308.4     480.0     112.2     136.9     122.4       3.5
