 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6011994531E+05      64.6     398.3     401.5     500.0      34.5     114.5      61.2      11.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     433.4     166.5      90.3     135.3      28.3     122.2      16.0
    0.9999999778E+22     477.6     355.5     483.2     146.2      46.5     102.0       6.8
    0.9999999778E+22     268.9     127.5     299.0      28.5     121.2      19.9       9.4
    0.9999999778E+22     487.2     352.7     234.5      89.5      44.6     137.3       7.9
    0.7238454688E+05     293.7     449.2     459.0      96.1      78.4     110.5      11.7
    0.9999999778E+22      48.7     207.2      25.3      17.2       5.8     114.0      11.6
    0.9999999778E+22     252.3      74.2     437.2      78.5       0.7      70.9       0.1
    0.9999999778E+22     413.6     299.9     454.5       6.7     127.6      35.4       4.5
    0.9999999778E+22     405.3     222.1     158.1      13.7      60.1     112.4      16.8
    0.9999999778E+22     336.2     103.2     197.5     120.8      79.8      70.1       0.3
    0.9999999778E+22     125.3      62.7      91.9     147.1      79.9      84.3      18.6
    0.9999999778E+22     427.2     116.5     185.1      73.0      70.6      11.9       9.9
    0.9999999778E+22     249.0      84.4     400.1     127.5      79.5      28.6       5.8
    0.9999999778E+22     441.3     291.6      50.1     118.2      95.2      59.4      10.5
    0.9999999778E+22     307.9     156.3     296.7      22.5      35.9      95.4       6.8
    0.9999999778E+22      64.4     414.9     274.2      52.9      10.1      63.9      19.2
    0.9999999778E+22     457.0      62.7     399.4      77.7      24.9     111.0      17.7
    0.9999999778E+22     286.0     499.6     140.6     137.4      23.2      63.2       2.0
    0.9999999778E+22     442.9     273.9     320.2      60.6     109.8      57.2      10.0
    0.9999999778E+22      82.8     472.0     263.2      83.5     143.0     104.6      19.6
    0.8588576562E+05       1.3      30.0     483.0     143.7      28.7       1.6      19.3
    0.6018717578E+05     214.2     339.4     343.7     112.3     127.2     132.5       4.2
    0.9999999778E+22     290.4     105.9     324.2      11.1     103.8     122.1      11.4
    0.9999999778E+22     438.1     425.5     186.4       9.7      54.9     149.2      19.1
    0.9999999778E+22     467.0     394.0     275.7     110.6       9.2      29.5      16.5
    0.7364715625E+05      75.6     198.9     352.1      86.1      31.4      67.8      16.2
    0.9999999778E+22     427.9     413.3     415.9     128.3      79.6      19.3       2.0
    0.9999999778E+22     288.8     266.0     300.4       3.0     136.4      64.3       5.3
    0.9999999778E+22     499.3     384.6      67.3       6.0      92.0      39.3      17.1
    0.9999999778E+22     234.7     117.6     468.4     148.8       8.6      57.0      14.5
    0.9999999778E+22     340.5     259.8     486.5      17.1      42.3     145.7      17.1
    0.9999999778E+22     470.7     472.1     399.9      55.1      33.8     123.2      17.9
    0.6865875000E+05      87.3     144.6     441.7      88.8     144.2     133.0       3.2
    0.9999999778E+22     170.3     162.0     424.5      79.3     139.9     125.8      14.8
    0.6450881250E+05     272.3     430.4     499.6      88.4      27.7      45.2       4.2
    0.9999999778E+22     153.3     389.8      63.0     110.2      20.9      57.2       8.1
    0.9999999778E+22     403.9     124.1     440.6      40.9     140.7       0.8      18.8
    0.9999999778E+22     151.3      49.0     125.2      76.9      77.9     108.9       1.8
    0.6870628906E+05     167.5     335.9     452.1     146.3      28.7     109.6       4.1
    0.9999999778E+22     402.4     209.0     480.5      62.6      86.0       1.9      18.0
    0.9999999778E+22     175.6     439.0     325.6      98.8     118.3     136.3      16.6
    0.9999999778E+22     402.3      61.5     218.4      89.6      25.0     125.6      11.4
    0.9999999778E+22     334.6     134.3     191.3      57.0     132.5      37.4      17.8
    0.9999999778E+22     103.2      56.8     416.3     118.2      75.6     113.3       3.0
    0.9999999778E+22     229.9     486.2     222.1      20.0     132.3      75.6      14.1
    0.9999999778E+22     465.6     206.5     471.5     127.5      68.6     106.4      19.1
    0.9999999778E+22     394.3     327.6      43.0     147.8      92.5      56.1       0.3
    0.9999999778E+22     457.2     102.8     134.3      17.0       6.0      68.7       4.3
    0.9999999778E+22     497.8      73.5     476.8     128.6      74.4     132.8      19.1
    0.9999999778E+22     332.9     363.7     321.2      56.7      27.3      72.5      13.7
    0.9999999778E+22     325.8       4.3     181.7     145.3       6.5      93.1       1.9
    0.7309579688E+05      36.6     187.4     285.4      76.2      91.3      29.3      12.1
    0.9999999778E+22     238.2     279.4      89.7      32.5     116.5       9.4      11.1
    0.9999999778E+22     115.3     229.8      83.1     120.8     105.1      88.8      16.4
    0.9999999778E+22     305.8     232.8     446.0      81.6     149.9      66.8       8.1
    0.9999999778E+22     298.6      36.6     255.4      84.6     134.9       5.7      15.6
    0.9999999778E+22     185.2     445.4     152.2      39.8      63.9     118.2      17.2
    0.6190413672E+05      13.4      25.3     279.2      85.6       2.7     118.8       2.2
    0.9999999778E+22       4.7     458.9     281.2      66.9      82.1      87.4      10.2
            Infinity     237.9     266.4     364.5      35.7      45.7      44.7       4.2
    0.9999999778E+22      66.5     195.7     178.3     112.5       1.8     149.2      13.2
    0.9999999778E+22     220.8     187.2     348.8     103.7     101.1      38.6       3.3
    0.9999999778E+22     459.1     154.9      17.1      78.5     136.9     101.6       7.2
