 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5331207422E+05      53.0     406.9     413.4     500.0     141.9     127.5      12.9       3.9
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     437.4     372.3     424.5       3.1      43.6     133.2       3.8
    0.9999999778E+22     354.3     236.4     179.1     145.1      67.3      21.1      17.7
    0.9999999778E+22     266.4     468.1     347.2     103.4      77.3      99.6       8.4
    0.9999999778E+22     199.7     224.2      73.9      99.5      83.1      62.3       0.1
    0.5796191406E+05     290.5     362.7     481.8     100.0      25.6      18.3      11.7
    0.9999999778E+22     440.9     157.1     124.6      81.4      95.0     101.7      16.0
    0.9999999778E+22     393.4     229.1      83.5      44.4     118.5     130.2       2.7
    0.9999999778E+22      46.8     445.0      68.8     115.9      11.4      60.4       4.2
    0.9999999778E+22     286.9     363.6     218.7      61.3      86.1     140.9       3.3
    0.9999999778E+22     419.7     340.1      84.6      99.3     102.4     107.9       4.7
    0.9999999778E+22      73.3     413.2     276.7      63.3     116.1      42.7      12.5
    0.9999999778E+22     186.0     372.5     227.4     147.0     103.2      84.8       3.4
    0.9999999778E+22      75.8      12.0     250.3      49.7      66.2      62.1       4.4
    0.9999999778E+22     315.7     264.8     153.0      73.0     127.7      36.7       7.3
    0.9999999778E+22     342.2     441.2     334.5      62.6      18.4     102.2       2.3
    0.5516474609E+05     101.0     286.2     300.1     138.7      56.8     106.2       4.8
    0.9999999778E+22     142.9      11.8      94.3     141.4      61.5     129.0       7.1
    0.9999999778E+22     414.4     462.2     148.5     149.8     125.5      85.2      14.6
    0.9999999778E+22     351.8     436.1     154.3      85.8     106.8       4.0       8.9
    0.9999999778E+22     183.1     373.5     368.9      60.3      81.2     147.5       4.2
    0.1020653125E+06     307.1     320.3     489.4      91.9      73.4     138.5      12.7
            Infinity     346.3     369.1     379.0      22.2      55.9       8.4       2.2
    0.5601453516E+05      85.2     321.2     485.1     113.5     140.1      56.4      16.0
    0.6907771094E+05      15.4     308.3     357.7     114.7      10.1      39.5      13.5
    0.9999999778E+22     267.0     132.7     154.7     107.6      18.3      89.2      13.6
    0.9999999778E+22     275.9     120.4     443.0     100.0     138.8     113.8      18.9
    0.9999999778E+22     468.9     466.4     386.0     102.2      61.5     109.8      12.0
    0.9999999778E+22     339.9     237.1     364.6       1.2     107.7     135.0      17.9
    0.9999999778E+22     259.4     192.2     466.0     140.7     102.4     112.1       0.5
    0.9999999778E+22     406.4     499.7     100.6      65.2      18.5      51.1       9.8
    0.9999999778E+22     116.2     119.1      77.7      38.2     135.2      10.6       0.5
    0.9999999778E+22     449.3     407.8     433.9      82.3     131.9     111.1      11.9
    0.9999999778E+22     291.5     281.2     345.6      46.3      89.3      71.9       2.3
