 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5153125391E+05     106.8     404.2     409.5     500.0      81.2     115.3       2.3       4.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.6143766797E+05     174.4     195.0     264.0      40.3     149.9      12.4       5.5
    0.9999999778E+22     411.0     161.9     145.4     123.8     115.2     130.6      11.9
    0.5647627344E+05     248.7     256.9     404.7     141.8     111.7       1.7      10.4
    0.1298554141E+06      20.5     161.3     496.0      89.3     113.3     140.3      16.7
    0.9999999778E+22     279.2     418.6     416.6     116.4     139.5     106.7      17.4
    0.9999999778E+22      47.1     367.0     249.0     105.7      54.1      83.6       1.5
    0.9999999778E+22     197.8     444.1     317.6      91.8      96.4      80.3       8.8
    0.9999999778E+22     301.5      77.7     252.6      52.7      50.3       3.3      11.5
    0.9999999778E+22     229.9     408.4     199.9     135.8      52.3     116.3       2.3
    0.9999999778E+22     481.6     366.8     375.2      55.8     147.4     144.0      17.7
    0.9999999778E+22     435.7     137.1     253.6      21.3     128.4       2.3      13.8
    0.9999999778E+22     493.8     485.2      11.4      44.4      17.8      65.3      13.1
    0.9999999778E+22     244.2      29.0     329.3     145.1     146.6      17.8      14.4
    0.9999999778E+22     375.8     269.1     409.7      73.4      42.5      85.2       5.1
    0.5260722656E+05      16.1     309.9     461.2      98.2      84.7      62.3       6.1
    0.5198281250E+05      18.4      34.9     349.1     127.0     144.5     137.1       9.9
    0.9999999778E+22     419.6     140.7      91.6      89.6      35.5      44.7       9.5
    0.9999999778E+22     225.2      91.2      59.1     142.5      51.0     144.4       4.3
    0.9999999778E+22     354.7      45.9     417.3     122.9     141.8     148.7       2.8
    0.6382639062E+05       3.4      54.2     401.5      41.9      23.1      70.5      17.8
    0.9999999778E+22     410.5     180.4     246.4      79.1     140.4      90.6      16.0
    0.9999999778E+22      99.1     428.2     136.2      86.0      71.4      62.9       4.3
    0.9999999778E+22     337.1     465.5     257.0      83.7      46.0      75.6      15.1
    0.9999999778E+22     458.0     114.2     477.9      21.4      83.0     150.0       6.2
    0.6109701953E+05     172.7     289.6     397.9       5.8      66.2      30.3      17.5
    0.9999999778E+22     353.0     349.5     368.5      99.9       4.8     105.4       3.0
    0.9999999778E+22     392.4     165.2      30.9       4.4     114.4      27.8      17.3
    0.5318434375E+05     277.6     401.5     483.7     121.3     133.6      14.3      15.6
    0.9999999778E+22     459.8     145.6     325.2      34.5     135.7       9.7      10.6
    0.9999999778E+22     412.3     284.8     211.1     103.7      13.3      22.7      12.9
    0.5173835156E+05      84.0     164.5     346.9     112.8     105.2     118.5       2.1
    0.9999999778E+22     168.9     430.4     180.1      95.1     106.3      99.2       2.3
    0.9999999778E+22     337.3     365.8     253.2      92.5      94.8      68.2       0.3
    0.9999999778E+22     305.1     292.9      10.6     129.6      56.1      68.6       0.7
    0.9999999778E+22     314.5     136.0     461.1      63.8      48.7      75.6      18.4
            Infinity      47.1     152.9     346.6      32.4      54.5      41.4       6.1
    0.9999999778E+22     329.5      97.8     107.8      44.2      71.8      76.7      19.2
