 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5240413281E+05     217.7     403.5     440.3     500.0      56.2     140.9       2.0       0.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     239.2     203.6     101.0       9.1      29.8      39.7       8.4
    0.9999999778E+22     322.1     159.0      37.1      79.9      93.9     127.0      18.4
    0.9999999778E+22     386.2      29.9     220.1      58.9      78.0      74.6       6.8
    0.9999999778E+22     403.6     136.7       1.2      92.6     142.8      30.9       1.6
    0.9999999778E+22     204.0     152.2     233.9     119.4      14.9     132.5      19.8
    0.5359651953E+05      66.2     196.2     382.3      34.5     148.7      79.7       7.4
    0.9999999778E+22     121.8     342.1     341.0     119.5      39.5      35.2       0.1
    0.9999999778E+22     150.1     486.0     419.3      40.2      79.2       6.8      13.6
    0.9999999778E+22     153.8     159.3      34.7      10.0     130.9      98.5       8.3
    0.9999999778E+22     163.2     271.4      80.6      57.3      24.4      35.6      19.5
    0.9999999778E+22     398.3     102.6     194.7      33.0      78.8      75.5      10.8
    0.9999999778E+22     372.6     478.6     467.4      96.7     133.1       1.8       6.8
    0.9999999778E+22     216.0     405.7     190.8     116.0      51.1     124.5      15.0
    0.9999999778E+22     114.9     263.6     126.9      29.3      48.9     147.3       0.5
            Infinity      79.6      89.3     128.6      77.7      41.7      10.2      13.1
            Infinity      42.3     413.2     463.1      14.4      35.1      45.1      10.7
    0.9999999778E+22     488.9     119.5     158.2      96.4      19.4      24.1       2.6
    0.9999999778E+22     108.2      89.5     179.3       0.5       8.8     107.8       5.6
    0.9999999778E+22     463.7     160.6     282.1      66.1     101.5      92.0      13.0
    0.9999999778E+22     361.7     317.1      54.9     136.4     116.0       3.8      15.8
    0.9999999778E+22     341.0     110.6     320.8      18.6      97.7      58.7       4.5
    0.5312965625E+05     234.3     267.6     458.2      59.8      99.2      68.9      14.4
