 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample16      37.37880000  -119.03560000    319772.7   4138839.3      2372      2372      2302      78.3      14.8
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5046108594E+05     270.9     394.5     460.3     500.0      50.7     140.1       2.4       1.3
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     286.8     396.7     353.8     120.7      22.6     141.6       0.2
    0.7790035156E+05      62.7     137.6     492.5      41.0     138.2      96.7      15.5
    0.9999999778E+22     463.6     291.2      88.7     148.0      68.9     111.0      18.5
    0.9999999778E+22     343.1     446.7     123.7      55.0     146.9      36.0      16.8
    0.9999999778E+22     121.9     382.8       0.7      87.6      67.3      58.5       6.7
    0.9999999778E+22      60.2     443.1     381.3     136.4       7.0     104.2       2.0
    0.9999999778E+22     460.5     329.5     391.2      36.1     131.3      21.9      12.0
    0.9999999778E+22     124.2      85.8     316.0      36.1      50.4     112.9      19.8
    0.9999999778E+22     172.4     158.9     235.3       4.6       8.7      37.3       4.3
    0.9999999778E+22     114.4     145.3      86.5       0.0     147.9     149.2      13.7
    0.9999999778E+22     353.5      15.7     194.1      31.6      85.3      44.2       8.9
    0.9999999778E+22     278.6     247.5     188.5      95.1     138.3      55.5       4.3
    0.9999999778E+22     354.0     376.5     183.9      32.9      14.9      24.2       2.4
    0.9999999778E+22     450.2     383.8     111.4      50.9      99.4     106.8      14.2
    0.5782670312E+05      45.3     243.7     397.6      47.7      97.6      33.2      12.3
    0.9999999778E+22     124.7     131.1      13.8      94.2     149.9      93.3       2.5
    0.6300994531E+05     109.3     154.8     455.1      23.6      72.1     149.0      17.8
    0.9999999778E+22     313.8     230.4     145.0     134.3      76.1     133.7       7.8
    0.9999999778E+22     190.3      83.3     298.3      47.9       4.9      62.7      18.6
    0.9999999778E+22     247.8     377.6     254.5     105.5       9.1      45.5      11.0
    0.9999999778E+22     136.1     187.2     165.2      70.7     105.1     124.5       0.1
