 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3962981250E+05     142.1     408.6     426.6     500.0     135.1     136.7      10.0       8.6
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     152.9      73.3     423.3      66.3      31.0     104.3      16.0
    0.9999999778E+22     285.0     467.1     432.6      36.1      71.8     119.1      15.5
    0.9999999778E+22     425.2     450.7       3.8      88.3      68.5      97.5      15.0
    0.9999999778E+22     431.6     209.3      10.4      50.6      30.4      46.2      15.1
    0.9999999778E+22     313.9     451.1     140.8      92.0     112.5      42.0       2.5
    0.9999999778E+22     488.6     276.9     309.0     100.7      34.4      56.1      15.3
    0.9999999778E+22      67.8     269.1      34.9      83.5     130.1     126.7       3.7
    0.9999999778E+22      72.9     363.4     313.8     140.0      23.8      12.7      13.8
    0.9999999778E+22     198.4     283.3     158.6      34.4      21.2      27.1      18.0
    0.9999999778E+22     352.5     245.6     238.9      51.5      38.4     105.7       5.9
    0.5274313281E+05      17.2      81.3     202.6      46.7     138.5      18.1      18.6
    0.9999999778E+22     130.1     467.9     322.7     120.9     111.3      65.4       8.0
    0.9999999778E+22     380.4      50.6     357.5       6.7     118.3      97.0      12.7
    0.9999999778E+22     148.9     456.5     188.9      29.2      31.7      53.7      16.5
    0.9999999778E+22     307.4     474.7     313.3      91.0     136.3      80.8       6.8
    0.9999999778E+22     492.5      95.8     267.4      59.7     147.6     146.6       7.0
    0.9999999778E+22     388.9     335.1     297.8     126.5      40.1      78.1      10.2
    0.9999999778E+22     140.0      59.9     259.4      96.2     113.3     100.1       8.6
    0.4528513672E+05     126.8     433.4     485.5     140.8     139.3      59.3      17.3
    0.9999999778E+22     476.1     334.1     226.8     144.6     114.8     120.4      18.3
    0.9999999778E+22     416.9      97.1     267.3      76.3      79.1      17.3      13.1
    0.3992328125E+05      78.8     355.3     383.5     143.6      73.7     128.0      13.5
    0.3970911328E+05      10.2     115.6     372.1     143.5     130.5     133.0       0.4
    0.9999999778E+22     213.0     366.1     240.3      22.5     117.5     122.6       5.4
    0.9999999778E+22      71.6     240.3      93.4      16.5     121.6     111.5       6.4
