 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6560772656E+05     209.7     405.1     438.0     500.0     107.7     114.5       6.7       1.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     416.3     491.5      62.8      37.1     144.0     114.9      16.2
    0.9999999778E+22     379.0     360.8     408.1      11.3     122.4      35.6      15.5
    0.9999999778E+22     490.1     390.9     112.8      59.6      44.1       4.1       7.7
    0.9999999778E+22     145.1     475.6     373.4     103.0      51.4      36.4       4.3
    0.9999999778E+22     499.5     385.6     164.2      74.1       9.5     130.8       9.9
            Infinity      69.1     141.5     230.8      83.4      46.6      40.6      12.1
    0.9999999778E+22     395.9     270.1     189.0      64.7     117.9      11.6      12.2
    0.6816624219E+05     380.7     395.2     431.4     137.5     128.1      98.2       6.8
    0.9999999778E+22     459.7     126.7     375.8     123.3      72.5      52.4       4.0
    0.9999999778E+22     205.5     272.7     235.3       3.6     104.6      59.7      11.0
    0.9999999778E+22     497.7      74.0     394.4      79.9      35.5      78.0       7.5
    0.9999999778E+22      48.7      46.1     174.1      63.5     148.4      69.6       3.5
    0.9999999778E+22     143.9     489.6     146.2      97.9      49.0       3.8       2.3
    0.9999999778E+22     292.9      31.8       3.7      47.2      18.4     122.4       5.2
    0.9999999778E+22     151.7     429.0      28.8     103.3     147.8      39.0       6.8
    0.9999999778E+22     400.7     199.3     369.6      84.9     101.3       6.9       5.3
    0.9999999778E+22     463.2     363.1     354.0     134.6      42.8      29.2       1.9
    0.6985675000E+05     211.3     327.4     382.6      59.1      81.0      73.7       6.1
    0.9999999778E+22      81.3     264.3      97.1      65.3      18.2      95.2      10.6
    0.9999999778E+22     208.5     151.1      78.1       9.4     110.7      70.4       7.8
    0.9999999778E+22     346.9      49.0     278.2     135.6      55.6      52.3       3.8
    0.9999999778E+22     261.8     258.2       4.2     144.0      43.1       9.7      17.4
    0.9999999778E+22     368.4     211.5      78.7      85.2     143.7      27.3      14.8
    0.9999999778E+22     330.3     135.0      87.7     147.2     142.2     106.6       0.4
    0.7945235156E+05     177.9     179.6     352.7     114.3     101.7      13.2       9.2
    0.9999999778E+22     183.9     350.1     263.0     120.5      10.2      22.4      11.9
    0.9999999778E+22     285.3       6.1     348.3      69.1      54.7      53.4       8.7
    0.9999999778E+22     177.0     222.9      20.2      57.3      16.5     102.8      18.6
    0.9999999778E+22     210.0     234.3     221.0       0.4      97.3      99.9      14.4
    0.9999999778E+22     224.2     429.6     182.9     107.5       7.9      25.7       5.5
    0.9999999778E+22      29.3     400.7      66.3      90.6     110.5     104.8       5.6
    0.9999999778E+22      80.1     245.2      24.8      79.2      36.3      87.0       7.1
    0.9999999778E+22     355.3      19.6      20.7      34.5      34.3      14.5      13.0
    0.9999999778E+22     323.6     177.3     263.5       1.4      52.2      69.3      19.3
    0.9999999778E+22     137.9     499.0      91.1      30.7     129.8      57.9      16.5
    0.9999999778E+22     101.9     230.1      14.6      59.9      96.9     133.6       3.8
            Infinity     120.0     172.8     175.8       0.2      46.7      29.0       8.8
    0.9999999778E+22     255.8     452.1     374.9     116.6      26.0      14.1      17.1
    0.9999999778E+22     467.9     373.3     389.1      79.9      35.7      37.4      15.2
    0.9999999778E+22     422.3      79.5     168.9       0.3      35.2       0.2      14.2
    0.9999999778E+22     363.9     424.0     395.4     107.5      28.8     135.2      17.4
