 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample19      37.26940000  -119.25550000    300010.8   4127142.9      2523      2523      2050      85.6      15.4
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5895535156E+05      69.1     404.3     431.1     500.0      88.2     128.3       1.8       2.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     198.6     391.3     140.9     110.1      87.7     123.8      11.0
    0.9999999778E+22      66.1      10.2     382.6     122.4      99.1      80.8      17.8
    0.9999999778E+22     120.8     422.6      38.5     127.4     134.5      45.8      16.2
    0.9999999778E+22     333.4     300.0     121.0     148.3     112.7      41.0       2.9
    0.9999999778E+22       3.8     475.0      63.3     105.5     146.3      16.9      14.8
    0.9999999778E+22     362.1     298.6      42.6      75.8     113.0      29.1      14.5
    0.9999999778E+22     299.0     262.7     357.1     105.8       0.7      35.7      14.0
    0.9999999778E+22     352.4     433.9     330.9      54.9      54.7      86.0      13.9
    0.9999999778E+22     403.5      84.7     496.5     129.0      34.2      69.4      12.5
    0.9999999778E+22     133.4     285.6      44.7       9.4       2.0      26.6      10.7
    0.9999999778E+22     420.4     419.4      73.7      28.8      65.6      22.4       6.0
    0.9999999778E+22     117.5     334.5     147.5     141.7      15.6      22.9       3.0
    0.9999999778E+22     361.1     331.9      38.5     106.3      81.2      97.8      13.2
    0.6426823047E+05     291.9     454.0     484.6     136.9      53.3      86.9       8.1
    0.9999999778E+22      44.0     282.2     202.3     115.4      85.4      61.1      15.2
    0.9999999778E+22     381.9     254.5     109.2      96.4     136.4      92.5       2.0
    0.9999999778E+22     313.9     170.5      99.2      96.6      83.2      98.6       7.1
    0.6822026562E+05     107.9     255.0     328.2     138.8      91.9      19.7       1.4
    0.9999999778E+22     134.8     370.1     215.7     101.1      96.1      12.4      11.8
    0.9999999778E+22     379.8     339.1     423.2      71.4     121.8     142.4       1.6
    0.9999999778E+22      54.4     209.8     177.5      48.8      21.3       0.8      13.2
    0.6491611719E+05     147.6     418.8     420.7      12.8     125.9     146.2       8.3
    0.9999999778E+22     461.8     161.0      88.5     121.4     109.3     137.1       5.8
    0.9999999778E+22     348.5     134.6     282.2     120.1      29.6     111.5       6.0
    0.9999999778E+22      99.6      96.6     492.8      38.9     123.0      76.9       2.6
    0.9999999778E+22     335.4     340.8     255.6     103.4     121.4     134.2       9.2
    0.9999999778E+22       5.6     258.8     193.0     141.6     122.0       4.2      19.2
    0.9999999778E+22     240.6      51.6      86.9      91.9     113.4      13.9      17.0
    0.9999999778E+22     299.9     421.2      97.6      70.7      48.6      22.1      12.1
    0.9999999778E+22      14.0     473.5     312.7     124.2      68.6       4.2      19.6
    0.9999999778E+22     254.3      74.6     425.2      37.2     121.6      17.1       1.7
    0.9999999778E+22     256.6     235.9     475.6      89.6     135.1      16.1      14.6
    0.9999999778E+22     434.8     419.2     326.7     118.8      84.8      75.8      16.9
    0.5988969922E+05     112.1     241.5     354.6      45.1     111.8      91.5      15.3
    0.9999999778E+22     353.5     136.0     429.8      45.0      83.4       1.2      17.7
    0.9999999778E+22     101.3      33.3     442.4     133.0      38.1      29.4      16.2
    0.9999999778E+22     138.5     345.1     314.2      14.9      99.6     134.6      14.5
    0.9999999778E+22     100.9       7.7      32.4     112.5     113.5      18.0       4.2
    0.9999999778E+22     296.6     421.2     182.0      91.2       7.1      29.9      12.5
    0.6630982031E+05     108.8     377.7     394.7      93.6      62.6      14.9      15.4
    0.9999999778E+22      87.1     378.2      32.4      54.6      73.4     116.7       9.5
