 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample35      37.07010000  -119.26560000    298586.6   4105050.0      1215      1215      1470      84.1      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5269848438E+05     141.1     407.1     423.1     500.0      45.3     125.9       4.6      10.6
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     478.0     493.7     222.3      93.0     102.4      47.0      19.3
    0.9999999778E+22      16.0     290.4     134.6      99.2      23.4     135.0      14.4
    0.9999999778E+22     186.8     387.3     150.3      41.5       9.5      40.9       7.8
    0.9999999778E+22     453.0      66.9     396.8      59.9     102.2      12.7      13.3
    0.9999999778E+22      27.0      43.0       2.4     107.5      38.7     138.7      11.8
    0.9999999778E+22     475.5     124.7      71.7      53.4       4.2      12.2       3.2
    0.9999999778E+22     111.1     494.9     406.5     109.4     103.3     148.8       4.6
    0.9999999778E+22     270.9     230.1     135.7      47.5      14.5     107.6       4.8
    0.9999999778E+22     364.6     260.1      14.6     109.7       9.6     123.1      13.5
    0.9999999778E+22     276.5      94.0     251.1     140.1     136.6     136.4      12.9
    0.9999999778E+22      42.8     154.3      23.3      78.2     121.8      17.9      11.8
    0.6534510547E+05      18.6      38.2      79.9     142.8      84.6      95.7       6.4
    0.9999999778E+22      10.9      92.3      20.1     105.8     110.4      13.3       0.3
    0.9999999778E+22     169.5     117.0     355.7     141.3     115.9      16.9      14.0
    0.9999999778E+22      88.7     346.9      69.8      97.7     137.4      10.5      11.8
    0.9999999778E+22     447.9     316.8     497.0      11.2      79.9      29.9       0.5
    0.9999999778E+22     392.0     470.4     357.4     108.8      88.0     144.7      12.2
    0.9999999778E+22     207.7     194.8     116.8     109.9      32.3      75.7       8.7
    0.9999999778E+22     196.4     488.2     466.0     137.5      72.8      89.3      19.3
    0.9999999778E+22     271.9     480.3     464.0     117.0     104.5      91.1       5.9
    0.9999999778E+22     299.1      37.7      47.1      48.1     104.8     117.5      12.1
    0.5541410938E+05       9.1     103.2     254.1      57.0      20.4     115.3       5.2
    0.5393095703E+05     104.1     272.0     344.6      55.8      16.4      99.2       2.3
    0.9999999778E+22     468.4     193.2     389.1     140.2      18.6     139.5       9.3
    0.9999999778E+22     121.0     465.7      59.7      85.2     113.8      15.4       0.7
    0.5674149609E+05     126.6     232.5     235.9       1.1     144.1     111.7       0.4
    0.9999999778E+22     433.4     135.3     400.4      82.3      31.4      27.6      12.2
    0.9999999778E+22     418.4     499.0     158.5      68.2     101.4      26.6       0.6
    0.9999999778E+22     158.5     495.7     142.7      66.8      47.7      20.1       0.2
    0.9999999778E+22     122.8     381.6     179.5      40.4      74.7      69.1      13.2
    0.5327541797E+05     167.5     252.4     381.3      40.9      99.5     119.8       9.6
    0.9999999778E+22     355.2     300.6     452.2     121.0     140.8      26.7      15.9
