 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5103984375E+05     233.6     396.9     437.3     500.0     123.1     137.4       1.5       2.4
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.5800450781E+05     156.9     203.4     455.4     105.8     105.1      99.9      12.4
    0.6247157031E+05     142.5     190.9     198.3      16.6      99.0      61.4      10.4
    0.9999999778E+22     396.4      87.8     355.1      56.1     109.3       9.8      17.2
    0.6139401562E+05     133.3     167.9     332.4      73.3      98.8      30.9       9.6
    0.5362160156E+05      70.4     296.5     364.3     148.4     126.0      55.2       3.4
    0.9999999778E+22     369.3      29.3     497.2      79.8     122.5      39.6      11.9
    0.9999999778E+22     238.5     420.1      60.6      29.1     133.9      19.8       6.6
    0.9999999778E+22      83.4     123.3      78.7     148.5      80.8       2.0       6.5
    0.9999999778E+22     283.5     271.2     267.1     144.3      91.1      94.0      15.1
    0.9999999778E+22     282.7      66.2     257.6      27.5      85.4      59.7      12.0
    0.9999999778E+22     141.6     289.0      21.5      84.3     122.8     105.4       5.5
    0.9999999778E+22     398.6     325.6      82.3      13.8      99.6     141.5       3.6
    0.9999999778E+22     492.7      51.0     118.2      41.2      35.4      98.3      11.1
    0.5571477734E+05     244.6     298.3     466.9      80.0     102.9      82.9      18.3
    0.6606546875E+05      10.7     209.2     458.9      14.3      72.1      25.0       1.5
    0.9999999778E+22     291.4     106.9     405.6      83.0     136.7      13.2       5.9
    0.9999999778E+22     153.3     439.3     203.2      17.7       4.5     122.9       0.6
    0.9999999778E+22     223.3     481.3     134.1      82.2     146.9     102.1       3.8
    0.9999999778E+22      48.6     438.2     243.7      35.4      73.3      69.8       4.9
    0.9999999778E+22     369.8      38.3     399.7      53.6       9.7     115.9      17.3
    0.9999999778E+22      35.9     208.7     121.2     118.4     103.9      43.1      18.8
    0.9999999778E+22     308.5     126.5     172.7      88.3     101.4      64.1      15.7
    0.9999999778E+22     464.7     226.2     425.6     111.2      13.5      41.3       4.5
    0.9999999778E+22      74.5      19.4     343.0     126.0     100.6       7.5      10.3
    0.9999999778E+22      92.8      59.5      88.5      62.0      84.9     103.0      17.2
    0.9999999778E+22     143.2     420.4     381.3       7.5      34.2      50.5       7.1
    0.9999999778E+22     393.2     106.0       5.1      51.0      64.0      83.7      18.0
    0.5287137500E+05     203.0     374.6     419.9     131.9      98.0     103.5      13.2
    0.9999999778E+22     425.7     277.8     465.8      61.0      67.0      26.8      11.3
    0.9999999778E+22      12.4       4.3     116.5     133.5      32.3     116.3      11.8
    0.5883213281E+05      12.9     146.5     420.7     102.6      78.9      57.9       5.4
    0.9999999778E+22     192.7     497.9      90.6     122.9      74.2      87.9      15.6
    0.9999999778E+22     336.2     499.3     423.0      81.2     101.7      93.7       7.9
    0.9999999778E+22     312.6     493.8     230.3      30.4       6.6      77.1       2.0
    0.9999999778E+22     342.9     312.2      35.2       6.2      84.4     107.8      11.7
    0.9999999778E+22     127.4     127.1      50.0     147.2     103.7     121.9       6.2
    0.9999999778E+22     438.8     153.5       5.0     123.2      28.6      16.0      16.4
    0.9999999778E+22     482.5     359.4     393.7      79.5      22.6      77.9      19.7
    0.9999999778E+22     365.3      61.5      48.5      40.7      19.8      25.5       8.1
    0.5308957422E+05     152.1     184.4     254.4      92.5      41.8     115.4      17.0
    0.9999999778E+22     403.9     369.8     359.4     107.0     135.9      91.4       1.9
    0.9999999778E+22     418.5     470.8     108.8      47.0      58.7       0.8       8.3
    0.9999999778E+22     246.3     450.3     318.3      38.7      52.5      11.7      12.8
    0.9999999778E+22     487.7     165.4      65.1     132.6      10.9      88.7       3.3
    0.9999999778E+22     200.5     200.4     362.9      53.1      24.7      90.7      13.0
    0.9999999778E+22     163.7     391.0      57.7      98.7      92.8      52.2       9.4
    0.9999999778E+22     386.5       9.4     316.8      23.5     125.9      41.1       8.4
    0.9999999778E+22     147.9     458.8     226.2     131.6      55.3      18.8       9.1
    0.9999999778E+22     287.5      57.1      30.6      86.8     124.1     147.0       3.6
    0.9999999778E+22     161.6     434.7     420.3      92.7     148.0     117.1       6.7
            Infinity      30.8     181.2     418.8       8.1      24.1      27.8       2.0
    0.9999999778E+22     481.1       2.6     215.0      74.7      71.6      15.5      16.5
    0.9999999778E+22     286.9     372.8      87.4     126.2     110.3     121.7      14.2
    0.9999999778E+22     397.8     167.3     160.9      83.5     147.9      95.2      14.4
    0.9999999778E+22     429.2     224.0      29.4     131.5      40.4     148.6      16.0
    0.9999999778E+22     220.2     174.5      27.5     119.2      56.9      41.8      14.7
    0.9999999778E+22     189.5     124.9     434.7       4.7      96.9     128.6      15.3
    0.9999999778E+22     441.8     102.9     449.6      19.2      49.9      41.6       3.7
    0.9999999778E+22      46.7     423.6     127.9     108.0     125.5       6.4       3.3
    0.9999999778E+22     312.8      75.5     382.2      14.7     128.0     143.0      10.8
    0.9999999778E+22      49.9     158.8      37.6     127.7      90.8     121.5      13.3
    0.6413026953E+05       0.9      22.1     186.1     133.9     118.1      69.5       2.8
    0.9999999778E+22     305.7       8.0     354.7      96.5     125.9       5.1       6.8
    0.9999999778E+22     247.7      50.9     126.3      41.9     144.2      98.7      10.5
    0.9999999778E+22     322.1      29.7     182.1      96.6     122.0      59.1      19.8
    0.5498942969E+05     209.1     217.9     495.1     108.2      39.2      71.3       9.0
