 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample1       37.42830000  -119.01440000    321767.2   4144291.5      2865      2865      2163      80.2      15.2
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3916607422E+05     124.3     397.1     441.6     500.0       2.5     146.3       8.8      10.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22      84.5     192.5     118.1      26.3      35.3      27.1      15.1
    0.9999999778E+22     412.1     162.8     337.6     118.1      69.4      55.2       0.9
    0.9999999778E+22     275.9     306.8      36.2     103.7      84.7      96.5      18.3
    0.9999999778E+22     156.0     403.6     137.0      11.3      75.2      74.4      13.0
    0.9999999778E+22     440.1     237.4     285.3     115.9      78.0      29.9      15.3
    0.9999999778E+22     287.2     292.3     187.2      46.0      77.3      40.4       2.8
    0.4669689062E+05     105.0     255.3     388.8     139.8      20.2      71.7      11.6
    0.9999999778E+22     328.1     188.3      54.3     108.0     122.4      63.3       7.9
    0.9999999778E+22     432.6      18.3     205.7      99.2      89.5      57.1      10.3
    0.9999999778E+22     405.3     203.0     323.3      37.9     128.6      40.1      12.4
    0.9999999778E+22     239.5     297.2      56.5     136.2      40.0     120.9      11.8
    0.9999999778E+22     495.6     426.1     339.5      95.4      68.9      36.1       4.4
    0.9999999778E+22     439.2      95.1     127.6     106.4     119.0      17.6       6.4
    0.9999999778E+22     363.5      53.7     343.4       5.4     101.2       4.2       6.0
    0.9999999778E+22     121.9     485.9     169.9      21.5      93.9     134.9       0.4
    0.9999999778E+22     458.7     433.8     250.5     140.6      34.7      21.2       3.1
    0.4314116406E+05     121.5     147.1     169.8     130.4      41.0     124.6      15.5
    0.9999999778E+22     365.7     309.2     475.4      92.1      44.3      42.0       6.7
    0.9999999778E+22     484.3     106.8     444.0      52.4     140.7      13.6       1.1
    0.9999999778E+22     310.3     269.0     239.9      32.4     142.0     131.9       0.2
    0.9999999778E+22     458.6     212.4     467.2       9.3      74.8      55.6       2.3
    0.9999999778E+22     406.1     203.4     350.3     105.9     122.2      62.1      17.9
    0.9999999778E+22      16.8     124.4      45.0       0.8      54.2      81.0      14.0
    0.9999999778E+22     460.4     310.9     464.3      47.2     107.4      33.3       3.6
    0.9999999778E+22     397.8     484.4     378.2      69.1      63.5      11.1       0.5
    0.9999999778E+22     402.0     268.4     359.8      39.2       4.7      36.8      19.3
    0.9999999778E+22     426.1     173.8     324.2       2.6      70.4      18.7       6.1
    0.9999999778E+22     410.9     129.0      17.8      22.7     136.6      37.9       9.1
    0.9999999778E+22       0.6     430.2      18.4     104.2     125.1      59.0      11.0
    0.4859412109E+05     187.8     227.7     371.2     144.4      10.0      36.9       0.3
    0.9999999778E+22     389.8     482.6     349.5      80.9      42.3      99.8      15.4
    0.9999999778E+22     355.7     338.0     429.1     107.3      54.2      21.6       2.0
    0.4525971875E+05      67.3     181.5     455.1       7.2      92.8      42.4      16.8
    0.9999999778E+22     235.2     236.9     122.6      37.7      42.0      39.7       6.3
    0.9999999778E+22      32.7     491.5     123.8     113.7      67.3      67.2       2.1
    0.9999999778E+22     448.4     445.8      25.2     116.4     133.4      81.9      19.1
    0.3924928125E+05     120.9     377.0     426.6      54.6     137.9      45.8       2.5
    0.4009780469E+05      87.6     238.9     324.9       0.1      39.4     115.3       0.4
    0.9999999778E+22     258.1     125.5     216.4      57.8     116.1     107.9      18.7
    0.9999999778E+22     393.2     156.1     380.9      17.9      58.5      37.2      15.4
    0.4026919141E+05     221.8     302.4     461.9      66.5     120.7      28.8       9.4
    0.9999999778E+22     105.5     238.2     114.8     114.6       2.0     132.0      13.6
    0.5017084766E+05     104.5     264.1     411.2      99.4      20.3      51.7      15.5
    0.9999999778E+22     250.8     401.3       2.4      66.9     141.2       4.4      16.0
    0.9999999778E+22     474.5     330.7     447.2     106.3     124.3     134.2       8.2
    0.9999999778E+22     232.2     385.0     160.5       8.1      36.1      29.9      17.1
    0.9999999778E+22      57.7      44.0     304.1      40.9     137.5     139.6       6.8
    0.9999999778E+22     185.5     366.2     160.5      66.1      88.0     131.5      14.7
    0.9999999778E+22     387.9      14.6      16.0      51.1      63.3      22.2       3.1
    0.9999999778E+22     118.0      15.1     455.1     134.7     118.8      10.8      18.7
    0.9999999778E+22     305.8     445.9     161.2     114.7      91.9      68.4       1.2
    0.9999999778E+22     108.1      64.2     355.4      24.8       0.0     115.0      12.2
    0.9999999778E+22     119.8     373.1     275.5      88.9     129.6      75.2      11.3
    0.9999999778E+22     489.1     124.7      58.6      94.3      46.1      79.7       7.0
    0.9999999778E+22     237.7      76.0     105.9     105.1     120.3      94.4       4.1
