 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6325060547E+05     202.5     404.4     446.3     500.0      41.7     116.1       0.3      10.7
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.6605498438E+05     204.3     232.0     389.8      91.3     100.4      69.7      11.4
    0.9999999778E+22     482.5     296.5     128.8      33.1     118.4     113.0       8.9
    0.9999999778E+22     434.9     179.3     438.3      48.3      15.4      68.8       8.8
    0.9999999778E+22     432.8      30.6     175.3     132.3     124.1      43.2       0.1
    0.9999999778E+22     495.0     129.8     179.0     122.9      20.8      91.3      16.1
    0.9999999778E+22     260.4     190.5     243.2      94.6      71.1       9.8       5.6
    0.9999999778E+22     264.1     123.8     201.7      80.1     100.0      41.1      19.4
    0.9999999778E+22     429.9     278.5      73.6      68.7     113.3     120.4      11.8
    0.9999999778E+22     162.6      85.5     400.7      22.3      12.5      12.8       6.7
            Infinity      59.4      96.2     470.9      39.2      75.9       6.3       6.7
    0.9999999778E+22     345.8     301.4     175.9      36.4     135.2      44.1       8.1
    0.9999999778E+22     153.1     274.0     146.4      75.3      17.5      30.7      16.8
    0.6602803125E+05      88.0     136.4     242.4       3.0      62.4     129.8       5.2
    0.9999999778E+22     437.6     222.1     147.4     117.4      69.3     139.0       5.7
    0.9999999778E+22     173.2      54.6      63.4      54.1     108.9     101.6       7.2
    0.9999999778E+22     220.1     471.3     308.4      86.8      79.5      15.7       6.1
    0.9999999778E+22     377.5     468.0     444.5      31.3      96.2       5.9       6.7
    0.9999999778E+22     365.1       7.5     487.9      23.9     139.9      31.4       6.6
    0.9999999778E+22     438.5     337.3     442.5      69.2      52.8     118.6      14.5
    0.6823790625E+05       9.2      94.2      98.5      54.3      40.3     142.9      19.4
    0.9999999778E+22     315.9     222.6     341.8     102.9     127.5      42.6      14.3
    0.9999999778E+22     255.7      42.9     225.8      87.8      37.8      60.1      17.7
    0.9999999778E+22     378.8     168.2     316.8     106.1      73.3      24.1       1.6
    0.9999999778E+22     337.0     332.2     305.6     134.7      98.9      93.2       1.4
    0.9999999778E+22      42.9     302.6     246.2      19.4     143.1     132.7       2.9
    0.9999999778E+22     381.4     287.7     137.0      26.3     130.9     104.6       3.4
    0.9999999778E+22      92.8     362.0     191.3     101.7      18.9      17.4       2.4
    0.9999999778E+22     264.6     287.7     146.4      27.4      52.1      71.3      10.0
    0.9999999778E+22     245.8     399.5     270.6      13.1     106.3      66.3       6.7
    0.9999999778E+22     106.6     377.1     207.8      10.0     101.5      75.4       1.6
    0.6478230859E+05     105.2     258.8     293.5     144.0      87.8     117.9       9.8
    0.9999999778E+22     158.6      68.0     198.0      25.1     123.4      79.2      20.0
    0.9999999778E+22     448.4      25.2     396.8     111.1      19.6     109.4      13.9
    0.9999999778E+22     449.5     385.6      47.7      99.3      27.0      87.4       4.5
    0.9999999778E+22      69.3     298.5      93.2     121.3     147.0     108.7       7.2
    0.9999999778E+22     376.4     382.4      92.0      67.6      63.7     106.3      15.0
    0.9999999778E+22     334.1     406.0     195.6     121.4     100.6      36.1      11.0
    0.6782965625E+05     287.1     416.5     420.4      80.7     135.9     134.0       8.0
    0.9999999778E+22     268.8     431.2     299.2     124.9       3.1      46.1      17.3
