 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5626628516E+05     366.6     400.4     436.7     500.0      28.6     137.5       6.5       0.6
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     139.6     315.2     108.4     111.6      78.3     119.7       6.6
    0.9999999778E+22     450.5     232.6     313.2      81.4      26.6      13.2       9.8
    0.9999999778E+22     120.3     222.9     197.3     119.6     122.9     139.9       9.0
    0.1038851328E+06     314.1     383.5     490.1      67.7      81.5     124.9      16.1
    0.9999999778E+22     307.5     194.5      24.4     134.2      92.2     136.3       3.9
    0.9999999778E+22      63.6       0.5     422.6     145.1      11.1     106.9      14.1
    0.9999999778E+22     444.5     286.4     126.8     112.0      54.1      29.5       6.1
    0.9999999778E+22     441.1     419.5     304.4     128.4     120.7     122.5       7.7
    0.6435045312E+05       7.9     154.0     274.8      59.2     119.6      73.1      18.7
    0.9999999778E+22     195.6     456.9     418.2      43.3      77.3      35.2       9.9
    0.5868165625E+05      42.6      99.0     246.0     140.5      14.0     125.9      15.4
    0.9999999778E+22     481.1      81.8      33.5      79.1      78.7      38.6       4.4
    0.9999999778E+22     295.9     280.8     480.4      33.5     149.3      53.7      16.8
    0.9999999778E+22     243.0     305.1     236.7     148.3      77.2      32.1      19.0
    0.9999999778E+22     239.6     207.1     487.4      59.8       4.9      35.7       7.1
            Infinity     157.2     175.7     317.9      31.9      38.2      63.5      15.8
    0.9999999778E+22     156.4      95.8     278.0      46.7     131.5      69.1       8.0
    0.9999999778E+22     199.5     311.3     168.2       5.4     123.1      77.8      13.7
    0.7473299219E+05      82.6     127.0     291.2     116.9      73.2      20.4      15.0
    0.9999999778E+22     454.4     321.7     367.7      31.8       9.9      99.7       5.6
    0.9999999778E+22     342.4     250.1     410.6      89.4     110.3      75.3       9.0
    0.9999999778E+22     394.8     477.2     151.0      52.4     144.0      55.5      14.0
    0.9999999778E+22     463.2     419.3     324.5      18.6      89.2      92.9       2.1
    0.9999999778E+22     142.6     485.6     466.1      85.5     138.5     145.7      14.3
    0.9999999778E+22     228.0      26.8     430.5      13.1      75.9      15.1       1.0
    0.9999999778E+22     331.4     483.3     167.9     134.1     102.1       5.7       0.8
    0.9999999778E+22     329.7     481.7     338.3      30.4      24.8     122.6       6.8
    0.9999999778E+22     360.0     382.2     247.6      91.5      91.6      62.9      12.0
    0.9999999778E+22     497.1     360.4     273.4      10.9      80.3      17.1      17.9
    0.9999999778E+22     137.1     132.1     154.2      45.1      60.9       3.5      14.5
