 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4675038672E+05     199.9     404.9     421.2     500.0      75.3     135.1       1.2       4.7
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     421.0      19.3     449.0      39.1       3.2      59.6      18.2
    0.9999999778E+22     485.9     223.0     265.0     147.5      76.3     108.4       3.1
    0.9999999778E+22      15.1     315.9       7.6      67.5     123.2      17.9      14.4
    0.9999999778E+22     207.6     277.6     257.7      49.7     145.4      39.2       1.6
    0.9999999778E+22     275.5     128.9      41.4     131.3     139.2      18.4      17.2
    0.9999999778E+22     494.6     391.5      52.6     131.6     118.0      55.7       8.5
    0.9999999778E+22     396.5      52.5     148.0     115.6      67.5      81.9       3.4
    0.9999999778E+22     483.9      41.5     354.4      39.4      24.0      86.2      19.3
    0.9999999778E+22      55.4     387.8     199.6       4.8      92.1     120.6       1.9
    0.9999999778E+22     329.8      79.4     279.2     107.3      92.6     128.9       5.2
    0.9999999778E+22      90.8     234.6     140.8     128.1       5.5       1.4       3.0
    0.9999999778E+22     197.6     470.3     182.3     128.8      72.8     102.2      10.4
    0.9999999778E+22     321.9     139.4     390.6      40.2     144.6      45.5       5.5
    0.5595504297E+05      82.7     122.9     309.0      90.7     135.3      21.5      18.8
    0.4751543750E+05      34.2     143.2     309.1       8.2      90.8     120.5       2.2
    0.9999999778E+22     298.7      13.8     371.9      77.4      44.4      27.8      16.9
    0.9999999778E+22     405.9      47.9     379.3      67.3      83.7      71.4       1.1
    0.4701629688E+05     128.3     207.5     388.2      82.4      86.0      96.2       2.5
    0.9999999778E+22     431.9     239.0     372.2      65.9     147.3      61.3      17.6
    0.9999999778E+22     322.4      89.6       7.8     101.1      87.8     114.0       3.9
    0.9999999778E+22     360.3     152.5     106.6     106.1     133.2      74.6      12.3
    0.9999999778E+22     336.4     488.3     239.0       5.8      99.8      29.2      12.6
    0.9999999778E+22     152.2     104.8      87.8     144.1      93.6      14.1      18.5
    0.9999999778E+22     221.1     491.8     160.5      86.3     132.1      94.4       2.1
    0.4755502734E+05     103.8     130.8     416.3     132.8      74.9      86.5       4.4
    0.9999999778E+22     374.8     290.9     460.1      40.3      64.8     142.7      18.1
    0.9999999778E+22     426.9     325.3     257.7      81.0      63.7      83.7       1.4
    0.5628791797E+05     149.4     193.0     284.5      56.7      74.8      54.4      16.7
    0.9999999778E+22     402.7     318.2     244.4      20.8     137.3     104.4       8.1
    0.9999999778E+22     272.5     263.3      67.7     121.7      81.6      17.1      15.3
    0.9999999778E+22     392.4     308.7     445.7      48.8     106.2      53.2       1.3
    0.9999999778E+22     242.5     479.2     370.1      11.3     149.0      92.4       1.4
    0.9999999778E+22     173.1      68.4     240.8     143.2       7.5      12.4      18.8
    0.9999999778E+22      18.8     403.2     252.2      97.0      50.1       1.7      10.6
    0.9999999778E+22     471.4      80.3     237.7     141.0      90.0      49.4       4.5
    0.9999999778E+22     196.4     476.5     154.5      22.9      33.9      53.0      17.0
    0.9999999778E+22     293.0     202.9     100.4     131.7     133.4     134.9      18.0
    0.9999999778E+22      96.3      61.9     141.6      90.2     143.0      43.3      16.9
    0.9999999778E+22       8.7     281.0      50.9      47.2      60.2     113.3       6.7
    0.9999999778E+22     366.3     193.3     112.2      61.1      31.5     130.2       9.4
    0.9999999778E+22     123.7     290.9      28.3     128.6     143.9      98.2       8.7
    0.9999999778E+22     426.6     107.7     401.1      47.5      67.4      64.0      12.6
    0.9999999778E+22     379.5     360.0     303.7     130.1     141.4     149.9      19.7
    0.9999999778E+22     371.5     220.5     342.0     146.8     115.7     119.1      14.6
    0.9999999778E+22     223.4     273.0     220.8       5.4     102.6      14.4      17.5
    0.4766275391E+05     337.1     428.4     486.8      29.1      85.3      35.6       3.0
    0.9999999778E+22     309.7      51.2     164.6      98.8      47.2      97.3      15.1
    0.9999999778E+22     307.5     215.2     339.3     114.5      48.3       4.0       4.2
    0.7295578125E+05     448.8     480.4     490.8      42.7     119.7      69.4      13.2
    0.9999999778E+22     323.3     282.4      83.4     124.5      48.6      44.8       2.0
    0.9999999778E+22     202.8     479.5      56.7      49.1      85.3      46.1      19.6
    0.4713114453E+05      59.4     328.6     383.7     131.1     125.0     112.0       3.2
    0.9999999778E+22     374.0     489.5     188.5       5.7      79.6     106.4      16.9
    0.9999999778E+22     266.3     337.4      46.8      24.5      41.8       5.5       5.8
    0.9999999778E+22     266.8      11.0     339.5      29.3     148.7     148.0      14.8
    0.9999999778E+22     298.6     465.9     300.7      86.1       7.2     125.1      17.2
    0.9999999778E+22     215.0     136.1     220.4      39.8     118.2      84.8       9.7
    0.9999999778E+22     143.2      65.1     269.1     118.6      41.5      63.2       4.2
    0.9999999778E+22     483.8      63.3     293.3     145.7      56.3      56.7      10.9
    0.9999999778E+22     304.7     466.5       7.1      60.5      71.2     108.2       9.7
    0.9999999778E+22      95.7     405.7     277.3      36.7      86.9      45.9      14.8
    0.6487611328E+05     199.1     336.1     476.6      46.6     136.5     105.8      11.2
    0.9999999778E+22     323.4     150.4     325.4      57.3       8.1     109.0       3.9
    0.9999999778E+22     228.5     440.2      45.7     128.5       3.4      45.8       3.7
    0.9999999778E+22     346.5      67.4     261.7      58.4     134.0      79.5      19.5
    0.9999999778E+22     110.2     416.4     114.3      94.5      18.1      83.9      11.7
    0.9999999778E+22      36.5     429.9     388.8     137.7      74.7      68.0      15.1
    0.9999999778E+22     455.1     354.5     108.8     117.2      88.0     143.9      16.0
    0.9999999778E+22     459.1      12.2     134.3      53.8      71.0      77.0      15.4
    0.9999999778E+22     275.9     197.0     362.5     125.5     126.8     117.7      14.6
    0.9999999778E+22     401.5      98.8     314.5      21.5       2.7     146.5      13.5
    0.9999999778E+22     146.9      66.1      27.3      15.7      42.1     137.5       6.7
    0.9999999778E+22     330.8       5.0     310.5      51.2      20.4      37.6       7.7
    0.9999999778E+22     493.6     222.1     450.7      47.6      54.2     143.5      18.6
    0.9999999778E+22     421.0     400.5     121.4      30.6      48.1     104.8      16.1
    0.9999999778E+22     214.0     150.3     223.7     138.7     142.4      27.1      11.5
    0.9999999778E+22     444.1       9.0     487.6      72.9      10.4     130.1       4.7
    0.4941951562E+05      16.2     384.2     453.6       0.5     147.5      72.8      12.0
    0.9999999778E+22     438.3     465.3     168.9      88.5     101.4      34.2       7.4
    0.9999999778E+22      91.5     436.8     264.0      58.9     134.8      53.9       3.5
    0.9999999778E+22     470.4     377.0      53.7      15.6      72.4      71.4      19.7
    0.9999999778E+22     230.5     207.9     359.4      72.8       3.9      88.8       5.0
    0.9999999778E+22      62.6       7.4     417.5      20.7     123.7      41.7       0.7
    0.9999999778E+22     200.9      44.2     374.7       1.3      64.0      70.4      15.7
    0.9999999778E+22     267.8     249.5     251.2      91.2      67.7      77.3      10.9
    0.9999999778E+22     371.1     157.7     375.7     128.7      70.6     114.6      14.8
    0.9999999778E+22      52.9      30.0     277.2      41.1      21.0      92.9       3.5
    0.9999999778E+22     223.3      29.3     304.2      54.5     129.0     101.0       6.7
    0.9999999778E+22     151.4     296.1     278.3     111.0      24.1      34.8      12.1
    0.9999999778E+22     472.5     477.4     373.2     138.0      79.8     104.7      17.0
    0.9999999778E+22     437.6     107.7     481.8      56.7      32.9      64.0       0.8
    0.9999999778E+22     114.1      38.2     337.9      18.6     131.6      34.2      15.9
    0.9999999778E+22     169.0     135.1       2.7      75.9      84.1     120.1      16.4
    0.9999999778E+22     391.8      26.8       3.7      89.3      82.3     116.3      14.6
    0.9999999778E+22     420.5      63.8     117.9     136.7      81.5      74.8       6.4
    0.5918507422E+05      90.8     190.4     283.9      78.3      60.4      49.1      15.9
    0.5313677344E+05      15.8     377.9     459.0      56.6      26.8      89.3       7.0
    0.9999999778E+22     203.1     485.7      96.2     103.6      85.5      92.3      19.3
    0.9999999778E+22     336.1     232.4      27.8       5.6       6.9      70.6      14.1
    0.9999999778E+22     336.7     174.4     163.9     126.8      70.8     131.6      19.2
    0.9999999778E+22     225.6     137.3     348.3      90.5      87.7     101.7       6.3
    0.4714942188E+05     138.1     358.7     400.5     115.4     118.8      59.0       4.7
    0.4783614844E+05      62.7     121.3     266.9      43.2      71.7     134.1       4.7
    0.9999999778E+22     285.4     255.9     364.0     132.6      96.9      60.9       5.3
    0.9999999778E+22     415.7     439.0     394.5      51.3      30.7      13.5       2.0
    0.4745546875E+05     131.6     191.8     402.2      15.2     148.7      71.0      12.1
    0.9999999778E+22     159.9     428.2     332.7       5.4       0.9      71.3       5.6
    0.9999999778E+22     285.4      53.7     392.3     132.4     136.2      10.2      20.0
    0.9999999778E+22     341.5     198.9     236.7      63.6      79.6      37.4      17.1
    0.5714460156E+05     178.2     180.5     312.1     135.3      73.8      22.6      15.5
    0.9999999778E+22     163.4     136.0     433.3      18.0     131.4     114.7      12.5
    0.9999999778E+22     263.1     498.4     396.6      91.5     134.9      32.5      19.4
    0.5250150781E+05       6.7      17.2      64.6      52.3     118.2     128.5      16.2
    0.9999999778E+22     299.2      10.0     160.1       6.2       4.9      88.0      13.8
    0.9999999778E+22      39.4     122.3      30.5     137.3     139.8      47.8      11.4
    0.9999999778E+22     327.2     207.6     384.2     107.4      50.5     100.1       1.5
    0.9999999778E+22     331.1     229.3      83.0     129.2      93.4      81.0       7.0
    0.9999999778E+22     229.1     205.1     248.1      39.0     141.8      48.7      19.3
    0.4751942578E+05     263.4     270.2     353.0       1.0      53.8      96.3      12.6
    0.9999999778E+22     381.6     357.1     308.3      36.3      76.3     138.5      19.8
    0.9999999778E+22     341.0     226.5     434.4      49.3      26.8      40.1      18.0
    0.9999999778E+22     164.5     158.0     216.1     115.0      64.3     100.4      17.9
    0.9999999778E+22     316.2     350.7      82.1     114.0      25.3     108.3       8.6
    0.9999999778E+22     230.1     207.7     145.2     133.4     103.4     127.4       9.5
    0.4759289844E+05      15.2     254.3     361.6      43.7     141.0      86.2       4.8
    0.9999999778E+22     357.6     138.3     163.6      58.4     104.4      16.2      14.5
    0.9999999778E+22      92.1     349.7      19.1      97.4      73.1      44.5      18.2
    0.9999999778E+22     182.5      53.5     268.5      27.3     128.0      15.0      11.1
    0.9999999778E+22     487.7     282.6     431.5      21.7      67.0     139.4      14.7
    0.9999999778E+22     499.7     236.4     112.4     123.6     140.3     112.2      14.5
    0.9999999778E+22     386.7     390.2     230.1     131.8     101.4     123.3       1.8
