 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample37      37.49290000  -119.21510000    304175.9   4151858.3      1471      1471      1598      79.2      14.4
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3864155469E+05     358.4     400.0     440.0     500.0     144.1     128.8       4.9       6.6
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22      27.3     278.9     245.7      57.7     137.5      78.1      15.1
    0.4581833594E+05     236.9     292.5     449.9     149.2      98.4     136.3      15.0
    0.9999999778E+22     230.4     144.9     406.6      24.5      23.5     103.6       3.3
    0.9999999778E+22     237.2     405.5     294.6      50.0      55.5      78.8      17.7
    0.9999999778E+22     123.7      25.9     292.7     118.7      61.3      61.9       4.4
    0.9999999778E+22     470.8     297.7     301.9      89.3      42.5       8.9      13.1
    0.9999999778E+22     499.9      63.1     464.6      92.2     113.1      87.7       0.8
    0.9999999778E+22     372.2      14.4     459.5      89.2      32.3      68.4       5.3
    0.9999999778E+22      74.7      39.4      83.2     146.3     138.8      22.5      17.6
    0.9999999778E+22     150.7     420.2     168.8      98.5     117.4     123.5      16.9
    0.9999999778E+22     268.0     114.1      62.2      61.8      99.3      36.7      17.6
    0.9999999778E+22     297.9      66.6      34.9      33.1      67.0     108.1       5.4
    0.4630816406E+05      63.3     217.8     456.3      16.0      85.8     132.1       5.7
    0.9999999778E+22     406.3     390.3     374.6     112.1     124.7      79.9      11.8
    0.3901633203E+05     232.3     342.3     367.4      23.7      67.8     145.3      10.5
    0.9999999778E+22     291.1      99.0     161.3      13.3       3.1      52.6       0.8
    0.9999999778E+22     253.3     142.7     345.2      16.9      55.4      19.4      11.1
    0.9999999778E+22       4.7     402.5      34.2      47.7      20.8      16.7       7.6
    0.9999999778E+22     388.3      77.7     444.0      11.9       7.0      83.6      10.1
    0.9999999778E+22      56.4     359.6      89.2     141.0      65.3      87.2       0.3
    0.9999999778E+22      33.2     391.6     276.5      84.4      11.4      32.5       9.9
    0.9999999778E+22     321.0     318.9     184.7       8.2      56.6     105.0       7.7
    0.9999999778E+22     319.1      88.8     325.4      50.8      37.5      51.8      12.8
    0.9999999778E+22     381.3     370.5      37.4     143.1      85.1      73.4      18.9
    0.4750055859E+05     104.8     236.8     309.1     109.1      73.7      27.7      19.1
    0.9999999778E+22     213.8     184.2     466.6      75.1     140.1     109.1       8.8
    0.9999999778E+22     452.8     271.3     218.5      42.6     122.4      64.8       3.2
            Infinity      75.8     344.6     497.9      33.9      16.2      59.4       6.8
    0.4232120312E+05     145.8     184.3     303.8      97.2     127.2      84.2       2.8
    0.9999999778E+22     352.1     321.1     308.5      70.7      23.6     142.2       7.1
    0.9999999778E+22     180.7     109.3      90.2      14.7      98.4      97.0      10.7
    0.9999999778E+22     316.6     339.6     307.4      41.4      18.1      50.5      11.2
    0.9999999778E+22     312.7      28.5     292.7     118.1      81.3      50.7      19.1
    0.9999999778E+22     105.6     492.6      73.0      85.8      76.3      38.6      16.1
    0.9999999778E+22     443.2     395.2     373.6      27.4     113.0      81.6      17.5
    0.3922390234E+05     284.3     329.7     332.3      72.4      50.8     113.1      10.1
    0.9999999778E+22     413.2     134.9     346.1      95.6      86.4     149.3       2.6
    0.4366011719E+05      66.8     179.9     332.0      40.6      23.6      91.1       3.6
    0.9999999778E+22     232.8     318.3     111.2      13.2     148.1     130.8       3.0
    0.9999999778E+22     170.2     430.5     385.9      44.1      10.0     130.4      19.8
    0.4187428906E+05     240.4     294.9     327.8      61.3     146.7      43.8      18.8
    0.9999999778E+22     413.8     269.5     196.9       6.5      93.1      87.8      16.0
    0.9999999778E+22     401.6     437.6      16.2      61.9     102.4      15.6       5.5
    0.9999999778E+22     296.4     397.7     247.1     128.7      24.6     127.3       8.4
    0.3909518359E+05     145.7     200.0     348.3     112.3      68.5     110.7       1.8
    0.9999999778E+22     369.6      39.5     236.0      53.2     109.8      21.9       1.1
    0.9999999778E+22     476.9      59.3     406.8      59.2      11.5      98.5       9.6
    0.9999999778E+22     348.5     461.6     438.3     116.3      70.4      43.7      14.6
    0.9999999778E+22      66.7     458.8     159.0      35.9      32.0      70.2       9.5
    0.9999999778E+22     403.6     123.8     495.1     100.0      70.0     147.8       8.2
    0.9999999778E+22     399.4     188.0     465.2     147.9      27.1      59.7      16.4
    0.9999999778E+22     163.2     101.3      62.9       4.6     139.6      15.0       1.0
    0.5329904688E+05      93.5     114.2     137.7      97.4      73.6      15.1       1.4
    0.9999999778E+22     306.3     243.4     472.9     140.0     115.5      18.4      19.4
    0.9999999778E+22     468.9     207.9     288.4     112.5      68.1      53.5      13.3
    0.9999999778E+22     496.2     388.4     361.4      42.3       9.5      68.5       9.7
    0.9999999778E+22     213.6     108.8      83.4      90.1     147.2      79.1      17.5
    0.9999999778E+22     238.8     433.9     349.5      79.3      85.4     124.8       1.0
    0.9999999778E+22     461.1     286.9     159.9      28.3      93.1      14.2       0.9
    0.9999999778E+22      69.7     334.6     273.4      75.6     132.3     132.8      11.7
            Infinity     123.4     374.1     387.6       1.9      34.9      56.0       1.7
    0.9999999778E+22     458.7      57.0     442.2     127.2      82.3      97.2      15.0
    0.9999999778E+22     397.5     241.0     353.0      47.2     103.1      17.9       9.8
    0.9999999778E+22     447.2     418.6     347.8     122.5     106.3     106.3       8.3
    0.9999999778E+22     492.4     396.8     258.3       9.6      62.0     148.5      12.6
    0.9999999778E+22     159.6      25.5     389.6     116.2      52.5      51.4      12.2
    0.9999999778E+22     443.2     100.1     349.9     109.0      38.7      52.3       6.5
    0.9999999778E+22     480.3     418.9      44.7     134.6      13.8      10.5       3.7
    0.9999999778E+22     167.3     392.7     191.6     137.0      48.3      45.7       2.9
    0.9999999778E+22     382.1     270.9     120.0      99.3      67.2       7.4       1.4
    0.4714067188E+05     112.2     178.7     495.7     109.0      42.2      59.9      19.9
    0.9999999778E+22     372.7     312.9     316.7      56.1     138.5       4.7       1.4
    0.9999999778E+22     235.8     106.0     460.5      97.4      67.2      58.4      13.1
    0.9999999778E+22     301.6     364.8     353.0      18.8     147.8      92.5       3.2
    0.9999999778E+22     459.4     150.3     364.7      76.9     108.4     103.4      11.7
    0.9999999778E+22     457.2      29.2     413.0      93.0     128.7      39.3      13.7
    0.9999999778E+22     168.8     496.9     128.3     107.8      86.2      65.5      12.8
    0.9999999778E+22     278.3     311.8     251.3      79.4     112.3      50.9      14.2
    0.9999999778E+22     317.3     150.9      70.1      55.1      51.1      25.7       2.5
    0.9999999778E+22     384.0     185.8     344.3      87.9       5.6     122.2      15.1
    0.9999999778E+22     318.6     242.0       5.3     133.7     114.9      23.1       1.5
    0.9999999778E+22     490.4     183.5     206.7      52.6      47.2       2.9      11.0
    0.9999999778E+22     480.0     279.2     193.7     143.2      47.7     134.7       6.6
    0.9999999778E+22      10.6       5.6     433.9      33.1     116.7     101.2       8.9
    0.9999999778E+22     114.0      51.1     322.4      89.1      10.5      33.8       4.1
