 Total number of samples:           5
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample41      37.04500000  -119.47950000    279494.9   4102739.8       548       548      1331      87.0      15.5
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample9       37.05470000  -119.48790000    278775.9   4103835.7       608       608      1328      87.1      15.3
Sample41      37.04500000  -119.47950000    279494.9   4102739.8       548       548      1331      87.0      15.5
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3798089453E+05     274.4     406.1     411.6     500.0      45.5     102.5       3.5       0.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     197.9      96.9     403.2      13.0       7.2      48.3       6.0
    0.9999999778E+22     461.3     464.5     203.3      92.2     141.5      44.8       2.2
    0.9999999778E+22     131.0     435.7      92.7      32.5      54.5      71.3      15.6
    0.9999999778E+22     277.7     309.6     122.9      12.7      53.5       6.4       1.8
            Infinity       1.8      88.7     306.5      42.7      46.9      31.1      12.1
    0.7846259375E+05      63.2     306.8     491.3     113.5      12.4     124.6      19.7
    0.9999999778E+22       6.5     272.7     190.0      89.2       1.4      92.2      19.1
    0.9999999778E+22     287.8     116.9     483.6      69.5      48.4     149.2       2.2
    0.9999999778E+22     440.6     299.6     240.7     138.3     106.3      47.5       3.3
    0.9999999778E+22     423.0     287.9     314.9     139.5     113.0     109.8      13.3
    0.9999999778E+22     431.2     285.3     131.3     118.2      36.2     122.0       1.8
    0.9999999778E+22     148.4     125.5     486.9      71.3      66.6      91.6       1.6
    0.9999999778E+22     234.5     148.3      59.3      70.0      94.7     146.3       3.9
    0.9999999778E+22     430.1     125.2      44.8      33.1      39.0     108.3       4.5
    0.9999999778E+22     151.9     283.5     251.3     106.8      54.6     147.1       2.0
    0.9999999778E+22     395.1     178.3     190.6     128.0     104.7     148.9       8.3
