 Total number of samples:           9
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample23      37.22930000  -119.06240000    317037.6   4122302.6      2746      2746      2477      79.1      15.0
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
Sample31      37.37770000  -119.03480000    319840.9   4138715.7      2372      2372      2302      78.3      15.2
Sample24      37.25270000  -119.04950000    318238.3   4124874.1      2866      2866      2435      79.5      15.2
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.6316292578E+05      47.5     410.0     433.4     500.0      68.6     121.1       3.5       4.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     187.9      38.5      72.9       7.3      34.1     138.4       8.8
    0.9999999778E+22       9.6     209.8     168.7     142.2      86.4     122.0       9.7
    0.9999999778E+22     292.1     431.3      95.9      47.1      80.9      82.6      11.8
    0.9999999778E+22     408.2      88.4      19.2      72.6      35.9      23.6      18.4
    0.9999999778E+22     414.1     133.0     333.2     145.0     145.7      12.5       6.6
    0.9999999778E+22     453.5     481.7     425.1     105.8      38.9      66.6      18.5
    0.9999999778E+22     190.8     179.4     160.4      85.4       9.0      21.9      11.7
    0.9999999778E+22     106.8     400.0     363.5     106.4      59.1      29.1       8.2
    0.9999999778E+22      53.0      31.2     359.8      48.0     143.9      88.3       6.3
    0.9999999778E+22      80.1     446.7      10.7      29.1      68.2      24.7       0.3
    0.9999999778E+22     401.2      22.8     364.1      48.9     112.6     129.2       2.1
    0.9999999778E+22     391.4     422.3      37.6      20.0      14.2      30.0      10.2
    0.9999999778E+22     153.2      38.8     326.3     121.6      28.5      46.1      14.3
            Infinity     254.5     342.8     345.2      68.5      59.8      29.7       1.1
    0.9999999778E+22     303.9     229.7     231.2      41.6      45.3      76.6       1.6
    0.9999999778E+22     352.5     263.6     100.8      13.1      17.4     113.5       5.9
    0.9999999778E+22     436.3     206.0     303.8      67.6     135.5      93.6      14.1
    0.9999999778E+22     247.5     411.6      69.2     127.0     105.8      82.9      10.5
    0.9999999778E+22     371.9     108.7     122.9       6.9      50.2     135.8      13.9
    0.9999999778E+22     364.2     159.4     419.2      33.3     118.2     135.1      17.1
    0.9999999778E+22      87.2      14.5      53.8     104.2      72.7      86.2      13.3
    0.9999999778E+22     490.2      68.9     466.0      98.2     147.1     121.5      11.2
    0.8595331250E+05      62.5     278.4     290.9      86.0      28.8      36.2       9.7
    0.9999999778E+22     369.7     150.6     115.7     141.3     109.1      28.1       3.6
    0.9999999778E+22     463.8      16.6     394.0     138.4      72.9     115.7      16.8
    0.9999999778E+22     421.2     164.2     142.3      87.0     149.4     141.5       3.4
    0.9999999778E+22      12.7       2.1     281.6      89.3      90.6      69.6      15.7
    0.9999999778E+22     295.6     325.6      22.2     129.0     130.1      10.2       5.0
    0.9999999778E+22     271.5     168.2     427.2      96.3      36.9      56.7       8.0
    0.9999999778E+22      71.0     494.4     242.2     143.3     120.9     149.8      10.6
