 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
Sample20      37.26310000  -119.13940000    310290.6   4126204.6      2657      2657      2730      80.0      15.1
Sample22      37.28310000  -119.12110000    311963.3   4128387.2      2803      2803      2692      80.6      14.9
Sample10      37.37150000  -119.05960000    317629.9   4138075.4      2222      2222      2339      77.2      14.8
Sample30      37.42760000  -119.13380000    311199.8   4144446.4      2108      2108      2047      78.9      15.2
Sample33      37.37370000  -119.23470000    302129.2   4138672.4      1928      1928      1886      81.7      15.1
Sample18      37.31910000  -119.20090000    304981.1   4132543.6      2568      2568      2320      82.1      15.0
Sample43      37.32610000  -119.18840000    306106.9   4133294.6      2441      2441      2322      81.2      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5826836328E+05     167.6     399.4     445.3     500.0     146.2     139.6       5.9       0.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     193.2      46.6     462.6     109.7     135.1      25.2       2.0
    0.6203291016E+05      97.4     285.8     347.4      50.1     120.1      67.0       9.1
    0.9999999778E+22     250.2     485.6     399.3     114.3      86.3     135.6      10.0
    0.9999999778E+22     170.9     359.9     292.4     137.5     106.7     113.5       9.9
    0.9999999778E+22      55.5      40.5      45.0      65.8      64.7      33.3       4.5
    0.9999999778E+22     411.4     121.0      35.4      93.8      48.7      31.6      15.8
    0.9999999778E+22      28.2     139.6     126.5      80.6     139.2     124.8      15.8
    0.5878346094E+05     267.6     334.5     440.1       7.7     124.0      45.1      19.0
    0.9999999778E+22     331.0     351.6     253.2      11.7     138.9       4.2      11.4
    0.7482414844E+05     123.4     242.0     273.0     111.7      25.2      30.6      19.3
            Infinity      21.6     483.3     486.2       6.0      35.2      92.8       5.8
    0.9999999778E+22     446.6     141.9     484.5       7.4       8.0     148.6       0.7
    0.9999999778E+22      77.4      31.0     434.6      27.7     110.7     101.8       1.6
    0.9999999778E+22      37.1     433.5     331.2      42.3      36.6     122.4       0.3
    0.9999999778E+22      22.2     317.0     123.4       5.2      82.2     123.1       9.7
    0.9999999778E+22     307.8     444.9       8.9     100.8      35.8      11.8       9.6
    0.9999999778E+22     482.7     413.9     499.8     127.8      24.1     136.1      19.3
    0.9999999778E+22     120.0     365.1     364.0      18.5      85.5     107.4       0.2
    0.9999999778E+22     209.3      76.0     277.0      92.9     109.4      40.9       4.4
    0.9999999778E+22      22.5     445.3     285.8      13.2      24.4       5.1       6.1
    0.9999999778E+22     450.6     480.9     109.7      74.7     142.3      52.5      19.0
    0.9999999778E+22     148.6     473.2     136.6     123.8      99.6      69.4       8.5
    0.9999999778E+22     452.5     487.0     406.6      75.4     139.5     137.2      10.6
    0.9999999778E+22     363.6     492.1     184.6      50.6      17.5      38.8       9.3
    0.9999999778E+22     439.6     324.6     450.8     129.6     144.1     103.8       8.3
    0.7079219531E+05      33.2     132.9     349.2      99.7     111.3      29.3      18.3
    0.9999999778E+22     111.1     319.8      45.8       0.3      43.3     127.8      14.1
    0.9999999778E+22     386.9     156.6     310.3      42.5      57.7      60.2       0.7
    0.9999999778E+22       0.6     263.7      41.6     132.3      12.7      37.8      12.6
    0.9999999778E+22     102.3      38.9     454.9      66.3     123.4      50.0      18.1
    0.9999999778E+22     342.7     480.5     397.8      23.4      90.2     136.1       8.9
    0.9999999778E+22     299.9     484.1     150.2      17.3     109.6      57.6      19.9
    0.9999999778E+22     282.4     324.7     115.7     113.4      92.1      75.7      12.5
    0.9999999778E+22     221.5     182.4     380.8       8.5      35.2      18.0       1.3
    0.6916598438E+05      19.2      92.2     279.0     103.3     132.6      61.1      13.2
    0.9999999778E+22     291.1     118.1     143.1     123.0     112.7     120.9       4.9
    0.9999999778E+22     456.7     289.2     128.6      96.2     133.1     130.6       3.0
    0.9999999778E+22     421.7     394.8     187.8     117.6      22.4      51.8      19.9
    0.7250906250E+05      38.5     194.2     248.8       2.9     100.6      23.6      15.6
    0.6272482031E+05     108.4     247.2     435.3     122.6     120.9     111.0      18.5
    0.9999999778E+22     381.1     180.3     304.1     115.6     107.3      37.4      13.2
    0.9999999778E+22     107.8     208.2      30.1      23.6     109.7      85.3       0.4
    0.9999999778E+22     256.8     200.2     454.4     100.1     136.9     118.1      15.3
    0.6162478516E+05     215.2     273.1     448.3     148.4      66.8      95.5       2.9
    0.9999999778E+22     431.7       4.0     491.3     100.7      68.2      13.2      13.7
    0.9999999778E+22      29.0     403.5     382.4      95.3     141.7      13.1       8.2
    0.9999999778E+22     237.9     355.0     127.2      36.1      91.7     132.5       4.5
    0.5842432422E+05      24.5     117.0     337.4     141.4     109.8     141.1       1.8
    0.9999999778E+22     453.0     260.1      42.4      98.6      66.3     134.1      11.6
    0.9999999778E+22     235.8     486.3     373.9      38.4     128.8     114.8       5.5
    0.9999999778E+22     394.5      12.6     219.9     129.5      83.1      13.5       9.8
    0.9999999778E+22     407.1     478.0     449.3      80.9      17.5       8.7       4.1
    0.9999999778E+22     282.9      44.3      45.8     147.4      17.3     140.7      16.0
    0.9999999778E+22     474.3     499.8     181.2      23.4       9.3     145.5      12.2
    0.6573105469E+05      78.2      82.3     376.2     119.6     139.1      49.3      10.2
    0.5960880469E+05      58.7     308.4     368.1      24.9     127.8     149.9      18.5
    0.9999999778E+22     202.4      73.3     427.4      74.0     134.2      32.6       6.3
    0.9999999778E+22     455.1     389.0     321.9     105.3      90.1      78.1      19.8
    0.6513698438E+05      48.9      55.5     177.0      65.4      70.9     112.8      13.0
    0.9999999778E+22      52.1     449.7     308.0     106.7     136.7      52.7       1.4
    0.9999999778E+22      97.1     436.9     333.4      30.8      24.0      23.8       4.9
    0.9999999778E+22     199.6     420.8      82.0     144.7     128.8      38.7      14.4
    0.9999999778E+22     345.9       0.3      74.5     123.5      64.4     134.1       8.1
    0.9999999778E+22     352.7     192.4      46.8      98.7      18.8      38.5       4.0
    0.9999999778E+22     493.1     348.2     123.5      74.3      56.4      22.8      18.9
    0.9999999778E+22     459.6     192.8     491.0     136.3      78.0     126.4       5.5
    0.9999999778E+22     340.7     230.1      15.1     115.1      55.0      83.2       8.9
    0.9999999778E+22     387.0     179.8     255.9     138.8      98.3     123.8      14.0
    0.9999999778E+22     248.9     257.5     129.7      36.2     116.0      39.7       9.8
    0.9999999778E+22     160.6     160.6     345.1      26.6     119.7     103.5      18.5
    0.9999999778E+22     316.8     297.2     188.5      98.3      80.1     134.1      15.6
    0.9999999778E+22     364.9     134.1     479.4      94.1     111.2     141.1      14.9
    0.9999999778E+22     461.6     491.2       2.5       8.2     124.6      38.3      14.8
    0.9999999778E+22     293.7     146.1     492.3     133.0      37.3     134.6       0.5
    0.9999999778E+22     462.9      68.1     493.7      95.6      42.9      73.1       2.9
