 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample39      37.43410000  -119.27160000    299022.9   4145452.7      1770      1770      1543      82.9      15.2
Sample40      37.49720000  -119.25300000    300836.3   4152415.0      2011      2011      1459      83.0      15.0
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5528975781E+05     229.2     401.3     435.5     500.0      62.2     137.7       0.8       4.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     302.4     364.8     182.6      11.8      74.6      74.7       1.0
    0.9999999778E+22     458.6     385.3     302.5      77.6     129.5       9.5       1.4
    0.9999999778E+22       3.8     442.8      80.5      43.7     100.0      98.8      12.3
    0.9999999778E+22     194.2     192.6     164.0      80.1     136.3      54.5       9.7
    0.9999999778E+22      53.7     497.6     152.7      73.3      82.1     106.6       9.4
    0.9999999778E+22     378.0     322.6     369.6      53.2       5.5      15.4      18.2
    0.9999999778E+22     209.4     452.6     276.7      17.5      55.6     122.0       9.1
    0.9999999778E+22     214.9     392.4     167.6     131.5     144.3     139.1       2.3
    0.9999999778E+22      91.1     327.4     305.5     111.2     127.9      46.7      11.2
    0.9999999778E+22     366.8     251.1     302.7      66.7      23.7      77.7      17.8
    0.9999999778E+22     257.6     173.9     417.5      35.5     131.1      42.1      10.2
    0.9999999778E+22     211.6     200.3     209.1     109.0     106.2     130.9       7.3
    0.9999999778E+22      71.3     497.0     463.3     122.0      31.2     129.4       6.2
    0.9999999778E+22     243.5     110.8     232.0      78.3     113.2      11.6       3.6
    0.7426225000E+05      15.6     136.3     302.4     142.1      61.9       5.7      14.1
    0.6554833594E+05      38.3     231.3     255.1     122.9     140.0      28.4       7.4
    0.9999999778E+22     223.4     374.2     214.8      54.9      13.5      14.7       4.2
    0.9999999778E+22     373.7     264.1     131.3      19.1      36.8      42.9      11.4
    0.9999999778E+22     467.7     398.6     266.8     119.6     122.7       0.2      12.1
    0.9999999778E+22     233.6     114.6     179.0      39.2      18.6     140.5      15.5
    0.9999999778E+22     452.1     414.3     300.8      69.1      50.2       7.4       7.2
    0.9999999778E+22     488.3      89.0     476.9     122.9      42.0      97.2       4.7
    0.9999999778E+22     227.3     301.5     171.8     141.8     121.3      51.8      16.3
    0.9999999778E+22     169.1     287.0      21.2       4.4      54.1     115.0      19.7
    0.9999999778E+22     207.0     190.3       2.9      17.0     138.0      38.7      18.6
    0.5759339062E+05     124.0     307.1     446.7     118.6     102.5      33.6      19.8
    0.9999999778E+22     494.2      94.3     491.1      72.0      64.2      84.2       8.8
    0.9999999778E+22     434.3     295.6     137.8     106.6      83.4     115.7      15.8
    0.9999999778E+22     454.1     171.7     266.5      13.0      65.2      70.0       3.7
            Infinity     247.4     364.7     414.5      43.8      69.0      37.7      19.5
    0.9999999778E+22      87.7     391.2     253.5     141.0     113.1      81.0      12.6
    0.9999999778E+22       9.1     135.7     119.1      67.8      63.5      67.9       6.6
    0.9999999778E+22     472.9     269.7     463.6      63.8      79.3      14.8      19.1
    0.6496430469E+05      77.2     321.0     408.0      76.2      66.3      72.5       1.0
            Infinity     217.3     221.3     426.0      61.4      43.5      30.0       8.3
    0.9999999778E+22      83.8     411.3     191.4      91.5      34.8     129.6       9.7
    0.9999999778E+22     407.3     217.0      65.1      42.1     123.7      55.5      19.7
    0.9999999778E+22     143.8     172.9     121.8       3.8     121.3      18.4      15.3
    0.9999999778E+22     246.3     153.6     262.0      87.9     107.6      36.8       8.2
    0.7715581250E+05      19.7     187.2     484.7      91.3       2.8      29.6      13.3
    0.9999999778E+22     357.5     278.6     219.1      36.2     112.9     106.9       2.6
    0.9999999778E+22     416.7     346.6     370.9     142.4      26.4      78.6      17.0
    0.9999999778E+22     362.7     303.5       0.6      37.6     123.8      67.0      11.2
    0.9999999778E+22     401.8      92.7     472.2      77.5      46.0       6.7      11.5
    0.9999999778E+22     340.5     208.7      75.5     148.7     101.5      36.8       6.8
    0.9999999778E+22      84.9     359.7      88.4      12.5      77.3     114.7       4.8
    0.9999999778E+22     240.9      38.6      13.8     137.0       9.0      69.6      10.5
    0.9999999778E+22      34.0     462.4      17.9      50.7     117.0      77.2      14.5
    0.9999999778E+22     440.2      96.4     451.5      87.5     149.0     142.9      15.0
    0.9999999778E+22      88.8     488.5     353.5     104.1      67.1     123.1      16.2
    0.9999999778E+22     273.7     268.6     363.9     113.6      78.3      78.4       9.3
    0.5548721094E+05     202.7     215.0     396.5      63.9     127.8     100.5       2.0
    0.9999999778E+22     212.1      99.2     120.5      74.9      40.3      94.7       9.5
    0.9999999778E+22     136.2     177.9     135.7     145.2      34.1      77.2      14.5
    0.9999999778E+22     277.6     252.3     223.9      98.1       5.1     109.4      12.8
    0.9999999778E+22      36.5     182.8     120.0      53.4      47.4      72.4       7.6
    0.9999999778E+22     462.2     135.9      53.8     108.1      89.5      71.8       4.2
    0.9999999778E+22     374.7      96.3     485.1     133.8      47.5      54.6      17.9
    0.9999999778E+22     251.6     499.1      57.8      67.4      23.6      33.9       1.0
    0.9999999778E+22      57.0     155.1      22.5     139.1      59.7     148.5      14.1
    0.9999999778E+22     300.8     381.2     144.9      77.8      65.8      75.8       7.6
    0.9999999778E+22      19.7     453.6      37.7     108.7      77.4      91.3       2.1
    0.9999999778E+22     173.6     111.0     302.3     138.0      62.9      89.5       2.9
    0.9999999778E+22     483.7     124.8     326.2     107.1     108.1      13.7       8.1
    0.9999999778E+22     416.6     301.1     170.2      83.6      85.7      20.1       0.5
    0.9999999778E+22     338.2     180.8     392.9     145.4      21.3      43.2      11.7
    0.9999999778E+22     289.4     259.4     151.8      28.5     146.4      59.6       8.0
    0.9999999778E+22     294.9     476.8     260.9      84.8      58.2      54.5       0.9
    0.9999999778E+22      95.5      77.9     246.9     114.3      21.6      89.2       1.4
    0.9999999778E+22     382.5     393.5      70.5     140.6      13.5     120.4       3.1
    0.9999999778E+22     122.9     103.7     260.1     124.5      96.5      93.5       8.0
    0.9999999778E+22     430.7     144.6     335.0      79.4     140.3     136.8       1.4
    0.9999999778E+22     229.2     372.9     243.5     121.0      52.0     132.6      14.8
    0.9999999778E+22     136.0     491.7     405.9     134.5      12.1       9.5      15.0
    0.9999999778E+22     437.7     340.0     393.8      17.2      16.2     109.5       1.2
    0.9999999778E+22       9.0     305.0     247.1     139.5      92.6      83.6       7.7
    0.9999999778E+22     404.4     304.9      11.6     130.8      91.7      38.8      17.4
    0.9999999778E+22     353.0      38.9      94.2      32.1      18.4      55.5       2.6
    0.9999999778E+22      49.7     395.2     384.7      93.8       2.0     136.2      18.6
    0.9999999778E+22     336.0      56.4      72.4      19.0      45.3       7.1      11.7
    0.5808807422E+05      67.4     114.3     469.0      96.1     120.9      82.6       1.2
    0.9999999778E+22     430.5     221.1     382.7     147.2      40.9     146.9       5.0
    0.9999999778E+22     333.2     439.8      91.4      65.4      92.5     137.3      17.8
    0.9999999778E+22     154.1     223.3     171.5      72.4      49.3      67.0       3.4
    0.9999999778E+22     401.8     236.3     407.1     112.5     122.4      15.5      14.5
    0.9999999778E+22     402.5     104.3     482.1      68.4      73.5     142.2      13.3
    0.9999999778E+22      86.7     427.0     367.0     105.8      69.2      88.3       3.8
    0.9999999778E+22     392.1     349.2     479.4      74.7      86.2     115.9       7.7
            Infinity     206.2     417.5     458.2       0.2      51.3      14.0       8.1
    0.9999999778E+22     476.0     408.6     159.2      14.9      18.8      77.4      19.2
    0.9999999778E+22     209.1     297.0     123.3     124.9      32.6     139.9      16.2
    0.9999999778E+22     435.8     285.2      48.9     137.4      91.7      37.7      16.1
    0.9999999778E+22      65.3     360.3     172.5     129.7      42.9      60.9      14.1
            Infinity      41.5     224.0     247.5      10.8      53.1      62.5       6.8
            Infinity     318.5     400.7     447.8      88.5       2.7      13.8      17.4
    0.9999999778E+22      43.4     353.6     347.9      66.7       7.8       6.0      11.0
    0.9999999778E+22     274.5     255.1     147.7      38.8      96.8     136.5      17.6
    0.9999999778E+22     231.5     450.8     379.3      73.3     107.2       9.8      16.6
    0.9999999778E+22     287.9      77.4     482.4      19.5      33.8      17.1       8.5
    0.9999999778E+22     259.2      29.0     184.1       9.4     111.2      76.1      17.4
    0.9999999778E+22     340.5     248.2     453.0     111.9     130.9      97.2       3.3
    0.9999999778E+22     120.6      77.7     472.1     112.9      83.0      16.4      18.2
    0.9999999778E+22      23.2      10.2     440.6     107.6      76.7      87.8       4.3
    0.9999999778E+22      42.6     462.6     423.1      76.8      80.6      17.6       5.3
    0.9999999778E+22      23.2     375.4     192.1     126.0     109.1      36.0       0.2
    0.9999999778E+22     232.4     117.0     321.4     135.9      51.0       3.7      17.4
    0.9999999778E+22     202.5     111.7     480.9      80.1      10.0      53.5      15.9
    0.9999999778E+22     324.5     464.9     246.4     108.0      67.9      77.8       7.9
    0.7847238281E+05     157.0     209.2     470.6      69.0      63.1     144.1      16.2
    0.9999999778E+22      49.7     129.0       0.2      31.0     125.6      18.5      14.6
    0.9999999778E+22     189.7     100.5      68.8     104.8     130.5      85.4       8.9
    0.9999999778E+22     271.4     233.4     151.7      66.8      41.3      62.6      11.2
    0.9999999778E+22     405.0     196.7     495.2       9.0      72.3      63.9      11.0
    0.8183628906E+05     243.8     372.4     489.0     123.4      19.6     106.9       1.9
    0.9999999778E+22     429.6     207.2     315.4      35.7      47.9      10.0       6.1
    0.9999999778E+22     191.4     305.5      91.8     137.0      94.3     103.4       4.6
    0.9999999778E+22     164.7     332.7     203.0      57.1     121.0     130.6       2.7
    0.9999999778E+22     497.8     357.2     123.4       5.6      37.0     135.8      12.2
    0.9999999778E+22     206.9     115.4     320.4      90.2      61.2      89.8       9.3
    0.9999999778E+22     170.4     134.7     258.7      76.0      76.1      19.7      18.5
    0.9999999778E+22     155.7     117.5     210.3      67.7     104.1     108.0      17.7
    0.9999999778E+22     471.2      54.8     421.4     128.5     143.8      34.4      15.7
    0.9999999778E+22     494.4     301.4     137.5      30.8      94.8      72.7      14.4
    0.9999999778E+22     122.3     492.0     181.9      44.4     113.3      61.0      14.9
    0.9999999778E+22      94.3     499.7      16.9     140.5     133.1      68.9      10.9
    0.9999999778E+22     312.6     359.1     116.6     103.7      18.9     145.1      12.8
    0.9999999778E+22     243.3      69.7     410.8     138.7      13.7     146.2       0.6
    0.9999999778E+22     202.1     140.7     496.6      40.8      12.0      40.9      13.9
    0.9999999778E+22     270.0     115.5     106.1      31.8     110.8     106.3       8.6
    0.9999999778E+22     413.3     232.3     171.4     101.4      71.0       9.7       3.4
    0.9999999778E+22     216.0     330.5     210.1      78.9      10.9      34.9      17.5
    0.9999999778E+22     282.3     262.2     251.0     134.9      45.5      32.6       2.9
    0.9999999778E+22     368.2     236.1     273.0       9.3     129.8       8.5       0.2
    0.9999999778E+22      82.6     368.8      10.5     148.5      27.7      13.5       1.5
    0.9999999778E+22       1.2     375.0      12.3      38.2      28.4       8.7       6.4
    0.9999999778E+22      60.2     493.4     269.0     116.5     124.2      87.9       2.7
    0.5564014844E+05      96.3     300.9     361.1       8.0      16.3     118.8      19.2
    0.9999999778E+22     175.1     308.8     156.2      19.5     118.6      48.6       1.4
    0.9999999778E+22     224.9     456.5     307.0      84.4       3.1      12.5      10.5
    0.9999999778E+22     136.7     247.9       4.6     119.2      11.3     118.7       2.7
    0.9999999778E+22     121.1     347.1     138.7     138.3      83.2     104.5       9.2
    0.9999999778E+22     165.4     430.1      87.8      76.2      14.5      96.7       6.2
    0.9999999778E+22     388.5     231.8     128.5     133.3      71.3      60.3      11.8
    0.9999999778E+22     317.4      76.9     372.0      13.7      15.7     116.0       2.1
    0.6757632812E+05     136.0     238.0     342.6     145.2      28.1      48.1      14.1
    0.9999999778E+22      27.9      16.9     100.4     101.7      78.1      30.1       1.5
    0.9999999778E+22     226.0      70.7     443.3     112.2      30.0     126.4      19.6
    0.6840385156E+05      69.6     188.8     259.6      44.8     109.2      15.8       5.8
    0.5549696875E+05       7.8     238.4     368.6     117.9      21.2     114.8       6.8
    0.9999999778E+22     354.3     267.5     317.3     123.5      68.2       6.8       7.9
    0.9999999778E+22     358.8     226.6     405.9      27.7     148.8      63.7       2.1
    0.9999999778E+22     222.5     206.9     382.8     138.6      17.6     107.7       9.3
    0.9999999778E+22     324.1     325.6     270.3       7.2      21.1     128.5      17.5
    0.5894780469E+05     299.1     317.3     337.2     123.1     105.6      48.4      19.5
    0.7581673438E+05      57.9     165.3     476.9     143.4     110.4     111.6       5.0
    0.9999999778E+22     181.7     134.1     354.0      76.3      66.7      77.0       0.5
    0.6186483203E+05     164.4     289.7     290.5     140.8     147.6      31.7       8.2
    0.7057653906E+05      25.2     223.8     304.3     115.0      57.7      47.0       9.5
    0.9999999778E+22     220.0     321.5     292.6      37.6     138.7      12.8       5.6
    0.7213927344E+05     135.6     160.8     218.0     149.3      49.7       1.5       8.4
            Infinity      86.4     150.3     410.1      88.1      49.5      53.8      12.6
    0.9999999778E+22     164.7      33.0     419.3      69.6      42.7     148.3      15.7
    0.9999999778E+22     307.5     244.7     445.7     110.0      14.0      74.3       4.0
    0.9999999778E+22     175.9     474.3      29.1      25.7      47.1      24.3       8.7
    0.9999999778E+22     493.9     470.1     110.5      85.7     115.8      18.9      10.2
    0.9999999778E+22     144.2     266.3     119.4      99.8      46.5     119.6       3.0
    0.9999999778E+22     382.6      97.8     360.5      16.7      39.3      84.1      17.1
    0.9999999778E+22     190.8     330.1     153.3      78.8      82.0      21.2       0.1
    0.9999999778E+22     436.4     320.0       8.0     105.5      61.3       0.9      14.5
    0.9999999778E+22     104.1     330.5      33.7     115.3     131.5      19.7      10.1
    0.9999999778E+22     311.7     273.3     260.1      14.0      24.5     146.4       2.7
    0.9999999778E+22     382.6     299.4     266.3     131.7      46.3      14.7       2.5
    0.9999999778E+22     318.3      85.6     350.5      11.3      48.9     100.4      11.2
    0.9999999778E+22      14.3     372.5     320.3      49.9      69.5      95.3      10.5
    0.9999999778E+22     154.9     461.7     413.4     143.3     113.8      20.2       3.2
    0.5566668359E+05      24.5      99.4     319.1     120.8     123.5     135.6      10.0
    0.9999999778E+22      91.9     245.8     185.4      43.6      25.9       3.9       8.1
    0.6041431250E+05     173.8     234.8     289.6      27.5      75.9      94.3       1.2
    0.6559314062E+05      69.8     393.7     456.7     127.2      27.4      41.3       9.0
    0.9999999778E+22     465.5     138.8      16.6      18.0     144.2     108.5       3.6
    0.9999999778E+22     150.6     293.2      38.0      75.2     118.8      80.2      14.3
    0.9999999778E+22      56.2     448.4     128.6      92.8      40.0      33.4       4.6
    0.9999999778E+22      68.4     498.6     448.1      19.7       1.0      13.0      17.6
    0.9999999778E+22     173.2     414.6     300.7      84.7     138.0      47.6       1.4
    0.9999999778E+22      63.7     114.0      80.1      35.7      65.2      48.9       9.0
    0.9999999778E+22     122.4     279.9      11.7     146.8     145.7     142.7       1.5
    0.9999999778E+22     146.4     235.6      99.1      68.0     114.0      44.5      19.4
    0.9999999778E+22     140.6     128.1     148.9      66.8      63.9      77.5       6.4
    0.9999999778E+22     322.1     155.2     166.0      66.6     144.6       4.3      16.3
    0.9999999778E+22     241.6      63.1     240.4     136.4     105.7      50.8      17.1
    0.9999999778E+22     336.1     328.2       6.9     129.7      13.9      32.7       3.4
    0.9999999778E+22     233.5     359.8      25.0     113.8     138.5      90.0       7.0
    0.9999999778E+22      53.1      45.5     375.0      68.0     103.1     117.3       8.4
    0.5614050000E+05      86.9     241.1     310.9     143.2      58.5     130.3       0.4
    0.5568575000E+05      87.1     234.4     339.5     135.2      90.1     143.8      16.6
    0.8009798438E+05     253.4     471.6     475.8     132.2     104.1     126.5      19.5
    0.9999999778E+22     113.0      35.1     179.8     101.3     124.3      90.6      11.8
    0.9999999778E+22     269.8     273.6     261.9     128.5     109.2      41.9       5.5
    0.6290893750E+05     218.4     301.1     396.5     124.3      65.4       4.8      10.7
    0.9999999778E+22     316.0     127.8     166.7     140.1      22.0      91.7      16.0
    0.9999999778E+22     373.8     252.4     390.1      61.0     125.7      99.3       2.9
    0.6725819531E+05      16.5     348.4     356.7      92.2       6.3      86.9       8.3
            Infinity     104.3     211.3     262.5       0.0      14.4      55.3      16.9
    0.5573824609E+05     112.9     141.3     384.8     121.8     124.1     115.4      12.2
    0.9999999778E+22     323.9     142.3     289.8     131.0     101.5     128.6      18.0
    0.9999999778E+22     189.3     189.0     389.2     134.8      91.8     130.3       0.5
    0.6181639062E+05      73.3     274.1     325.6     110.8     106.4      29.6      16.8
    0.6043887891E+05      67.5     223.2     364.0      81.7     116.9      56.6       3.4
    0.9999999778E+22     245.8     413.8     214.8      83.6      76.2      79.3      19.2
    0.9999999778E+22      19.2      17.2     249.6      26.1      91.3      83.7       1.5
    0.9999999778E+22     289.5     482.3     306.4     146.6     144.4      70.3       7.8
    0.6049192969E+05      60.4     286.5     493.6     112.6      86.1      21.9      11.5
    0.5881193750E+05      85.8     255.6     496.3      87.2     100.3      30.0       4.1
    0.6442200000E+05      38.9     158.0     402.9     148.8     123.1      16.8       4.8
    0.9999999778E+22     241.8     392.1     342.7     137.1       9.3      45.9       9.6
    0.9999999778E+22      32.8     324.3     317.3     117.1       4.4      59.4      16.9
    0.9999999778E+22     167.1     218.8     178.6      53.8     108.9      28.9       2.8
    0.9999999778E+22     105.9     350.2     293.2      78.9      72.0      50.3       8.9
    0.9999999778E+22     300.7     134.8      80.1     131.5      12.7       1.6      10.7
    0.6663831250E+05      27.4     132.4     413.5     140.6     106.7      18.2      12.0
    0.9999999778E+22     169.7     135.8     430.4     124.1     108.5     103.7       3.2
    0.7196570312E+05      91.8     314.7     467.7      92.8      22.6      22.3      15.4
    0.5600389844E+05     101.5     320.5     382.3      86.3      84.2     124.2      14.5
    0.9999999778E+22     465.4     432.0     427.6      98.8      86.3      97.7      18.0
    0.9999999778E+22     200.2     491.2     401.0     147.3      43.7      98.6       0.1
    0.9999999778E+22     100.2      32.8     374.1      58.0      27.1     125.5       0.5
    0.9999999778E+22     465.3     102.4      11.0       8.0      39.1     120.0      15.9
    0.9999999778E+22      67.0     142.6     106.1      28.2     123.5     147.5      10.6
    0.9999999778E+22     429.3      11.8     264.0      53.6      95.5      29.2       5.8
    0.9999999778E+22     359.7     261.5     130.8      90.6      15.5      35.9       7.6
    0.9999999778E+22     117.7     213.0      17.6      61.3      86.1     145.2      14.9
