 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample41      37.04500000  -119.47950000    279494.9   4102739.8       548       548      1331      87.0      15.5
Sample25      37.02240000  -119.37090000    289091.8   4099985.6       976       976      1023      86.7      15.2
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample9       37.05470000  -119.48790000    278775.9   4103835.7       608       608      1328      87.1      15.3
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4769652734E+05     312.0     395.6     420.5     500.0     104.3     129.9      23.3       2.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
            Infinity     247.0     431.3     482.1      40.4      48.9       6.6       5.9
    0.9999999778E+22     210.0     196.0     154.2      28.5      78.3     105.9       2.6
    0.9999999778E+22     439.8     322.0     113.3      61.4     148.4      22.7      19.4
    0.5345525000E+05     130.6     397.6     453.4      63.3      60.6      26.7      12.0
    0.9999999778E+22     232.5     261.8     144.6     143.1     112.6      23.1      11.8
    0.9999999778E+22     334.2      40.2     287.0      78.3      27.0      19.4      16.6
    0.9999999778E+22     125.4      96.0     276.3      57.7     103.4     143.7      16.8
    0.9999999778E+22     315.3       6.5     406.0      15.0      91.7     126.9      10.8
    0.9999999778E+22      55.9     405.3     340.1      98.6     144.6     107.9      18.0
    0.9999999778E+22     106.0      89.5     179.2      40.7      77.1      86.4       9.9
    0.9999999778E+22     477.3     134.4     284.5      53.8      20.8      24.0       3.2
    0.9999999778E+22      92.1      30.3     440.9      43.8      55.1     138.2      16.2
    0.9999999778E+22     279.9     284.9      28.2      80.8     146.2      34.6       7.9
    0.9999999778E+22     283.4     499.1      13.5      33.8     129.1      39.4      17.8
    0.9999999778E+22      26.8     196.3     111.7      75.8     134.6     143.8       6.8
    0.9999999778E+22     322.8     445.3     146.2       7.7      41.5      72.6      11.5
    0.9999999778E+22     417.9     224.6     130.0      59.6     108.2     130.6      19.7
    0.9999999778E+22     159.1      47.9     189.6      69.0      27.5      40.8       9.0
    0.9999999778E+22     185.9     305.1      10.2      73.9      40.4     130.3       2.7
    0.9999999778E+22     392.1     199.0     359.7      79.8      70.8      82.2       3.3
    0.9999999778E+22     424.3      92.8     276.2      98.5      20.3       2.7       2.1
    0.9999999778E+22     407.4     377.6     387.9      73.3      97.9     130.8      11.2
    0.5355641016E+05      61.5     177.4     186.0      16.9      84.1      92.8       2.3
            Infinity     209.2     372.3     444.2      64.2      44.7       3.1       3.6
