 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample28      37.04460000  -119.19580000    304727.3   4102074.8      1920      1920      1910      83.9      15.0
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5616795312E+05      53.5     403.2     432.8     500.0     131.9     144.0       7.6       2.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     391.4      93.5     123.9      24.8      17.8     136.1       3.5
    0.9999999778E+22     477.2     348.9     142.8      18.3      32.3      77.4       9.9
    0.1207828281E+06      15.3     332.4     492.9     137.9     137.3     149.4      19.3
    0.5915858203E+05     168.7     312.6     409.3      55.8     125.8       3.8      15.8
    0.9999999778E+22     369.7     196.5      15.3      56.3     124.8       1.6       8.8
    0.9999999778E+22     298.6     357.9      75.4       0.4     145.7     129.6      10.0
    0.9999999778E+22     244.7     247.4      52.0     145.3     136.7      65.2       7.6
    0.9999999778E+22     138.6     221.6     157.1     135.3      83.5      33.0       8.1
    0.9999999778E+22     177.5     118.7     363.1      78.3      28.7       3.7      19.0
    0.9999999778E+22     363.3     210.8     310.8     108.9       3.2      58.8       1.2
    0.9999999778E+22     376.8     275.5     269.8      95.7      82.9      97.8       8.7
    0.5815091797E+05      34.1     299.3     482.3      72.6     118.2       9.6       4.4
    0.9999999778E+22     100.8       2.9     211.8      15.8      88.3     122.6      17.4
    0.7945921094E+05     347.3     379.3     470.4      32.6      47.0     144.1      17.0
    0.9999999778E+22     470.9     226.1     266.6     126.5     125.4      62.2      15.9
    0.9999999778E+22     327.6     125.2     342.1      53.3      32.1     147.5       5.0
    0.9999999778E+22     324.2     454.4     325.4      74.5      39.9       1.7      10.2
    0.5722285938E+05      54.2     330.4     437.3      11.9     141.0      79.3      18.2
    0.9999999778E+22     357.3      62.4     422.2     134.7      60.2     112.7      14.3
    0.9999999778E+22     192.1     490.5     117.0      20.9      23.2      85.0      14.1
    0.9999999778E+22     369.8     206.3     298.1      72.1      23.5     149.4      12.3
    0.9999999778E+22     409.2     206.1     153.5      89.8     125.4       1.1       0.9
    0.9999999778E+22      25.3     390.9      65.2      67.8      65.1      83.9      10.3
    0.5852482812E+05      47.7      58.7     325.4      71.2      85.6      98.0       3.4
    0.9999999778E+22     376.2     327.3     440.8      67.2      89.8      30.3      10.2
    0.9999999778E+22     412.4     433.8      17.7     133.4     112.0     117.0       5.3
    0.9999999778E+22     345.4     142.5     191.1      45.9      95.1       9.3      18.2
    0.9191484375E+05     205.0     290.2     485.8      60.4     136.8     123.5       5.8
    0.9999999778E+22     407.0     197.0     485.3      49.7      19.3      87.0      18.6
    0.9999999778E+22     332.8     263.4     167.9      21.8     108.3      99.3      14.9
    0.9999999778E+22      74.0      34.2     271.2       3.6     146.9      81.6      13.9
    0.9999999778E+22     102.6     413.9      91.5     113.6      39.0      29.6       8.4
    0.9999999778E+22     263.0     150.9     259.6     140.0     101.3      26.1      13.6
    0.9999999778E+22      72.6     186.8      72.5      89.8     106.8     108.0      13.3
    0.9999999778E+22     152.9     419.1     306.5      64.3      35.1     109.0      13.1
    0.1029913281E+06     160.3     387.0     490.8      57.9      78.2     115.9      17.6
    0.9999999778E+22     359.3     398.2     325.9     147.5      30.9     117.6       1.3
    0.9999999778E+22     407.5     307.8     239.0      62.5     123.5      19.7      14.4
