 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample14      37.04330000  -119.14950000    308842.0   4101836.5      1678      1678      2086      81.4      15.0
Sample11      37.01290000  -119.24540000    300232.7   4098660.6      1102      1102      1528      83.8      15.0
Sample47      37.01830000  -119.03310000    319135.6   4098834.9      2316      2316      1899      80.3      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3792703906E+05     370.8     393.5     417.8     500.0      16.2     149.9      49.0      15.2
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     345.3     130.5     452.6     133.4      55.1     100.5      11.2
    0.9999999778E+22     391.8     378.1     114.7      70.4      84.5      81.7      15.8
    0.3852594531E+05      53.1     132.9     266.5      91.0      46.6     146.4      12.8
    0.9999999778E+22     482.6      84.9     210.7      28.1      54.8      66.8      10.5
    0.9999999778E+22     361.9     223.4     218.2      63.7      74.2     136.4       8.8
    0.9999999778E+22     308.3     169.9     383.4      57.9      87.8      44.9      11.7
    0.9999999778E+22     376.2     138.5     394.8      57.3     119.1     111.0      12.4
    0.9999999778E+22     274.9      62.2     184.6      15.9      35.4      54.0       5.3
    0.9999999778E+22     383.3     497.9     224.3     112.6      49.5     119.2       8.0
    0.9999999778E+22      85.6     465.0     443.2     121.6      40.1       0.1      14.5
    0.4012500781E+05     235.9     396.6     494.7     114.2     127.7      40.7      17.2
    0.9999999778E+22     467.0      30.8     460.6      89.8      67.4      11.4      19.5
    0.9999999778E+22      58.4     320.9      13.6      48.5     146.9      83.2      16.1
    0.9999999778E+22      36.1     383.0     330.8      17.0      75.9      89.0      19.8
    0.4033028125E+05     212.7     259.2     261.5     129.0     101.7     104.5      19.0
    0.9999999778E+22     337.6     146.7      66.6      17.8     107.7      35.8       8.9
    0.4376685156E+05       8.3     447.1     472.4      38.7       4.3     110.4       1.2
    0.9999999778E+22     211.9     146.5     409.7     126.3      72.4      30.2      12.2
    0.3857338281E+05      57.5     146.5     405.1      26.4     146.7     108.9      16.3
    0.9999999778E+22     171.9     341.3      77.8      64.9      27.2       4.2      17.2
    0.9999999778E+22     306.7     145.5     132.8      83.3      39.2     148.0       4.6
    0.4949258984E+05     141.8     230.2     250.8      58.7      45.1      27.2       5.0
    0.9999999778E+22     270.3     398.6      22.5      50.2       2.1     119.3       4.9
    0.9999999778E+22      55.8      52.5     130.0      15.7     142.2      26.7       9.2
    0.9999999778E+22     316.4     479.2      13.7     111.7      41.4      83.5       0.7
    0.9999999778E+22     496.3     319.1     296.4     141.3      60.6      85.0      15.6
    0.9999999778E+22     139.6       7.4     466.8     129.9      93.1      83.3       4.8
    0.9999999778E+22     367.4     489.0     485.8      82.3      10.5     124.7      17.4
    0.9999999778E+22       7.6     354.6     261.5      40.3      52.3      95.6       6.8
    0.9999999778E+22      28.3     467.4     305.3       3.2      24.9      47.4      13.5
    0.9999999778E+22      88.3     245.0      47.6      41.8     122.6      40.7      11.3
    0.9999999778E+22      17.7     214.2     118.1     139.9      70.3     140.7       7.3
    0.9999999778E+22     305.0     195.0     201.6      32.9      93.2      63.3      19.4
    0.9999999778E+22     235.9     138.5     133.8      34.1      11.5     102.8       0.0
    0.9999999778E+22      98.8     331.2     151.6      87.8      19.0       0.5      16.0
    0.9999999778E+22     254.7      16.9      92.4      69.0      66.2      69.8      15.9
    0.5362365234E+05      43.8      50.5     148.8     131.5      54.1      11.1      16.6
    0.9999999778E+22     429.0     462.6      10.5     145.3      98.0      55.7      11.8
    0.9999999778E+22     181.7      46.1     238.2      46.2      35.6      56.7      11.5
    0.9999999778E+22     493.5     385.4      68.1      57.1     125.5      10.0      14.7
    0.4008377344E+05      14.8     164.5     194.9     114.6      74.5     142.6      10.1
    0.9999999778E+22     311.8     448.2     318.1     107.0      89.0      78.6      17.8
    0.9999999778E+22     212.6     462.6       4.9      21.0      34.8      99.9       2.6
    0.9999999778E+22      98.4      59.2     363.1      61.8      20.5      61.0       6.5
    0.9999999778E+22     302.2     173.6     186.6     110.5      26.7      29.0       2.9
    0.9999999778E+22     166.1     248.6      39.4      34.2      66.9      87.2       4.5
    0.9999999778E+22     430.0     405.2      89.6       6.1      39.0     127.4      11.5
    0.9999999778E+22     317.2     365.0      28.6      34.9     107.9      54.0       5.9
    0.4797858984E+05      75.6      98.4     309.6      24.7      68.0      63.7       7.9
