 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5125282422E+05     126.1     402.8     422.6     500.0      27.9     115.6      10.0       3.8
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     336.4     461.9     164.7     106.0      58.2      82.5       2.0
    0.9999999778E+22     184.0     317.1     289.7     122.7     119.3      93.0       1.9
    0.9999999778E+22     215.6     104.0      79.3      86.8      10.7      73.7      12.9
    0.9999999778E+22     467.3     296.5     463.0      37.3      61.7     144.5       8.8
    0.9999999778E+22      89.7     278.5      97.4     104.1      66.2      39.6      18.4
    0.9999999778E+22     482.4     444.0     470.1      77.5      31.2     141.8       7.2
    0.9999999778E+22     476.5     432.0      98.0      84.7       4.0      26.9      18.9
    0.9999999778E+22     319.0     493.3     172.0     112.9      75.7     126.7      19.6
    0.9999999778E+22     241.3      32.5     392.5      63.5      99.3      23.8      17.0
    0.9999999778E+22     213.0     317.0     230.0     126.4     113.4     135.1      17.3
    0.9999999778E+22      90.6     489.7     317.3      65.0      75.7      45.1       3.6
    0.9999999778E+22      44.0      40.7     134.8     139.3     134.8      97.9      15.1
    0.9999999778E+22     447.6      18.0     421.2       2.3      94.6      69.3       2.4
    0.9999999778E+22      66.0      19.6     324.9       4.1     144.9     108.5      10.4
    0.9999999778E+22     179.5     447.7     191.3     140.8      14.7     101.2      14.2
    0.5162297656E+05      44.0     345.6     498.2      91.5     121.3      20.5       9.3
    0.9999999778E+22     217.4     161.5     150.5      79.5      17.9      30.2       8.0
    0.9999999778E+22     333.9     368.2     161.3      59.5       0.8      72.6       4.8
    0.9999999778E+22     440.7     479.9     362.0      62.5      91.4      27.9       9.6
    0.9999999778E+22     136.4      66.5     230.6      69.6      49.5      68.3       7.3
    0.9999999778E+22     458.3     320.4     308.1     144.4     108.8     120.0      14.7
    0.5265042969E+05      16.9      82.9     392.4      12.7     114.6     119.4      18.8
    0.9999999778E+22     143.1      98.4     230.3     123.8      81.3      37.2      12.5
    0.9999999778E+22     180.7     270.6     122.1     133.8      74.4     127.7       9.4
    0.9999999778E+22     298.8     250.6     397.3      12.9       5.4      92.1      11.7
    0.9999999778E+22     486.3     263.5     227.4     107.9      43.1     117.3       1.1
    0.5718296484E+05     208.9     238.0     396.3      37.2      96.7      35.1       7.6
    0.9999999778E+22     318.5     305.0     495.7     109.8     143.1      85.6      16.6
    0.9999999778E+22     302.5       1.0     189.6     112.9      40.9      42.0       6.3
    0.9999999778E+22     439.3       1.5      14.1      51.9      48.0      22.5       0.8
    0.9999999778E+22     276.1     113.3     222.1     135.7      95.7      94.9      12.6
    0.9999999778E+22     293.6     336.7      30.5     133.6     127.4      14.0      16.9
    0.5247166016E+05     114.2     257.1     385.6      23.6      91.7      83.3      12.5
    0.5288041016E+05     103.6     152.5     340.5     110.2      83.3      91.8      10.3
    0.9999999778E+22     419.0      79.8     309.2       8.6      84.1      48.0      14.9
    0.9999999778E+22     380.5     449.2     443.5     108.8       8.5       9.0       9.0
    0.9999999778E+22     195.4     412.0      63.0       9.9     146.3      95.0       2.9
    0.9999999778E+22     224.0     207.9     416.5      72.3     148.5      63.0       9.9
    0.9999999778E+22     333.0      62.2      79.4     131.6     110.2     111.4      17.2
    0.9999999778E+22     308.4       0.6     221.5      68.7      40.4     107.9       3.3
    0.9999999778E+22     269.5      68.8       6.8      24.5      20.9     119.1      14.5
    0.9999999778E+22     157.5     130.5     120.0     133.4      73.2      53.1      19.2
    0.9999999778E+22     212.6     437.9      97.9     141.6      47.8      45.5       6.1
    0.9999999778E+22     314.7      84.0     281.5      77.6     138.3      65.2       4.6
    0.9999999778E+22     342.3     166.1     170.2      99.0      55.9     135.5      11.2
    0.9999999778E+22     464.0     239.5     260.4      84.7      81.6      44.9      14.4
    0.9999999778E+22     402.9     427.9     287.2      15.8      86.2      44.8       2.0
    0.9999999778E+22      39.6       4.3     115.4      87.7      58.0     123.3      17.6
    0.9999999778E+22     382.5      55.0     302.3      31.7      47.2      30.7      15.0
    0.9999999778E+22     358.5     470.5      83.5     102.3      74.8      58.0       6.4
    0.9999999778E+22     150.6     448.6     422.4      35.9      44.2      10.8       0.9
    0.9999999778E+22     390.5     370.3     319.3      23.6      48.7      93.5       9.5
    0.5248923047E+05       8.8      67.9     455.0      98.3     144.4      58.8       4.9
    0.9999999778E+22     490.3      67.1     122.4      36.4      60.3     131.6      11.3
    0.9999999778E+22     280.6     251.2      30.2     119.0      83.7      69.1      18.4
    0.9999999778E+22     342.1     303.9      55.6      55.4     103.0     145.3       2.2
