 Total number of samples:          10
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample34      37.35100000  -119.29280000    296922.8   4136277.0      1090      1090      1744      81.4      14.9
Sample26      37.37100000  -119.29270000    296985.6   4138496.1      1039      1039      1690      81.2      15.0
Sample36      37.41370000  -119.29690000    296729.0   4143243.3      1793      1793      1561      84.3      15.1
Sample44      37.44630000  -119.34630000    292446.7   4146968.5      1950      1950      1475      84.7      15.3
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.7001522656E+05     174.7     406.3     423.7     500.0     111.4     132.4       7.4       1.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     245.6     235.5     368.4      36.6      19.5     117.0       5.5
    0.9020869531E+05      26.6     203.5     238.2     124.6      57.2       7.5      16.4
    0.9999999778E+22     200.6     163.8     274.1      34.0      26.1      53.8      15.9
    0.9999999778E+22       8.4     347.4     252.7      78.2     120.9     129.9       1.7
    0.7093565625E+05     259.2     264.8     381.1     140.5      42.4     113.4      16.1
    0.8484715625E+05     124.6     386.4     456.3     102.6      20.1       7.7      12.2
    0.9999999778E+22     211.3     313.5     111.6      84.1     114.4      61.6       7.0
    0.9999999778E+22     218.1     468.4      83.0      89.0     114.1      22.1      11.1
    0.9999999778E+22      94.3     490.6     218.3     132.1       1.1      54.2       7.4
    0.9999999778E+22     136.5     212.7     109.5     143.8      63.5      89.4      16.8
    0.9999999778E+22     282.3      68.8     439.1     110.6      63.3      94.3       8.5
    0.9999999778E+22     467.1     179.1     483.7      92.6     132.7      97.3      12.7
    0.9999999778E+22     261.2     200.5     284.0       1.4      49.6      88.3       5.8
    0.9999999778E+22     174.8     158.3     421.9      85.4     137.0     110.1      13.7
    0.9999999778E+22     102.5     297.3      68.4     124.3       7.9      57.1      16.4
    0.1082614688E+06      26.1     258.7     477.8      35.7     111.9     147.9       3.6
    0.9999999778E+22     325.4     424.0     295.1      98.6       6.7      78.8      14.1
    0.9999999778E+22     255.9     242.7     136.7      32.7       0.2     105.6      14.7
            Infinity      42.6     248.6     459.2      55.5      16.7      70.2      13.9
    0.9999999778E+22     306.0     490.5     219.0      35.1     120.1       7.1      17.3
    0.9999999778E+22     178.2      21.3     152.9     122.8      15.5       2.6       2.6
    0.9999999778E+22     157.6      70.0     416.6     124.3      35.5     115.0      16.7
    0.9999999778E+22     241.8     334.4      66.2      66.1      60.0      57.2      16.4
    0.9999999778E+22     358.4     454.2     186.5      58.5     141.5     131.0      16.6
    0.9999999778E+22     372.5     286.3     263.1     109.4      57.8     130.6      13.7
    0.9999999778E+22     124.4     253.3     191.4      77.7       5.2      90.5      12.9
    0.8401950781E+05      48.7     268.7     275.7      59.1      84.0      48.5       4.4
    0.9999999778E+22      18.7     282.4     200.9       8.3      71.2      50.8      12.5
    0.9999999778E+22     328.7     217.8      67.6     128.1      76.6     112.3      16.0
    0.9999999778E+22      52.6     114.8      91.8      20.9      34.4      42.6       1.8
    0.9999999778E+22      54.5     404.6     109.2      54.4     122.4      62.5      13.2
    0.9999999778E+22     216.9      17.2     381.4      42.9      65.7     104.5      17.8
    0.7372303906E+05      30.9     388.7     465.9      42.0      96.1      75.0       2.2
    0.9999999778E+22     138.7      49.4     214.2     138.9     119.2      64.0      14.7
    0.9999999778E+22     360.6      67.5     366.4      18.9      43.3      68.9      15.0
    0.9999999778E+22      63.5     352.4      82.5      61.9      84.2     104.3       7.5
    0.9999999778E+22     397.4     317.7     372.4      35.0      97.5      55.4       3.6
    0.9999999778E+22     217.6     378.6     202.2      76.2      22.3      53.5      19.7
    0.9999999778E+22     260.1     379.5     305.6     103.4     106.7      74.5       0.4
    0.9999999778E+22     236.5      33.7     454.4      96.4       9.2      21.9      16.6
    0.9999999778E+22      63.8     281.2      50.5      30.8     111.4     105.8      15.4
    0.9999999778E+22     474.9      35.9     471.5      41.1     100.1      18.5       0.6
    0.9999999778E+22     211.7     118.2      52.5     122.4      58.8     126.4       9.7
    0.9999999778E+22     321.7       9.5     292.1      65.1      19.9      41.5      11.8
    0.9999999778E+22     446.5      19.7     231.9     105.0      44.6      35.4       3.2
    0.7216722656E+05      44.8     140.4     237.9     108.8      18.0     131.7      14.1
    0.9999999778E+22     183.5     384.4     102.4      10.2      71.6      65.5       0.8
    0.9999999778E+22     467.3     316.2      26.7      25.3      16.0      54.7       8.6
    0.9999999778E+22     132.5     432.4      22.2      97.9      63.7      44.0       4.5
    0.9999999778E+22     475.9      32.6     284.9      45.1      53.2     124.1       7.1
    0.9999999778E+22     379.6     334.0     388.3      68.6      31.5      64.6       9.5
    0.9999999778E+22     456.3     109.7       3.0     130.2      61.7      81.7       4.8
    0.9999999778E+22     307.4      85.1     237.9      51.8      25.7      88.7      15.8
    0.9999999778E+22     463.0     324.3     185.2      54.1      31.5     139.2      18.2
    0.9999999778E+22     279.5     387.1     296.5      84.7      32.6       5.0       1.3
    0.9618600000E+05     110.5     254.3     464.2      73.7      29.2     142.8      18.4
    0.9999999778E+22     346.9     226.7     431.8      74.8      96.7     128.1      11.8
    0.9999999778E+22     427.6     321.1     195.4     119.4       8.0     114.3       3.9
    0.9999999778E+22     225.3     371.7     195.3     148.4     138.3      82.0       8.4
    0.9220710938E+05      12.5      27.1     474.2     107.7      13.7      56.5       2.3
    0.7196135156E+05     262.6     311.0     377.4      47.4     142.3      59.8       2.6
    0.9999999778E+22     297.8     304.2      83.3     113.9      27.6      77.8      11.4
    0.9999999778E+22     426.0      23.2      72.0      28.9     146.9      17.7      10.1
    0.9999999778E+22     208.5     276.0     187.7     100.4      49.5      24.7       7.6
    0.9999999778E+22     252.2     232.6     184.2       7.4      36.8      63.6       1.9
    0.9999999778E+22     228.9     435.9     113.0      30.2     107.3       7.6       5.2
    0.9999999778E+22     382.1     136.2     242.9      75.8     149.2       6.8       7.1
    0.9999999778E+22     362.1     391.8     169.8      88.1     136.7     112.2       9.5
    0.9999999778E+22     188.3     165.2     110.0      73.7      79.0     135.6       7.9
    0.9999999778E+22     446.4      58.1     250.7      63.0      37.0      12.6       6.9
            Infinity      25.9      49.2     418.4      38.2      50.2      24.5      16.6
    0.9999999778E+22     320.3     313.7      96.6     143.0     125.1      23.7       0.3
    0.9999999778E+22     469.2     232.1     327.5      52.9      46.2      89.2       0.8
    0.9999999778E+22     312.6      71.0     427.2      99.6     142.8      63.2      10.2
    0.9999999778E+22     468.9     161.2     337.6      53.1      62.7      24.4      15.4
    0.9999999778E+22     474.7      90.8     286.9     145.9      42.6     123.1       0.5
    0.9999999778E+22      11.2     312.8     226.6     135.2     114.3      81.0       4.6
    0.9999999778E+22      82.1      40.2     455.4      46.3     114.3     100.7      14.0
    0.9999999778E+22     340.1     337.2     242.0      57.8     147.3      38.4      13.4
    0.7484271875E+05     171.9     186.2     464.6     121.8      79.9      84.0       0.7
    0.9999999778E+22     351.0      57.5      61.9      21.6      77.1      19.1       6.3
    0.9999999778E+22     190.1      91.3     483.0      40.8     112.0       3.8      11.0
    0.7031798438E+05     170.2     209.5     343.2      11.2     118.5     126.2       2.8
    0.9999999778E+22     324.6       6.8     468.1      87.3     105.9     135.0      17.6
            Infinity      55.8     163.1     292.7      57.3      53.6      39.4      17.8
    0.9999999778E+22     166.8     442.8     378.2      63.2      37.9       1.7      12.1
    0.9999999778E+22     442.1     321.2     123.9      49.9      36.4     109.7      15.2
    0.9999999778E+22     333.3      14.5     466.7      63.1      35.1      67.7       6.4
    0.9999999778E+22     378.8     430.4     125.8      27.0      36.2      84.0      19.2
    0.9999999778E+22     465.0     477.4     333.1     129.4      57.4      45.7       0.2
    0.9999999778E+22      88.2     477.5     156.2      18.5     121.9      30.6       4.6
    0.9999999778E+22     389.8     242.5     130.9     142.2       5.9      94.0      18.6
    0.9999999778E+22      42.3      12.9     211.5      64.1      46.2      33.9       9.4
    0.9999999778E+22     251.3     225.9     206.8      11.4       8.4      44.0      15.2
    0.9999999778E+22     414.8      21.8      52.1      69.5      37.0      75.0      14.4
    0.9999999778E+22     494.8     153.2     244.6      22.4      63.8     134.5       6.6
    0.9999999778E+22     276.3      12.6     354.5     110.8      16.2      81.8      17.1
    0.9999999778E+22     449.2     186.4      50.8      83.0      39.2     135.5      14.3
    0.9999999778E+22     354.3     406.2     202.7     123.5     134.7     110.9      12.6
    0.8559517188E+05      29.7     182.4     309.0      73.0      90.3      33.4       6.9
    0.9999999778E+22      37.4     214.7     104.9       2.9     107.0     113.0       0.6
    0.8119694531E+05      88.4     265.1     304.7     144.4      21.9      73.3      18.9
    0.9999999778E+22     396.2     318.2     469.1      48.1     143.8     132.5       3.4
    0.9999999778E+22     264.8     117.7     183.5     109.8       8.1     135.7      16.1
    0.7683272656E+05      11.9     156.8     438.7      11.2      52.4      80.4       1.5
    0.9999999778E+22     272.4      53.4     327.1     136.2     124.4     142.3       1.8
    0.9999999778E+22     101.6     418.9     189.7      70.8      78.9      18.3       6.5
            Infinity     167.9     277.0     349.6      76.1       1.4      34.0      14.3
    0.7352804688E+05     131.7     183.0     416.2      88.6     138.6      47.0       5.6
    0.9999999778E+22      97.8     110.5      19.2     125.2      55.5      19.7      12.8
    0.8892002344E+05      48.2     264.3     402.7      84.8      14.4      64.7       4.1
    0.9999999778E+22     182.6     137.6     485.6      92.9      68.8     148.3      17.6
    0.1062736797E+06      40.6      86.5     476.5      82.7      53.0     144.3       6.4
    0.9999999778E+22     423.6     104.7     383.4     100.7      66.1     110.2      16.9
