 Total number of samples:           6
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
Sample32      37.04150000  -119.01550000    320756.0   4101375.7      2499      2499      1784      81.1      15.1
Sample42      37.20320000  -119.04000000    318962.6   4119363.6      2832      2832      2264      79.6      14.8
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample46      37.07410000  -119.12070000    311479.8   4105196.4      2365      2365      2279      82.4      15.3
Sample5       37.12380000  -119.04410000    318408.8   4110561.5      2818      2818      2059      81.1      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4101087500E+05     260.8     404.7     441.7     500.0     106.8     128.5      10.0       1.0
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     488.1      13.7     472.4      90.5      52.0      87.1       2.8
    0.9999999778E+22       9.1     172.0      43.3     136.7      20.1      30.1      14.2
    0.9999999778E+22     108.2     367.5     293.9      24.9      77.4     140.6       6.6
    0.9999999778E+22     461.8      34.3       3.0      89.0     109.8      71.5      10.6
    0.9999999778E+22     463.8     456.3     313.1     138.1      41.0      27.0      18.0
    0.9999999778E+22     175.6     140.5     334.3       5.9      54.4      33.2       3.7
    0.9999999778E+22     408.8      69.8     398.5      26.7      20.7      72.3       3.1
    0.9999999778E+22     121.0     119.9     402.2      77.8      15.6     142.4       1.1
    0.9999999778E+22     376.9     382.3     352.1     149.3      45.0      70.6      19.6
    0.9999999778E+22     490.5     432.7     362.1      47.5       9.2     137.2       0.8
    0.9999999778E+22     298.3      52.9       4.6      41.1     104.7      79.0       8.1
    0.9999999778E+22     482.2      28.3     268.8     146.7     106.8     124.2      18.6
    0.9999999778E+22     306.3      77.9     471.0      43.9      47.2      26.3       0.7
    0.9999999778E+22     109.8     376.8       0.5     114.9      17.3      26.7      10.9
    0.9999999778E+22     220.9     135.3     386.4      26.1      63.8      92.9       5.3
    0.9999999778E+22     264.0     488.2     293.1      73.7     119.0      17.0       9.2
    0.6321185938E+05     224.9     264.5     480.4      12.0     107.5     146.6       4.3
    0.9999999778E+22     375.0     273.0     386.7      92.9      96.7      39.9       8.5
    0.9999999778E+22     340.1     194.9       5.1      25.5      82.5     122.8       9.5
    0.4219392578E+05     131.5     212.0     258.3      39.3      44.9     145.7      10.6
    0.9999999778E+22     219.5     482.2      38.8      84.7      94.4      39.2      12.0
    0.9999999778E+22      54.6     367.6     171.7      65.3     118.2      80.0       5.4
    0.9999999778E+22     360.3     477.0     350.5      24.4      29.3     112.1       5.3
    0.9999999778E+22     338.6     307.3     479.6      53.2      22.4      57.5      17.7
    0.9999999778E+22     449.9     349.7     240.1      91.1      36.4     130.7       6.3
    0.9999999778E+22     379.0     120.1     173.8     138.6      46.8     108.3      10.4
    0.4815886328E+05      97.2     131.3     451.9     130.9      30.6      77.1      18.2
    0.9999999778E+22     137.4      66.5     188.4      59.9      40.8       7.8      16.6
    0.9999999778E+22     361.0     103.1     125.0     130.7       3.2      37.9       3.7
    0.4765607031E+05     211.7     310.7     458.7      89.1      40.6      55.2      17.0
    0.9999999778E+22     375.0      93.6     127.0     138.1      92.2     133.4       5.6
    0.9999999778E+22     171.3     453.5     261.6      64.1      26.6      95.2       0.6
    0.9999999778E+22     339.2     113.8     211.0     122.9      37.5      59.6       3.3
    0.9999999778E+22     484.8     489.7      38.1      84.3      80.2      39.6       5.5
    0.9999999778E+22     324.0       7.3     297.5     129.2      91.0      57.8      17.0
    0.9999999778E+22     477.8     371.0     185.4      89.1     123.7      61.4      18.1
    0.9999999778E+22     478.1     426.4     353.5       7.7      41.0      16.4      17.2
    0.9999999778E+22      43.4     326.9     160.0      93.4      53.1      37.9      17.8
    0.9999999778E+22     290.2     434.4      36.5      98.9      22.1     136.1      15.0
    0.5268698438E+05      41.2      56.9     262.1      33.2     117.3      48.2      12.5
    0.9999999778E+22     477.2     156.4     478.7      24.5     111.5     126.6       6.9
    0.9999999778E+22     312.8     411.7     336.7     143.2      59.2      30.1      19.8
    0.9999999778E+22     433.6     343.9      56.4      78.7      40.7      48.5      14.7
    0.9999999778E+22     479.9      24.6     483.4     130.5      14.5     141.8      15.9
    0.9999999778E+22      54.6     431.4     352.2      97.1      42.9      28.2       2.6
    0.9999999778E+22     129.5      59.6     316.8      73.0      84.7     116.3       1.1
    0.4894817188E+05     298.6     374.8     462.2      28.1     128.7     117.3       4.2
    0.9999999778E+22       8.6     289.3     214.0     101.0      68.8     138.4       6.1
    0.9999999778E+22      13.4     384.6      15.4      72.7     108.8     107.0       2.8
    0.4259345312E+05     129.3     448.9     449.2     119.6      67.7       9.7      13.6
    0.9999999778E+22     414.9     165.4     156.2      38.2     111.7      46.0       5.7
    0.9999999778E+22     295.2      22.1     281.6      10.5      26.5     114.3      12.5
    0.9999999778E+22      68.9     495.4     254.3       4.1      43.6      35.1       9.2
    0.9999999778E+22     334.0     284.5     403.4     110.3      66.7     111.5       6.9
    0.4392017969E+05       2.3     309.0     450.4      40.1     110.7      97.3      18.9
    0.9999999778E+22     201.0     332.8      24.2      48.2     139.8     119.8      20.0
    0.9999999778E+22     239.3     398.4      11.6       8.6      21.7      49.8      10.5
    0.9999999778E+22     226.5      77.4     227.3      67.0      67.0     116.8      11.2
    0.9999999778E+22     296.5     331.7     153.5      51.4      96.1      35.7       5.4
    0.9999999778E+22      56.1     382.4      35.0     104.7     144.8      90.2       1.6
    0.9999999778E+22     423.1      88.1     251.9     125.6      11.9       1.0       4.4
    0.9999999778E+22      61.3      14.0      86.5     127.8      12.0       5.4      13.2
    0.9999999778E+22     488.5     331.3     499.1      93.8     132.6     131.6      14.1
    0.9999999778E+22     350.1     223.6     120.2      12.8      93.3      74.4      12.8
    0.9999999778E+22     358.8       8.3     417.9       3.3      45.6      52.6      12.0
    0.4901810938E+05      37.3     209.4     392.5      70.4      17.4      84.6      19.3
    0.9999999778E+22     389.7     214.8     319.4     141.1     118.7       4.4       0.5
    0.9999999778E+22      71.4     287.1      28.4      37.2      87.7      36.7      16.5
    0.9999999778E+22     436.0      76.6     118.2       0.7      88.2      65.5      13.1
    0.9999999778E+22     455.9     304.5     442.2      45.1      90.9       3.4       0.7
    0.9999999778E+22     435.7     484.6     299.5     111.2      45.5      97.1       9.0
    0.9999999778E+22     431.2     497.7     130.6     112.5      51.4      60.7      14.3
    0.9999999778E+22     214.3     199.7     184.4      58.9     111.2     107.5      15.5
    0.9999999778E+22     406.2     381.0     216.5      36.7      89.2      55.3       0.8
    0.9999999778E+22      63.3     495.7     244.1     139.3       5.0     114.8       7.9
    0.9999999778E+22     115.7     326.2     267.4      23.4     126.8      68.3       9.6
    0.9999999778E+22     205.8     259.9     115.4     116.3     101.2      33.0      13.3
    0.9999999778E+22       7.1     257.9     131.3      72.0       4.7      82.2      18.9
    0.9999999778E+22     467.7     416.8     174.2      10.8     149.3     137.7      14.1
    0.9999999778E+22      74.9     402.9     135.2     139.7     132.7      72.3      13.1
    0.9999999778E+22     362.5      74.3     362.8     109.1      30.1      76.7       6.7
    0.9999999778E+22     365.2     442.3     151.0      98.9      80.2     103.5       1.1
    0.9999999778E+22     498.1     285.3     111.2     132.6     143.9      18.4       6.0
    0.9999999778E+22     383.8      26.3     251.6      18.1      46.0     113.1      13.7
    0.9999999778E+22     159.5     359.9     221.4     141.6      50.3      54.8       7.1
    0.9999999778E+22     490.5     286.4     212.5       5.3     146.7     108.1       1.0
    0.9999999778E+22     437.0     113.0     385.7      34.1     129.8      30.5       0.6
    0.9999999778E+22     249.5     258.2     123.5      84.9     114.4      31.5      15.6
    0.9999999778E+22     406.6     180.3     186.3      33.0     140.7     136.2      13.9
    0.9999999778E+22     453.5     290.7     303.9      99.1      69.6      42.5      15.4
    0.9999999778E+22     352.7       9.6     427.4      69.1      90.9       8.0       4.0
            Infinity     145.0     146.5     169.9      74.0      59.0      46.7       2.0
    0.9999999778E+22     390.7     267.6     124.6      64.3     117.5     112.1       6.4
    0.5721330078E+05      54.5      70.8     133.3      40.9     105.2      29.5       8.3
    0.9999999778E+22     309.9     359.1      12.9      86.3     136.5     103.4       0.1
    0.9999999778E+22      61.4     467.7     233.3     147.2     101.2      79.8       7.7
    0.4146664062E+05     288.5     312.7     449.9     124.4     114.9      64.2      12.7
    0.9999999778E+22     440.1     205.5     123.8     126.6      84.8     111.5       2.6
    0.4555287500E+05      54.6      82.8     227.7      72.5      17.7     110.3       6.2
    0.9999999778E+22     309.0     404.1      54.5     122.5     102.9      29.9      19.0
    0.9999999778E+22     286.2     351.7     341.4      96.9      92.4      55.6      12.6
    0.9999999778E+22     121.6     150.3       1.1      29.2       4.0     123.4      11.2
    0.9999999778E+22     317.8     465.2     426.5     100.8      45.3      17.0       8.4
    0.9999999778E+22      68.8     473.7     418.0      31.2      75.9      48.0      18.0
    0.9999999778E+22      40.0      23.8     338.5      85.1      15.1      67.9       9.3
    0.9999999778E+22      84.0     487.0     335.2      59.8      10.7      36.4      17.9
    0.9999999778E+22     304.8     195.2     437.6     143.1      31.9      93.0      15.9
    0.9999999778E+22     293.2     230.4     284.1       6.5     129.5     117.5       4.2
    0.9999999778E+22      87.9      28.3     382.2       2.3       6.7      44.8      18.2
            Infinity      54.5     177.4     389.6      27.9      66.3      68.1      12.5
    0.9999999778E+22       2.2     252.3      15.9      78.2     118.4       8.4       2.1
    0.4284956250E+05       4.4     195.2     409.4      45.8     111.4     149.0       3.3
    0.9999999778E+22     482.1     331.4     260.5      64.7       9.9       0.5       7.4
    0.9999999778E+22     270.1     341.7     225.4     130.2     136.2      91.7      18.3
    0.9999999778E+22     294.0     162.4     376.3     133.5      39.6     114.0       7.4
    0.9999999778E+22     218.2     265.7     254.2     119.8     133.3      89.9       2.9
    0.9999999778E+22     209.4     217.6     124.1       4.8      69.6      14.2       4.9
    0.9999999778E+22     208.0      92.8     149.2      79.7      87.2     124.9       6.9
    0.9999999778E+22     317.5     480.4     174.2      61.8       4.4      41.5       0.2
    0.9999999778E+22     404.3     461.4      74.2      69.8     105.8       2.3      13.9
    0.9999999778E+22     427.4      72.9      35.5       1.0     143.3     126.4       0.7
    0.9999999778E+22     121.5      61.4     490.4      37.1      60.3     113.4      13.5
    0.5267273828E+05      66.4     164.1     180.3      74.9     108.2      30.6      16.8
    0.9999999778E+22     194.7     428.5     186.7     125.8      72.4     134.0       7.9
    0.9999999778E+22     476.1     152.9     119.6      32.9       1.4      21.1       5.4
    0.9999999778E+22     486.1     184.2     434.7     126.6      34.9      64.9      10.5
    0.9999999778E+22     356.7      57.0      78.2      12.8      69.1      78.5      11.1
    0.4279575781E+05      64.3     165.8     256.2      63.7      26.7     142.3       0.2
    0.9999999778E+22     150.0     112.9     357.0     115.3     112.2      22.4       8.8
    0.9999999778E+22     261.7     117.8     367.7      56.5       6.5     119.6      16.8
    0.9999999778E+22     463.2     188.4     442.3      48.2      19.8     136.7       1.1
    0.9999999778E+22     131.3     346.1     245.4      56.2      78.6      98.4      13.8
    0.9999999778E+22     369.5     431.9      36.5      26.9     119.3     107.7      16.7
    0.9999999778E+22     155.4      17.4     358.5     140.3      17.7       0.3       9.0
    0.9999999778E+22     489.8      24.5     497.2      85.5     148.6     119.9      17.7
    0.9999999778E+22     245.8     180.2      88.0     148.8      91.6      66.1       4.9
    0.9999999778E+22     303.0     244.8     448.0      54.6      25.2      46.6       7.4
    0.9999999778E+22      33.6     337.8     253.1      39.9      34.1     123.8      19.5
    0.9999999778E+22     159.2     260.2     174.5      14.6      92.7      10.9       3.9
    0.9999999778E+22     458.3     380.0     117.3     108.1     141.1     106.1       0.4
    0.9999999778E+22     301.8     315.3     149.2      77.1      40.3      85.7       5.9
    0.9999999778E+22     332.3     178.2     490.4      18.2     102.4       4.0       5.8
    0.9999999778E+22     246.0     364.3     170.9       3.7      64.6      20.5      14.2
            Infinity     174.8     462.4     477.2      34.7      34.1      85.8       4.6
    0.9999999778E+22     264.8     458.5     216.6     125.0      56.4      91.5      12.3
    0.9999999778E+22     446.2     208.7     152.9      20.9      95.3      99.6       2.8
    0.9999999778E+22     291.8     345.0     282.9      44.8      96.3      64.8       1.2
    0.9999999778E+22      24.5     314.2     232.6     118.3      16.1     113.4       9.9
    0.9999999778E+22     438.9     274.7     310.9     142.0      73.2     114.3      16.6
    0.9999999778E+22     348.8     315.4      65.8     132.7      71.3      20.8       5.5
    0.9999999778E+22     129.6     453.4     428.1     106.1     134.0      59.3      14.7
    0.9999999778E+22     367.8     211.8     372.0      39.5      59.7     146.9      11.1
    0.4698341797E+05     181.8     282.0     428.7     148.8      68.4      34.1      15.1
    0.5106801562E+05       0.8      13.8      28.4      32.7      60.2     126.7       0.3
    0.9999999778E+22     164.0     134.3     341.5      47.0     112.5     147.9       2.3
    0.9999999778E+22      88.5     428.2     347.7      50.9     127.4     114.3      19.6
    0.9999999778E+22     201.1     180.5     263.6      91.2      39.4     117.4       5.4
            Infinity     123.2     214.9     412.0      67.6      39.8      58.0      14.9
    0.4506205469E+05     159.4     213.3     492.7     114.5      33.0      87.0      14.8
    0.4478137500E+05     257.6     339.2     432.2      23.4     117.0     134.9      12.1
            Infinity      64.0     351.5     373.2      66.1      45.1      70.1      19.4
    0.9999999778E+22     183.8      18.4     336.0      72.2     101.7      11.4      18.7
    0.5127223438E+05      25.6     176.7     241.8      43.3     102.5      52.8       8.6
    0.9999999778E+22      84.2      74.3     214.7      29.0     119.0      25.3       4.2
            Infinity     105.7     241.4     497.2       0.5     110.0     122.1       3.2
    0.9999999778E+22     213.2      35.6      92.0      89.0       3.1       3.9      14.8
    0.9999999778E+22     123.8     304.8      98.0       3.2      75.6      33.0       0.6
    0.9999999778E+22     425.2      33.0     439.1      33.3      44.3     143.7       2.4
            Infinity      41.8     197.9     256.1      70.3       4.5      34.4      12.4
    0.9999999778E+22     230.0     479.6      21.7     126.3     145.1      96.1       8.2
    0.9999999778E+22     376.1     438.5     264.4      96.8      20.2      18.1       4.0
    0.9999999778E+22     356.5      73.8       0.9      90.7     145.0      97.8       0.0
    0.9999999778E+22     356.1     356.9     100.1     139.9     137.9      67.0       2.5
    0.9999999778E+22      99.7     493.0     492.4     101.6      38.6      32.6       6.0
    0.9999999778E+22      44.1      19.1       4.0      98.4     123.2       5.9       0.9
    0.9999999778E+22     286.1     385.8     304.7      87.5      18.0      10.4       7.7
    0.4979571094E+05     192.5     385.4     452.4     146.7      29.8     145.2      14.8
    0.9999999778E+22     244.7     414.0     132.7     112.5      71.4     147.0       5.5
    0.9999999778E+22     115.8      90.0     463.6     108.3      52.9      37.1       0.5
    0.9999999778E+22     383.0     182.2       7.9      53.0     107.4      74.1       7.5
    0.5054811719E+05      42.9     116.0     237.1     103.9     137.7      63.9       3.6
    0.9999999778E+22     416.6     223.8     205.8      32.1      89.2      45.7       0.2
    0.9999999778E+22     320.8      99.1     203.1      48.3       8.7      60.4       3.0
    0.9999999778E+22     148.5     374.4      45.6      71.7     114.6      31.5      19.2
    0.4486501562E+05     105.1     304.3     330.7      86.2     123.0      44.9       4.7
    0.9999999778E+22     300.4      21.2     446.5      21.4      89.0     106.1      13.1
    0.9999999778E+22     122.6     116.8      98.1      64.3      63.1      14.3      16.5
    0.9999999778E+22     253.6      37.7     398.4      63.3       0.6      31.4      15.2
    0.9999999778E+22     209.1      47.7     434.6      80.3      60.0       9.0       6.6
    0.9999999778E+22     163.2     101.2      42.7     144.7      57.4      15.9      18.4
    0.9999999778E+22     131.6     450.1      54.9      89.5     143.9      24.7       0.6
    0.9999999778E+22     418.6     134.8     190.4      35.2     146.5     128.5       3.0
    0.9999999778E+22     324.3      64.6     379.9     122.9      10.5     135.7      14.0
    0.9999999778E+22      75.1     348.2     223.7      53.8      22.8       0.1      11.1
    0.9999999778E+22     425.8      99.3     416.9     147.7      76.5      69.4       6.6
    0.9999999778E+22     119.6     280.1      98.2     121.5       2.8     132.9      15.9
    0.9999999778E+22     276.5     207.6     122.5     134.0      45.2     108.9       2.8
    0.9999999778E+22     412.1     290.3     231.5      12.7     141.2      17.1       9.6
    0.9999999778E+22      22.5     325.1      41.6      41.6      89.6     142.2       2.4
    0.9999999778E+22     169.3      53.1     304.9      58.6     146.3     103.0      15.8
    0.9999999778E+22     408.8     150.4     409.2     135.2     149.7      32.4      11.8
    0.4122295312E+05      95.0     118.8     383.1      19.8       8.0     119.8       8.4
    0.9999999778E+22      45.9     475.1     235.1     136.3      41.9       6.1      12.9
    0.9999999778E+22     226.5     208.5       3.9      40.8      27.4     136.9       0.2
    0.4147691016E+05      13.2     174.3     306.3      50.1     124.8     144.9       6.5
    0.4190812500E+05     141.5     175.3     403.7      52.1     115.2      82.6      19.7
    0.9999999778E+22     290.6     495.3     275.8      12.2      83.9     131.1      12.2
    0.9999999778E+22     100.2     316.8     223.3      79.7     142.0      53.4       3.2
    0.4162563672E+05     101.2     256.8     392.3     114.5       2.8     124.1      15.8
            Infinity      79.8     126.9     157.6      81.3       7.2      73.4      10.5
    0.9999999778E+22     294.2     233.4     363.0     144.7      91.5      12.4      15.9
    0.9999999778E+22     273.8     169.1     486.4      83.1      80.0      28.3      18.5
    0.5468222656E+05      88.5     133.1     479.9     105.3      49.3      28.5      16.6
    0.4631681250E+05     145.7     345.9     464.4      36.7     149.7      96.3       6.5
            Infinity      27.9     283.5     397.3      50.8      14.3      67.1      15.0
    0.9999999778E+22     293.8     483.5     392.2     109.4      37.1     127.6      12.9
    0.4766808594E+05       7.5      85.6     160.2     146.0     136.4     115.5       3.1
    0.9999999778E+22     146.6     181.2      89.0      38.8      57.0     115.3       0.8
    0.5281648047E+05       7.9     118.1     382.4      24.4     102.6       6.5       8.1
    0.9999999778E+22     150.4     146.4      97.0      90.5     144.3      33.3      17.1
    0.9999999778E+22     191.3      32.5     164.7      64.6     120.5      50.0      12.3
    0.9999999778E+22     187.7      68.1     188.2      83.0      93.0      43.1      10.9
    0.9999999778E+22     280.6     202.0     386.5      25.6     110.8     144.3       7.6
    0.9999999778E+22     145.2     129.9      56.2      11.5      88.5      92.2      13.0
    0.9999999778E+22      64.0      17.1     469.6       5.5      40.7      86.4       3.6
    0.9999999778E+22     306.0     484.1     114.3     147.9      59.2      53.1       7.1
    0.9999999778E+22     364.4     119.9     213.5       8.7     149.7       6.5       4.5
    0.9999999778E+22     103.1     270.4     229.6     136.7     114.2      97.6      12.8
    0.9999999778E+22     183.3     441.6     422.0      88.0      23.4       1.8       6.2
    0.9999999778E+22     131.4     442.2     380.7      49.3     109.2      41.9      14.4
    0.9999999778E+22     269.9     130.1     210.3     120.1     132.4      85.3      15.1
    0.9999999778E+22     293.3     346.0     206.5      38.4      70.8     103.8       3.3
    0.9999999778E+22     455.3     479.4      41.0     149.2      67.3     123.1      11.2
    0.9999999778E+22     227.2     128.9     111.2     125.4       5.3     116.7       9.5
    0.9999999778E+22     436.4      36.8     310.9      71.5      80.2     109.1       0.0
    0.4675324219E+05       9.8     105.4     499.7      83.7     124.8      21.2      19.0
    0.9999999778E+22     142.7     361.8     267.4      81.1      12.3      36.3       9.3
    0.9999999778E+22     406.0     152.8     154.4      96.4     100.1     126.0      18.1
    0.9999999778E+22     261.5     338.4      74.4      63.4      79.1      20.9      13.0
    0.9999999778E+22     421.3     208.3     413.1     123.0      10.5     130.6       8.2
    0.9999999778E+22     107.0     426.2     134.5      60.9       1.1      47.2      15.8
    0.9999999778E+22      21.9     289.4      26.5     109.1     146.1      64.7      19.3
    0.9999999778E+22     498.0     184.8      24.6      35.5     119.2     134.1       2.7
    0.9999999778E+22     212.7     198.5     174.2      47.4      32.6      87.6      17.5
    0.9999999778E+22     267.2     273.9     193.5     122.0      68.4      30.5       0.5
    0.9999999778E+22     478.9      60.6     428.0      70.5      89.4      50.5       8.6
    0.9999999778E+22     329.2     388.6     368.7     112.6     144.9      74.4       3.0
    0.9999999778E+22     320.8     441.9     216.0      21.2     129.3      92.3       9.4
    0.9999999778E+22      44.2     239.1     109.4      66.3     106.6     107.4       2.5
    0.9999999778E+22     142.2      78.8     484.5      16.4      10.0     132.2      13.1
    0.9999999778E+22     272.3     132.9     370.5       6.4      10.9     129.8       4.2
    0.4412492969E+05     153.8     339.0     443.6     127.8     126.6     108.4      10.5
    0.4340965625E+05       2.7      60.0     212.4       3.9      82.9     148.4       4.7
    0.9999999778E+22     178.4     377.6     358.6      92.7      12.9     144.0      14.1
    0.9999999778E+22     155.6      26.9     340.3      53.9      79.6     108.0      19.9
    0.9999999778E+22     205.5     140.8     103.2      39.4      43.7     148.8       9.0
    0.9999999778E+22     143.5     472.1     404.3      76.6      75.3      19.8      10.4
    0.4496424219E+05      70.9     217.4     220.0      24.6      29.5     124.2       0.4
    0.4122307812E+05      92.9     244.5     353.8      26.5      94.1     126.8       1.7
    0.4165439844E+05      95.6     362.7     417.3      24.0     126.3      98.2      19.2
    0.5165520312E+05     201.8     375.4     462.9      86.1     110.1     134.0      11.4
    0.4298658594E+05     116.6     171.8     359.7      82.4     110.0      86.8       5.5
