 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample48      37.42320000  -119.43230000    284771.8   4144598.2      1957      1957      1790      84.3      15.3
Sample2       37.46260000  -119.48170000    280515.0   4149084.3      2438      2438      1848      84.3      15.3
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4844400391E+05     205.7     402.0     421.0     500.0      31.1     125.1      17.0       2.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.7223370312E+05      10.2     246.2     493.9      41.2     135.8      88.2       8.8
    0.9999999778E+22     272.9     110.6     248.9     117.3      51.9      99.9      11.7
    0.9999999778E+22     214.5      64.7     370.8      50.3      30.1     148.2       9.8
    0.9999999778E+22     121.8     317.6     177.7      77.0      25.1      73.5      12.4
    0.9999999778E+22      13.7      10.3     190.8       6.9      58.4      42.3      11.2
    0.9999999778E+22     365.0     234.0     252.5     145.2      40.2      60.9      11.8
    0.9999999778E+22     142.8     280.1     244.0      56.2      52.4     131.8       1.1
    0.9999999778E+22     282.1     115.9     251.6     103.1      33.2      85.7      19.5
    0.4919466797E+05      51.7     352.8     358.1      26.3      18.0     140.2      11.6
    0.9999999778E+22     476.6      45.8      95.0       9.1      15.9      14.5       1.1
    0.9999999778E+22     390.2     431.5     140.5      95.5     113.4     148.1      11.1
    0.9999999778E+22     206.9     392.0     269.5       9.6     117.7     135.5      17.0
    0.9999999778E+22     450.4     223.4     234.1      65.4      28.6      55.3      13.4
    0.5408618750E+05     181.0     204.3     456.8      73.1      81.5      46.7      13.0
    0.9999999778E+22     402.0     250.3     409.3     140.3      14.2      77.3      10.0
    0.5253038672E+05     223.5     300.1     417.7      48.1      18.7      75.9      13.4
    0.9999999778E+22     257.5     173.8     253.0     113.7      78.9      99.6       9.3
    0.9999999778E+22     274.3     439.3     205.9      45.3      89.4      35.4      16.9
    0.9999999778E+22     384.2     382.9      68.3      46.4      58.1     108.1       1.9
    0.9999999778E+22     329.8      16.4     198.4      40.5      83.3      51.9       2.9
    0.9999999778E+22     460.3     401.9     485.2      96.3      73.5      38.7       1.2
    0.9999999778E+22     406.3     338.9     321.2     116.2      81.8      76.8       9.9
    0.9999999778E+22      56.6      48.9     421.0      65.3      72.3      15.5       3.5
    0.9999999778E+22      22.4     244.7      88.8      30.6     105.4     104.6      17.5
    0.9999999778E+22     428.9     124.1     348.9     107.0     148.0     123.5      15.5
    0.9999999778E+22     166.6     449.7     403.6      72.4      20.7       0.5       6.7
    0.9999999778E+22     141.7      16.7      66.0      51.4      34.7     137.3       9.1
    0.9999999778E+22     165.2     349.8     198.4     104.6      14.7      66.8       4.1
    0.9999999778E+22     408.7      73.6     434.0      23.5      53.7      37.9       6.6
    0.9999999778E+22     269.9     319.6     220.7      39.3      71.8      54.4      15.4
    0.8796720312E+05     433.2     463.2     489.7      22.8      60.6     117.1       6.9
    0.4952710938E+05     195.8     366.2     498.4     132.8      82.5       0.7      14.0
    0.9999999778E+22     445.0     222.4     191.8      67.0      27.6      49.9       1.4
            Infinity     210.3     222.2     356.0      40.8      11.5      53.1       2.6
    0.9999999778E+22     314.8     175.7     497.6     126.0      27.5      68.8       8.9
    0.1396611875E+06      74.8     195.9     498.2      31.2       0.1     123.5       7.4
    0.9999999778E+22     481.8     267.8      42.7     140.6     121.3      92.7       5.4
    0.9999999778E+22     281.2      43.7      65.2     127.4       1.7     116.3       0.5
    0.9999999778E+22     371.6     260.2     353.4      38.1      58.3      52.6       3.7
    0.9999999778E+22     366.0      86.6     257.2      88.0      70.4      92.4      19.0
    0.9999999778E+22     318.2     382.7      89.3      93.2      36.8     141.1      11.4
    0.9999999778E+22     216.5     468.3     122.6      50.1     125.0      63.7       7.5
    0.9999999778E+22     481.3     322.3     328.1      67.7      42.9     139.6      11.3
    0.9999999778E+22     461.2     190.4     127.8      54.6       8.7      28.8       6.8
    0.9999999778E+22     145.2      72.3     183.1      56.3     102.2       3.4       4.6
    0.9999999778E+22     126.8     352.8     236.9       7.3      19.6      55.5       5.8
    0.9999999778E+22     117.4     388.0     345.5      70.0     145.5     139.2       7.4
    0.9999999778E+22      57.6     161.3     122.1      26.9      70.7      87.9       5.2
    0.6666307812E+05      42.0      77.9     196.4     148.7      35.3      14.6       7.7
    0.9999999778E+22     402.8     437.5      20.9      89.8      97.3     102.7       9.9
    0.9999999778E+22     337.3     364.0      41.6      25.6      91.2      47.8      14.9
    0.9999999778E+22     454.8     334.8      51.6     146.1       5.4     142.4       6.0
    0.9999999778E+22     454.8     134.3     495.7     131.4      22.2      28.0      13.1
    0.9999999778E+22      28.4     394.6     276.4      68.5      96.3      31.3       1.3
            Infinity      83.8     186.0     361.6       9.1      38.8      39.7       2.8
