 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
Sample27      37.22880000  -119.13840000    310293.3   4122396.7      2277      2277      2788      79.9      14.8
Sample12      37.23720000  -119.24510000    300848.3   4123548.0      2135      2135      2201      84.3      15.4
Sample29      37.14150000  -119.32140000    293818.9   4113092.3      1648      1648      1130      85.4      15.4
Sample15      37.08980000  -119.25790000    299323.1   4107219.6      1778      1778      1619      85.0      15.3
Sample38      37.15570000  -119.18640000    305847.2   4114382.9      2289      2289      2530      82.7      15.4
Sample6       37.19320000  -119.23850000    301318.4   4118651.9      1690      1690      2140      82.0      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.5251860156E+05     143.8     410.7     435.6     500.0      60.9      99.4      22.8      10.5
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     396.5     409.5     211.4     135.7     145.5       3.9       1.7
    0.9999999778E+22     195.0       7.7      43.6      79.0     109.5      69.9      10.9
    0.9999999778E+22     274.7     393.7     325.0      93.8     119.7      32.4      16.0
    0.5482269531E+05      99.0     141.4     444.5     100.8     118.0      51.5       8.3
    0.9999999778E+22     327.9      81.4     336.4      27.8      38.1     139.7      15.0
    0.9999999778E+22     412.0      15.4      19.4     126.0      84.9      93.2      16.6
    0.5551114062E+05      82.6     331.2     361.0     112.0      55.4      84.9      14.2
    0.9999999778E+22     345.9     277.2     456.7      39.2     110.6      91.8      12.2
    0.9999999778E+22     282.5     245.8      77.5      21.9     149.3       6.7      11.0
    0.5277255859E+05     224.8     232.8     348.6      84.7     120.5     123.6      16.1
    0.9999999778E+22     209.1      42.1     456.6      15.9      99.2     133.3      18.7
    0.9999999778E+22     272.9     138.5      32.2      33.3     127.8      39.2      10.2
    0.6002896875E+05      83.6     314.1     317.7     120.7      69.8       7.9       5.2
    0.9999999778E+22     113.6     107.4      18.7      22.1      80.6     137.4       1.2
    0.9999999778E+22       0.5     416.7     404.9     123.5      43.3      97.2       9.4
    0.9999999778E+22     351.3     326.1     375.7      85.5     147.6     145.8      15.2
    0.5321573828E+05      13.0      51.2     443.5     115.2     124.5      76.9       6.0
    0.9999999778E+22     464.1     390.5     252.8     120.4     148.6     148.9      11.9
    0.9999999778E+22     397.7     132.7     318.0     143.8      35.5      27.8      19.5
    0.9999999778E+22     146.5      46.1     230.8     123.9      23.8      93.4       8.0
    0.9999999778E+22     399.1      61.4     251.3      80.6      40.7     113.1       8.5
    0.9999999778E+22     112.1      22.2     276.3     111.3      97.6      63.5       0.8
    0.5621062891E+05     298.5     312.2     423.7     149.4      83.3       1.3      17.5
    0.9999999778E+22     246.7      64.4      85.5      27.8     127.4      38.7       9.8
    0.9999999778E+22     415.4      66.6     171.8      90.9      70.2     112.4       3.7
    0.9999999778E+22      65.1      41.2     380.2      59.0      55.3     112.1      16.0
    0.9999999778E+22     355.0     313.8      41.2     111.5       8.5     120.7       2.1
    0.9999999778E+22     121.3     101.9     168.7      49.2      73.4       8.3       3.8
    0.9999999778E+22     327.4     376.7     175.6      21.2     100.7      99.7      16.6
    0.7693360156E+05     337.9     402.7     471.2     141.1     119.3     144.0      17.1
    0.9999999778E+22     283.8      21.3     444.2      46.9     120.7      80.9       3.3
    0.9999999778E+22     319.7      57.8     496.6      29.2      75.7      20.6      13.8
    0.5374675781E+05     231.0     339.6     387.6     118.8     141.6      36.6       3.8
    0.9999999778E+22     143.5     400.3     269.8     120.1     105.7     136.7       7.9
    0.9999999778E+22     411.4     271.6     288.9      62.6     103.4      17.2       1.0
    0.9999999778E+22     349.7     100.1     319.4       4.1      56.4      62.6      17.2
    0.9999999778E+22     404.7      53.7     476.0      57.7     129.6      43.6      17.5
    0.9999999778E+22      50.3      15.6     271.9     145.9      62.5      41.4       3.0
    0.9999999778E+22     176.7     387.0     132.5      15.8      50.8      79.0      12.2
    0.9999999778E+22     369.7     287.9     166.1     104.3       4.5     110.6       1.6
    0.9999999778E+22     407.7     242.2     458.7     126.5      31.9      96.8       6.3
    0.9999999778E+22     192.0     131.8     325.3      52.7      20.6      19.8      14.3
    0.9999999778E+22     102.2      25.7     402.7     142.5      80.8     107.4       0.1
    0.8020342969E+05      85.1     450.7     474.9      84.1     139.9     141.7      19.3
    0.9999999778E+22     447.4     153.2      35.1      72.0       4.1      33.6      15.0
    0.9999999778E+22     447.0     205.9     127.7      31.8      33.7      51.7       8.1
    0.9999999778E+22     117.7     274.6      50.6      25.3      93.8      99.3       3.6
    0.9999999778E+22     321.5     193.6     364.5      20.2      64.7       1.1       6.7
    0.9999999778E+22     228.5     346.6      47.1      47.8      35.1       8.8       3.4
    0.6400618750E+05      19.4     152.9     473.9     135.3      87.4      92.4       0.7
    0.9999999778E+22     213.1      71.8     385.6     134.3      49.3      41.3       0.7
    0.9999999778E+22     235.1     471.2     112.6      71.4      37.8     130.8      11.5
    0.9999999778E+22      36.2       5.7     153.9     148.3     137.8     120.2      19.8
    0.9999999778E+22     414.5     319.6      88.3     119.8      30.2      94.9       6.8
    0.9999999778E+22     110.4     413.0      66.7      23.2     107.9     143.0       3.3
    0.9999999778E+22      67.7     428.6     279.3      53.8     149.4       4.2       9.4
    0.9999999778E+22     387.4     146.4     163.2      60.7      62.9     149.3       4.8
    0.5320458203E+05      52.2     157.6     280.9      54.3     118.5     135.3       5.4
    0.9999999778E+22     212.0     408.9     364.3      29.0      62.7      71.5       2.2
    0.9999999778E+22     473.2      98.7       3.8      71.6      86.8      37.5      13.4
    0.9999999778E+22     295.9     156.2     374.2     122.1      72.9      64.6       9.3
    0.9999999778E+22     424.5     137.1     263.7     116.6     122.2      91.7       0.6
    0.9999999778E+22     204.0     328.3      21.7     116.0     113.4      23.9      13.2
    0.5278143359E+05     139.1     154.3     345.5      60.6     107.3     108.0      19.2
    0.6685560938E+05     403.3     448.0     468.9      85.6     108.2     106.9       6.5
    0.9999999778E+22     250.4     475.3     167.1      57.3      36.9      34.2      13.0
    0.9999999778E+22      31.0     284.7     267.3      21.0      25.2      63.1      10.8
    0.9999999778E+22     241.0     143.7     258.2     115.8      53.1     109.5       0.4
    0.9999999778E+22     295.6      17.8     243.5     147.8      72.0      19.9       9.3
    0.9999999778E+22      14.3     149.9      63.1     112.9       6.3      74.0       5.4
    0.9999999778E+22     244.3     311.3     115.4      41.1     130.8      21.3      10.1
    0.9999999778E+22     477.2     480.5     191.4      18.6     102.7      71.0      16.4
    0.9999999778E+22     208.0     402.5      51.8     103.9      62.0      30.1      15.0
    0.9999999778E+22     454.3     420.6      57.0     113.6      90.8      63.0      15.8
    0.9999999778E+22     348.7     196.3     316.8      32.0      69.0      23.9       7.2
    0.9999999778E+22     301.5      21.4     475.5     140.7     138.7     137.7      18.0
    0.9999999778E+22     311.3     143.1     118.6      85.7      43.7      52.9       5.4
    0.6567824219E+05     347.3     353.0     482.3      51.7      15.1      95.2       5.5
    0.9999999778E+22      81.5      35.6     458.1      40.3      14.9      83.3       0.3
    0.9999999778E+22      18.0     232.6     112.8       9.3      28.1      87.6      16.9
    0.9999999778E+22     256.7     375.4     210.6     107.8      74.2     117.5      11.3
    0.9999999778E+22     370.3     239.8     241.1      66.3      52.4     130.8       8.6
    0.9999999778E+22     146.7      39.3      98.6      63.6     104.2      19.8      10.8
    0.9999999778E+22     427.6     183.5      46.5      61.7      25.0      71.6      18.1
    0.9999999778E+22     395.6     226.9       3.5      82.7     131.0     118.4       5.0
    0.9999999778E+22     178.5      46.5     457.9     121.1      83.4      11.7      14.8
    0.9999999778E+22     188.5     392.2     363.9      36.6      28.2     138.5      12.5
    0.9999999778E+22     149.2     374.2      78.8      59.4      19.5     125.7      19.2
    0.9999999778E+22     438.8     316.0     233.0      20.7     103.6      97.3      18.7
    0.9999999778E+22     461.8     202.2     351.4     145.8      13.1     105.1       1.0
    0.9999999778E+22     445.4     136.9     399.5      59.4      57.5      57.5       9.2
    0.6240373047E+05     118.4     127.5     224.6      43.4     126.8      65.7      13.1
    0.9999999778E+22     381.6     179.3     308.9     142.4      57.7      82.4       7.7
    0.5460136719E+05       2.8     107.5     379.0      99.8     120.6     141.0      19.6
    0.9999999778E+22     200.4     172.1     392.5     142.7     100.3      26.3       0.2
    0.9999999778E+22     451.6     359.7     371.5      55.1      71.9      51.7      18.6
    0.9999999778E+22     123.7     458.2     376.6     102.8      65.0      26.3       5.2
    0.5436953125E+05     300.3     381.4     495.6     103.0      53.5      39.7      18.8
    0.9999999778E+22     302.8     311.8     193.5      72.1      99.6     107.4      17.4
    0.9999999778E+22     387.8      52.3     180.6      89.7      78.3     135.0       1.6
    0.9999999778E+22     236.8      24.9     311.8      86.1     119.3     123.8      13.4
    0.5319619922E+05      56.5     334.5     421.3      24.9     100.4      83.9      17.5
    0.5272860938E+05     134.4     200.3     387.8      34.2     100.9     109.0       0.9
    0.9999999778E+22     115.2      83.8     411.2     130.7     114.6     104.3      11.9
    0.9999999778E+22     228.0     191.4     195.2      93.1     140.4      15.1       3.8
    0.9999999778E+22     318.1     359.9     279.7     126.1      28.0      64.2      15.4
    0.5363563672E+05      28.4     144.6     362.0     140.4      65.9     145.8      14.8
    0.9999999778E+22     247.2      99.5     478.4     125.6     145.2      50.9       8.6
    0.9999999778E+22      98.2     411.0     253.1     101.8      51.4      76.4      11.2
    0.9999999778E+22     308.5     225.9     257.3     117.5     108.3       0.1      18.6
    0.6328507812E+05      87.4     369.7     430.8     136.4       6.8       3.2      12.8
    0.9999999778E+22     292.6      47.2     238.2      35.2     143.5      97.3       8.3
    0.7250105469E+05     144.4     338.5     476.8      92.2     107.5     108.3       0.7
    0.9999999778E+22     332.0     126.7     437.9       2.1      26.4      94.2       3.9
    0.1000511875E+06     292.5     353.2     499.8      93.7     133.9      87.6       7.9
    0.5760535156E+05     310.9     314.3     427.2     117.6     107.6     128.1      12.7
    0.9999999778E+22     231.7     470.7     342.2      95.8     114.6     145.9      18.8
    0.9999999778E+22     246.0      50.1     454.8     115.0      72.1      98.4      15.5
    0.9999999778E+22     352.1      22.5     495.8     132.1      97.9      96.8       1.9
    0.9999999778E+22     149.1     324.3     265.6      35.1      24.3     124.7      19.9
    0.6691763281E+05     140.5     344.6     386.8      62.6      21.7      19.2      10.2
    0.9999999778E+22     216.5     433.1     215.2     136.5     115.0      43.7      18.5
    0.9999999778E+22     123.1     369.7     169.6     111.1      20.7      86.4       4.5
