 Total number of samples:           8
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample9       37.05470000  -119.48790000    278775.9   4103835.7       608       608      1328      87.1      15.3
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample21      37.15820000  -119.37940000    288713.2   4115073.1       665       665       833      85.1      15.5
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample50      37.41570000  -119.50250000    278536.8   4143928.6      2196      2196      2056      99.8      16.1
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4846473047E+05     163.2     406.6     411.1     500.0      96.8     120.6       7.6       0.7
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     313.4      22.5     245.5      32.5     140.0      51.8      14.9
    0.6031137109E+05      61.8     153.3     207.1     117.1     142.6      10.3       9.0
    0.9999999778E+22     284.2     257.7     176.5     145.9     113.1      21.6      14.1
    0.9999999778E+22     403.7      34.6     372.4      93.4      60.2     146.9      14.5
    0.9999999778E+22     366.8      70.8     498.0      29.1     140.2     128.4      11.8
    0.9999999778E+22     301.4     484.0      67.4      74.3      65.8     130.8       6.0
    0.9999999778E+22     464.1     425.4     495.6      40.3      17.3     102.9       2.1
    0.9999999778E+22     397.7     414.0      11.5      27.5      44.7     110.1       8.7
    0.9999999778E+22      55.0     317.5     314.0      49.6      56.6      91.2      12.6
    0.9999999778E+22     433.9     271.1     241.6       3.3      32.7      68.7       6.0
    0.5287053125E+05     200.2     333.5     434.9     143.8      47.4     102.4      12.5
    0.9999999778E+22     385.5       5.3      95.0      43.7      51.7      14.2       8.1
    0.9999999778E+22     382.2     194.1     282.9      10.1      47.1      15.8      11.6
    0.9999999778E+22     375.1     338.5      97.8       5.8      30.8      64.2      19.4
    0.9999999778E+22     267.3     154.3     322.2      51.6     101.3     136.9      10.1
    0.9999999778E+22     241.7     464.0     390.2      80.1      51.9     130.0       0.9
    0.4954737109E+05     160.6     261.3     375.0      94.0     139.6      64.9      16.6
    0.9999999778E+22     168.5      27.7      26.2     102.5      22.4      98.3       1.1
    0.9999999778E+22     495.8     478.4     227.3     124.9     113.2     126.6       4.7
    0.9999999778E+22     332.3     161.5     124.3       3.5      85.9      98.0       2.8
    0.9999999778E+22     228.7      66.6     118.8     146.5       7.5      79.2       1.3
    0.5631537500E+05     263.8     270.0     491.0      32.0      70.6      77.3      14.0
    0.9999999778E+22     277.0     400.3      53.3       1.6      88.5      38.3       9.2
    0.9999999778E+22     177.9      63.6     198.1     133.3     110.0     120.8       6.9
    0.9999999778E+22     236.2     111.0     279.9      60.5     133.9     127.1       2.5
    0.9999999778E+22     292.2     268.6     490.8      89.3     128.2     142.5      19.6
    0.9999999778E+22     183.5      99.6     186.5      59.8     107.5     126.2      15.5
    0.9999999778E+22     294.8     221.6     339.5      15.0      64.7      86.7       1.1
    0.5157363672E+05     120.4     195.1     426.6      69.8     148.6      12.8      18.6
    0.9999999778E+22     342.6      16.1     116.5      15.6      47.4      49.3       3.1
    0.9999999778E+22      42.1     132.7     117.4       0.0     121.8     117.1       5.1
    0.4897511719E+05     348.0     409.3     417.1      73.9      62.3      73.7       0.1
    0.9999999778E+22     115.7     237.2     235.4      31.1     122.3     133.6       9.6
    0.9999999778E+22     110.6     326.5     220.2     115.6     102.7     111.9       7.3
    0.9999999778E+22     193.6     296.1      71.6       3.1       3.4     141.3       1.9
    0.9999999778E+22      14.0      94.0      46.6      30.0      15.5      87.5       0.7
    0.5375581641E+05     287.6     481.4     492.6     115.4      64.9      73.8      18.3
    0.5432012891E+05     174.0     243.6     368.7     139.3     110.5       1.8       1.3
    0.5608744531E+05     121.4     146.4     451.8     117.6      88.9      24.4       9.9
    0.9999999778E+22     357.6     125.3     229.7     126.0      79.2       3.3       9.2
    0.9999999778E+22      20.9     489.4     146.4      70.1      60.5     111.5       5.8
    0.9999999778E+22     458.3     214.3     353.5      66.2      67.9      69.5      12.1
    0.9999999778E+22     499.6     490.2     262.1      46.1     103.7      95.6       3.8
    0.9999999778E+22     329.8      35.7     369.0       9.2      90.7     111.1       2.2
    0.9999999778E+22     279.8     121.0     238.5      77.4       9.5      31.1      18.1
    0.5765538672E+05      17.1     137.1     162.9     110.6       4.7      80.9      18.7
    0.9999999778E+22     300.8     133.1     298.0     140.0      13.7     113.8      13.1
    0.5013742188E+05     323.0     359.3     365.9     145.3     117.0     147.7      10.5
    0.9999999778E+22     457.7      42.6     280.4      55.3      70.3     145.0       3.6
    0.9999999778E+22     198.6      83.7     253.2     127.7      29.5       1.1       1.3
    0.9999999778E+22     444.6     382.9     326.9       6.8     137.8      68.4      13.8
    0.9999999778E+22     145.8     376.5     267.8     103.4      98.3      82.1       3.8
    0.9999999778E+22     386.5     255.3     168.3      99.9       6.0      60.0       3.7
    0.5472286328E+05      38.7     159.4     335.6      21.3     116.1      42.2      11.1
    0.9999999778E+22     173.7      69.9     121.2     119.9       0.8      17.7      19.1
    0.6273909766E+05      31.6      92.4     389.1       1.0      71.1      28.4       5.0
    0.6142417188E+05      22.6      80.5      93.0      58.7      97.2      76.2       5.1
    0.9999999778E+22     196.9     112.4     147.5     127.4     130.1     123.5       1.8
    0.9999999778E+22     380.2     267.9      44.2     128.3      40.7     136.9       5.7
    0.6185784375E+05     139.4     173.3     220.0      91.5      57.9       0.7       7.6
    0.9999999778E+22     431.4     414.2     205.7      96.9      26.3     133.2       4.6
    0.9999999778E+22     225.8     423.8      26.4       2.0     111.9      70.2       9.8
    0.9999999778E+22     434.2     164.9     257.4     109.0     115.7      77.5       9.1
    0.9999999778E+22     399.3     386.9     312.6      91.7      54.1     125.7       8.0
    0.9999999778E+22     492.9     149.0      81.8      29.4      99.1      30.3       7.6
    0.9999999778E+22     239.5     413.5     178.8     149.8      74.1      86.2       0.7
    0.9999999778E+22     382.1     285.7     201.2      70.9      20.8      99.0      13.3
    0.9999999778E+22     493.0     301.1     105.6      60.1     106.0      32.7      13.3
    0.5214014062E+05      83.9     104.6     132.9     104.4       9.2     130.5       9.1
    0.4955592578E+05     176.9     239.0     489.6     147.2     134.5      13.4       7.9
    0.9999999778E+22      95.5     427.5      29.6     117.8     137.2      36.3       8.0
    0.5339184375E+05      33.7     203.7     472.4      28.9      94.3      20.0       5.8
    0.5170715625E+05     118.5     146.7     371.7      46.0     108.6      60.2       9.9
    0.9999999778E+22     465.1     134.1     301.7      45.4     108.0     146.2      19.6
    0.9999999778E+22     328.2      80.2      37.4      10.7      37.9     108.4      15.9
    0.9999999778E+22     486.8      38.9      55.4      70.4     138.7     138.5      17.2
    0.9999999778E+22     242.5     432.3      99.4      19.6      90.3     127.4       1.0
    0.9999999778E+22     379.1       2.3       1.4      36.0     139.4      48.1       2.4
    0.9999999778E+22     301.3     168.3     496.2     141.2      24.6      43.1      12.0
    0.9999999778E+22     241.4      10.6     165.9      21.5      40.3      13.6       2.1
    0.9999999778E+22     345.6     447.0     127.9     144.9      59.5      74.2      13.8
    0.9999999778E+22     169.5     141.4      91.6      17.6      95.7     147.9      14.3
    0.9999999778E+22     498.2     393.8     236.8     115.4     105.2      69.2      16.6
    0.9999999778E+22     404.6      10.1     181.7      35.0       4.4      90.8      10.4
    0.9999999778E+22     233.9     352.2     220.5      39.5      85.0     130.2      12.8
    0.9999999778E+22     183.2       8.3     262.6     139.9      80.0      96.9      16.7
    0.9999999778E+22     317.7     265.6      55.5      53.2      40.1      35.2       5.0
    0.9999999778E+22     495.9     363.3     312.2     120.1      58.0      99.8       8.6
    0.9999999778E+22     163.7     193.9     162.6       4.5      71.7      24.7       8.1
    0.9999999778E+22     374.9     268.6     142.1       0.4      68.3      90.6      12.8
    0.9999999778E+22     260.3     119.5     260.2     106.4     110.2      30.9       0.2
    0.5109505859E+05     316.9     349.2     402.7     105.3      32.6      29.1       8.7
