 Total number of samples:           7
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
Sample17      37.30340000  -119.48250000    279979.2   4131420.1      1607      1607      1810      86.1      15.2
Sample4       37.24710000  -119.46020000    281793.4   4125121.0      1645      1645      1393      87.1      15.4
Sample13      37.27090000  -119.27570000    298223.5   4127352.3      2507      2507      1911      85.8      15.2
Sample49      37.35630000  -119.32740000    293872.3   4136940.1      1163      1163      1649      83.5      15.1
Sample3       37.36250000  -119.45570000    282525.4   4137916.1      1889      1889      1900      85.1      15.5
Sample8       37.31280000  -119.41440000    286042.4   4132306.7      1829      1829      1584      85.9      15.2
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.4952508203E+05     295.5     399.3     419.8     500.0      27.1     146.5      14.0      10.3
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.5301505078E+05     231.1     320.7     459.2      97.1      58.1      65.0       3.1
    0.5259921094E+05     193.1     241.7     445.9     122.6      59.7      73.8      16.5
    0.9999999778E+22     394.4      81.7     331.0      34.1      20.1     124.0       5.7
    0.5083364062E+05     250.8     317.3     389.7      42.6      65.0     128.7      12.2
    0.5490179688E+05      99.2     205.7     300.2      74.4     115.0      67.4      16.4
    0.9999999778E+22     101.9     132.5      62.6     107.1      86.8      81.8      10.0
    0.6601523438E+05      26.5     142.6     411.0     148.9      33.5      27.9       1.5
    0.9999999778E+22     217.8      20.5     213.8     147.7     113.9      19.2      19.3
    0.9999999778E+22     437.4     234.6     414.1      27.6      25.3       4.4      13.4
    0.9999999778E+22     452.3     173.3     158.0      51.7      31.0       0.6      15.9
    0.9999999778E+22     470.0     238.1      75.1     104.8     117.9     128.7      10.3
    0.9999999778E+22     437.8     325.6     158.8      83.8      58.3     117.2       0.3
    0.5564244141E+05     121.5     285.4     412.0     129.3      15.4      75.5      17.2
    0.6574028125E+05      29.0      60.5     459.1      95.8      10.4      52.7       7.1
    0.9999999778E+22     249.6     482.0     238.1      52.2      80.2     114.0      17.5
    0.9999999778E+22     326.1     323.0     485.2      77.4      83.6      21.3       0.3
    0.9999999778E+22     183.4     162.5     162.5      16.6     136.3     113.1       5.3
    0.5690034766E+05     138.8     482.3     495.1     106.2       6.0      48.0      11.8
    0.9999999778E+22     470.7     195.2     410.6      20.1      31.8      81.9       7.2
    0.5257482031E+05      46.9      87.7     272.9       3.3      68.5     103.4       2.7
    0.9999999778E+22     331.1      35.2     298.0     123.7      80.8     130.3       7.0
    0.9999999778E+22      40.4     299.2      23.2      19.1     144.2      80.0       7.3
    0.5419255859E+05     376.0     464.9     494.1      66.1      87.7      49.7      12.6
    0.6322633984E+05      94.8     140.3     191.7     134.3      10.8      62.5      10.8
    0.9999999778E+22     393.2     228.1     380.1     124.2      23.3      32.9       3.0
    0.9999999778E+22       1.8     228.4     171.1      43.2      58.5      90.6      10.0
    0.9999999778E+22     402.9     244.9     251.6       3.4      39.8     146.4       4.0
    0.6542719531E+05      51.7      64.5     239.9     100.5      35.0      55.9      16.7
    0.9999999778E+22     457.5     188.2     337.4      80.3      61.8       1.2      15.9
    0.4987770703E+05     104.2     221.1     313.5      23.3       6.6     129.3      14.6
    0.9999999778E+22     332.1       6.1     121.2      72.2      30.4      22.6      10.4
    0.9999999778E+22      23.6       5.6      30.4      23.5       6.0     130.1       5.0
    0.9999999778E+22      22.2     376.1      17.6     142.1     116.6      78.5      17.0
    0.5794947656E+05     206.6     239.9     279.3     108.9      88.8      38.7       6.5
    0.5953121484E+05     143.6     176.3     251.6      32.8     144.7      20.6      18.9
    0.9999999778E+22      44.3     306.3     209.5      28.4      93.0     119.9      19.4
    0.9999999778E+22     299.5      75.8     343.5     149.8      79.2      35.1       9.6
    0.9999999778E+22     425.2     184.4     415.3     113.5      76.4      33.9       8.9
    0.6786620312E+05      23.7      52.4     267.2      17.1      80.7      15.0      17.2
    0.9999999778E+22     195.5     130.9      94.4      66.2     107.3      84.6       0.9
    0.9999999778E+22     112.0     400.6     232.3     139.0      23.1       2.6      13.1
    0.9999999778E+22     485.1     166.1     140.1      81.7      23.0     118.5       3.5
    0.9999999778E+22     407.3     201.5     180.1      86.1     131.4     113.7      12.9
    0.9999999778E+22     448.5     427.4      71.7      59.4     149.7      75.5      13.4
    0.9999999778E+22     498.7     334.6     171.0      83.7     135.3      30.3       6.1
    0.9999999778E+22     107.7      20.1     291.5     104.2     123.5      12.8       9.5
    0.9999999778E+22     114.4     388.3     233.2      96.2      36.8     107.2      19.9
    0.4990698438E+05     131.9     342.8     384.6     107.7     134.3     105.5      13.3
    0.9999999778E+22     449.7     131.2     310.4     140.8     146.6      11.1       5.5
    0.9999999778E+22     254.5      97.3      35.6     138.7       2.0     106.0       3.5
    0.9999999778E+22      78.9     322.7     289.6      91.8      10.8     131.7       3.6
    0.9999999778E+22     479.9     219.9     365.0      14.8      36.1       7.7       1.2
    0.9999999778E+22     345.9     134.1     141.2      58.9       1.1      35.2       5.8
    0.9999999778E+22      13.3     438.0     260.6      99.8      66.0     134.1      12.3
    0.9999999778E+22     352.2     294.2     231.1      42.8      41.3      39.7       3.3
    0.9999999778E+22     222.3     359.0     329.8      30.5      65.3      57.5      10.1
    0.5005534766E+05     127.4     193.0     324.0     142.6      29.7     113.1      16.9
    0.9999999778E+22     377.2      88.5     154.0      46.4      17.8     106.7      17.4
    0.9999999778E+22     185.2     157.3     223.5      94.1      24.0      77.9      15.1
    0.5701114844E+05       2.2     173.2     295.9     147.9      99.8      61.6      14.8
    0.4996004297E+05      35.3     264.2     274.6      38.0       8.7     147.4      14.4
    0.9999999778E+22     378.7     405.0     396.7      10.5      86.9      25.5       1.5
    0.9999999778E+22     214.2     471.5     264.4      40.6     137.7      86.0       9.2
    0.5139939062E+05      26.4     124.4     231.0      54.7     128.3     143.6       0.0
    0.9999999778E+22     164.0     332.5     116.6      66.1     141.6       7.5      13.7
    0.9999999778E+22     298.7      69.1     116.2     103.5     115.2      51.5       2.0
    0.9999999778E+22     198.2     436.8      84.5      16.1      40.6      44.2      12.8
    0.5783132812E+05     245.6     317.2     492.2      50.6     111.8      76.2      12.6
    0.9999999778E+22     292.1     249.5     284.2      69.1     126.7      72.8       1.3
    0.8442789062E+05      20.8     224.9     485.0      27.5      44.4     136.2       6.4
    0.9999999778E+22     336.3     117.0     315.5      64.0     140.9      71.1      14.3
    0.9999999778E+22     251.6     477.0     367.3      40.7      68.8      65.0      17.4
    0.9999999778E+22     410.2     374.0     186.6     135.4      90.0     107.2       8.3
    0.9999999778E+22     421.1     162.3     184.6      14.3      16.4      70.3      19.4
    0.9999999778E+22     467.3     347.4     195.8     115.1      51.1     135.8       4.4
    0.9999999778E+22      88.0     275.5     234.8     138.8     114.0      38.5      13.6
    0.9999999778E+22     449.4     426.9      23.1       0.4      24.1     104.7      18.9
    0.9999999778E+22     170.3     250.6     106.9      54.2      31.9     139.4      18.1
    0.9999999778E+22     446.6     363.0     103.4     114.5     138.5      36.9      11.6
    0.5022544531E+05      97.0     238.8     294.6      83.9      86.9     123.2      16.4
            Infinity     293.7     337.7     478.2      39.0      32.0      30.1       9.6
    0.9999999778E+22      55.9     219.9      95.0      32.4     111.4     114.4       3.4
    0.9999999778E+22     385.8      72.7      94.5      22.0      64.1      94.6      12.3
    0.9999999778E+22     485.7     324.1      53.6      25.9      87.2     108.8      12.8
    0.9999999778E+22     320.2     422.8     260.8       7.3      38.7     113.4       2.5
    0.9999999778E+22     379.2     225.6      94.9      66.2     117.6     107.5      14.9
    0.9999999778E+22     149.3     287.9      73.4     142.8      89.7      70.6       0.4
    0.9999999778E+22     448.1     432.0     460.3     140.9     146.4      44.4      10.8
    0.9999999778E+22     208.7     100.2      67.7      68.3     112.4      43.6      13.4
    0.9999999778E+22     327.9     236.7     234.8      66.7      28.0       3.7      16.4
    0.9999999778E+22     273.8     359.1      62.8      79.7     115.1     104.4       0.6
    0.9999999778E+22     336.2     405.5     317.0      24.6      78.7      75.6       3.7
    0.5658942188E+05      48.1     115.4     189.1      90.3      42.4      98.2       6.3
    0.9999999778E+22     132.2      82.6     310.7      35.5     149.7      93.1      15.3
    0.9999999778E+22     404.4     225.6     459.7     138.8      99.0      58.1      14.6
    0.6123159375E+05     169.6     208.4     376.8     131.9       9.8      24.1      16.3
    0.9999999778E+22     459.0     240.3      70.5      72.8      18.9       7.4       8.4
    0.9999999778E+22     237.6     424.4     338.5      56.7      86.0     135.1      12.4
            Infinity      29.2     369.1     399.4      64.2      41.8      41.8      15.9
    0.9999999778E+22     372.7     236.8     174.3      91.0       3.5       6.7      12.2
    0.9999999778E+22     141.8     120.0     276.7      61.1      20.5     137.9      14.6
    0.9999999778E+22     379.0     352.5     383.1      95.4     141.7     111.3      19.2
    0.9999999778E+22     107.2     379.3     154.4      16.7       9.7     140.3      11.7
    0.9999999778E+22     373.8      91.5     322.4     141.2      19.4     134.1      16.8
    0.5028933594E+05      66.8     228.0     289.8      62.8     141.1     123.0      17.3
    0.9999999778E+22     294.1     178.2     472.5      80.8      13.9     116.7      13.0
    0.9999999778E+22     116.5     363.1     332.8      47.2      90.4     142.3       0.8
    0.9999999778E+22     159.1      82.0      89.2      11.1      74.5      95.7       1.8
    0.9999999778E+22     113.6     108.2     366.5     142.5      61.5      65.9      15.2
    0.9999999778E+22      79.2     486.4     372.4      80.0      68.5      55.5       2.9
    0.4985118359E+05     328.3     392.7     456.5      88.0      90.2      40.2      10.2
    0.9999999778E+22      89.3      62.7     325.4      53.2      93.3      65.0      11.7
    0.9999999778E+22      76.4     458.7     309.4     144.6       9.1      60.3      16.3
    0.9999999778E+22     211.7     108.3     172.5      95.4      64.7     124.4       8.2
    0.9999999778E+22     207.7     497.9     283.6     105.1      19.0      43.7       9.0
    0.6077177344E+05     145.1     157.7     264.4     139.0      79.8      48.9      16.2
    0.9999999778E+22      14.3     487.9     474.2      37.0     109.6      94.0      13.1
    0.9999999778E+22      38.9     385.3     282.7      74.1      98.8      23.8       7.7
    0.9999999778E+22     350.4     283.1     186.6      38.4     133.6       1.2      19.5
    0.9999999778E+22     325.3     139.8     365.0     121.1      18.9      45.6      16.5
    0.9999999778E+22     230.1      90.2      91.6     108.5      11.4      67.0      10.0
    0.9999999778E+22     154.1       4.3     433.2     130.9      34.1      65.8      18.4
    0.9999999778E+22      95.5      18.0     272.1      86.1      19.1       1.9       3.8
    0.9999999778E+22      83.5     240.9     183.1     140.2      36.7       9.6       4.1
    0.9999999778E+22     157.5     207.9      92.0       6.9      79.1      22.8      16.0
    0.7974767188E+05     133.4     468.1     482.5       7.1      17.6     134.3       2.9
    0.9999999778E+22     488.8      18.3      42.7     135.1       9.6      93.5       0.8
    0.9999999778E+22     311.3     311.1     401.0     144.4     146.8      53.2       5.4
    0.5036250781E+05     192.1     365.2     384.2      89.6     145.8       5.0      15.3
    0.9999999778E+22     393.1     234.7     139.3      51.1     112.9     115.4       0.1
    0.9999999778E+22     311.3     362.5     271.4      37.1     128.2     124.0      18.1
    0.9999999778E+22     388.0     174.6      75.5      41.7     128.4     146.1      14.7
    0.9999999778E+22     243.9     180.8     462.8      37.0      16.9       4.1       0.7
    0.9999999778E+22     203.4     244.8      48.8     144.0      19.7       7.5      16.1
    0.9999999778E+22     256.8     236.1     397.3      33.1      31.0     146.8       0.2
    0.9999999778E+22     261.0     302.0     133.7      92.1      72.3      25.1      16.6
    0.9999999778E+22      28.8     433.1     241.3      56.0      46.2     111.8       7.0
    0.9999999778E+22     306.2      57.3     284.2      66.5     121.4       2.8      10.9
    0.5904456641E+05     110.9     143.0     333.2      55.4     105.5      39.3       2.1
    0.9999999778E+22     434.0     324.8     160.3      34.6      29.3       4.9      18.4
