 Total number of samples:           5
--------------------------------------------------------------------------------
      Name       lat       lon      XUTM      YUTM Elev.meas  Elev.dem  Elev.flt     FTage       MTL
--------------------------------------------------------------------------------
Sample9       37.05470000  -119.48790000    278775.9   4103835.7       608       608      1328      87.1      15.3
Sample41      37.04500000  -119.47950000    279494.9   4102739.8       548       548      1331      87.0      15.5
Sample45      37.09710000  -119.46930000    280552.4   4108497.4       593       593      1042      86.7      15.2
Sample7       37.19600000  -119.49600000    278468.0   4119533.8       751       751      1484      86.7      15.3
Sample9       37.05470000  -119.48790000    278775.9   4103835.7       608       608      1328      87.1      15.3
--------------------------------------------------------------------------------
 Model with lowest misfit
    0.3675371484E+05     177.1     403.2     414.7     500.0     129.8     117.0       6.0       0.1
--------------------------------------------------------------------------------
 List of models
--------------------------------------------------------------------------------
    Misfit        t1        t2        t3        T1        T2        T3        T4
--------------------------------------------------------------------------------
    0.9999999778E+22     417.4     354.0     293.6      73.9      32.5      83.7      17.6
    0.9999999778E+22     406.4     160.8     386.8       2.4      27.3      57.0       2.5
    0.9999999778E+22      93.8     489.2     253.7     130.4      66.9      47.8       2.2
    0.9999999778E+22      14.9     283.8      34.1      17.9     120.6     113.2       1.1
    0.9999999778E+22      77.9      39.4     359.7       7.2      84.7     103.9      13.3
    0.4592169922E+05      46.3     280.5     294.3      79.5      22.0      55.6      18.4
    0.9999999778E+22     101.0     414.7     243.4     123.9      47.1      80.5       5.6
    0.9999999778E+22     278.9     252.6     210.7      67.9     121.3      62.7      15.7
    0.9999999778E+22      71.8     447.3     415.0      18.6     149.6      43.5       5.7
    0.9999999778E+22      87.3     201.4      47.0     147.0      82.6      95.5       7.2
    0.9999999778E+22     332.3     485.4     294.9     133.3     122.0     103.1      11.5
    0.9999999778E+22     379.4     325.2     166.0      99.1     129.0      33.9       0.6
    0.3695193750E+05      40.7     214.8     382.5      58.5      43.5      85.3       2.3
    0.9999999778E+22       5.3     475.9      84.3      72.4      60.0      49.8       6.3
    0.9999999778E+22       8.0     399.7     124.7      83.3     132.9     142.1      17.9
